K12D0555_H0513:1b-0	@1b [dd] #//	[dd]_4 
K12D0555_H0513:3b-3	sbyin pa dang /	sbyin_0 ba_6 dang_9 
K12D0555_H0513:3b-4	tshul khrims yongs su dag par gyur pa /	tshul_0 khrims_6 yongs_13 su_19 'dag_22 ba_26 gyur_30 ba_35 
K12D0555_H0513:3b-5	rtag par bzod pa dang /	rtag_0 ba_5 bzod_9 ba_14 dang_17 
K12D0555_H0513:3b-6	brtson 'grus kyi spyad pa spyod par mngon par dga' ba /	brtson_0 'grus_7 kyi_13 spyod_17 ba_23 spyod_26 ba_32 mngon_36 ba_42 dga'_46 ba_51 
K12D0555_H0513:3b-7	bskal pa grangs med pa nas /	bskal_0 ba_6 grangs_9 med_16 ba_20 nas_23 
K12D0555_H0513:3b-8	bsam gtan rnams las yang dag par 'das pa /	bsam_0 gtan_5 rnams_10 las_16 yang_20 'dag_25 ba_29 'da'_33 ba_38 
K12D0555_H0513:3b-9	dran pa rtse gcig pa nyid mngon du gyur pa /	dran_0 ba_5 rtse_8 gcig_13 ba_18 nyid_21 mngon_26 du_32 gyur_35 ba_40 
K12D0555_H0513:3b-10	shes rab kyi sgo rab tu rnam par 'byed pa /	shes_0 rab_5 kyi_9 sgo_13 rab_17 tu_21 rnam_24 ba_29 'byed_33 ba_39 
K12D0555_H0513:3b-11	thabs mkhas pas shin tu bsgoms pa /	thabs_0 mkhas_6 ba_12 shin_16 tu_21 sgom_24 ba_31 
K12D0555_H0513:3b-12	shin tu gya nom pa'i rdzu 'phrul la rnam par	shin_0 tu_5 'gyas_8 mnam_12 ba_16 rdzu_21 'phrul_26 la_33 rnam_36 ba_41 
K12D0555_H0513:3b-13	rtsen pa'i dbang du gyur pa; gzungs rab tu thob	rtsen_0 ba_6 dbang_11 du_17 gyur_20 pa;_25 gzungs_29 rab_36 tu_40 'thob_43 
K12D0555_H0513:3b-14	pa / spobs pa zad pa med pa /	ba_0 spobs_5 ba_11 zad_14 ba_18 med_21 ba_25 
K12D0555_H0513:3b-15	nyon mongs pa rnams spangs pa /	nyon_0 mongs_5 ba_11 rnams_14 spong_20 ba_27 
K12D0555_H0513:3b-16	nye ba'i kun nas nyon mongs pa rnams nye bar zhi bar gyur pa /	nye_0 ba_4 kun_9 nas_13 nyon_17 mongs_22 ba_28 rnams_31 nye_37 ba_41 zhi_45 ba_49 gyur_53 ba_58 
K12D0555_H0513:3b-17	ring por mi thogs par rnam pa thams cad mkhyen pa mngon par 'grub par 'gyur ba /	ring_0 por_5 mi_9 thogs_12 ba_18 rnam_22 ba_27 thams_30 cad_36 mkhyen_40 ba_47 mngon_50 ba_56 'grub_60 ba_66 'gyur_70 ba_76 
K12D0555_H0513:3b-18	bdud kyi dpung rab tu 'joms pa /	bdud_0 kyi_5 dpung_9 rab_15 tu_19 'joms_22 ba_28 
K12D0555_H0513:3b-19	chos kyi rnga shin tu brdung ba /	chos_0 kyi_5 rnga_9 shin_14 tu_19 rdung_22 ba_29 
K12D0555_H0513:3b-20	mu stegs can du ma btul nas yongs su dga' ba'i bsam pa bskyed pa la 'god pa /	mu_0 stegs_3 can_9 du_13 ma_16 'dul_19 nas_24 yongs_28 su_34 dga'_37 ba_42 bsam_47 ba_52 skyed_55 ba_62 la_65 'god_68 ba_73 
K12D0555_H0513:3b-21	chos kyi 'khor lo dam pa yongs su bskor nas lha dang /	chos_0 kyi_5 'khor_9 lo_15 dam_18 ba_22 yongs_25 su_31 skor_34 nas_40 lha_44 dang_48 
K12D0555_H0513:3b-22	mi rnams sgrol bar byed pa /	mi_0 rnams_3 sgrol_9 ba_15 byed_19 ba_24 
K12D0555_H0513:3b-23	phyogs bcu'i sangs rgyas kyi zhing rnams rab tu brgyan pa /	phyogs_0 'chu_7 sangs_13 rgya_19 kyi_25 zhing_29 rnams_35 rab_41 tu_45 rgyan_48 ba_55 
K12D0555_H0513:3b-24	'gro ba drug pa'i sems can dag la phan 'dogs pa /	'gro_0 ba_5 drug_8 ba_13 sems_18 can_23 'dag_27 la_31 phan_34 'dogs_39 ba_45 
K12D0555_H0513:3b-25	ye shes chen po yongs su rdzogs pa /	ye_0 shes_3 chen_8 po_13 yongs_16 su_22 rdzogs_25 ba_32 
K12D0555_H0513:3b-26	bzod pa chen po phun sum tshogs pa /	bzod_0 ba_5 chen_8 po_13 phun_16 sum_21 tshogs_25 ba_32 
K12D0555_H0513:4a-0	byams @4a *//	byams_0 
K12D0555_H0513:4a-1	pa dang /	ba_0 dang_3 
K12D0555_H0513:4a-2	snying rje chen po'i sems la rab tu gnas pa /	snying_0 rje_7 chen_11 po_16 sems_21 la_26 rab_29 tu_33 gnas_36 ba_41 
K12D0555_H0513:4a-3	shin tu brtan pa'i stobs chen po dang ldan pa /	shin_0 tu_5 brtan_8 ba_14 stobs_19 chen_25 po_30 dang_33 ldan_38 ba_43 
K12D0555_H0513:4a-4	sangs rgyas mang po la bsnyen bkur byas pa /	sangs_0 rgya_6 mang_12 po_17 la_20 snyen_23 bkur_30 byed_35 ba_40 
K12D0555_H0513:4a-5	yongs su mya ngan las mi 'da' zhing /	yongs_0 su_6 mya_9 ngan_13 las_18 mi_22 'da'_25 zhing_30 
K12D0555_H0513:4a-6	phyi ma'i mtha' ji srid par yi dam chen po'i bsam pa yang dag par bskyed pa /	phyi_0 ma_5 mtha'_10 ji_16 srid_19 ba_24 yi_28 dam_31 chen_35 po_40 bsam_45 ba_50 yang_53 'dag_58 ba_62 skyed_66 ba_73 
K12D0555_H0513:4a-7	sangs rgyas rnams las rnam par dag pa'i rgyu rgya cher rab tu bskyed pa /	sangs_0 rgya_6 rnams_12 las_18 rnam_22 ba_27 'dag_31 ba_35 rgyu_40 rgya_45 cher_50 rab_55 tu_59 skyed_62 ba_69 
K12D0555_H0513:4a-8	dus gsum gyi chos rnams las mi skye ba'i bzod pa rtogs par gyur pa /	dus_0 gsum_4 gyi_9 chos_13 rnams_18 las_24 mi_28 skye_31 ba_36 bzod_41 ba_46 rtogs_49 ba_55 gyur_59 ba_64 
K12D0555_H0513:4a-9	theg pa gnyis po dag gi spyod yul las yang dag par 'das pa /	theg_0 ba_5 gnyis_8 po_14 'dag_17 gi_21 spyod_24 yul_30 las_34 yang_38 'dag_43 ba_47 'da'_51 ba_56 
K12D0555_H0513:4a-10	thabs mkhas pa chen pos 'jig rten pa rnams 'dul bar byed pa /	thabs_0 mkhas_6 ba_12 chen_15 pos_20 'jig_24 rten_29 ba_34 rnams_37 'dul_43 ba_48 byed_52 ba_57 
K12D0555_H0513:4a-11	ston pa chen po'i bstan pa rnams yang dag par sgrogs pa /	ston_0 ba_5 chen_8 po_13 ston_18 ba_24 rnams_27 yang_33 'dag_38 ba_42 sgrogs_46 ba_53 
K12D0555_H0513:4a-12	gsang ba'i chos dang /	gsang_0 ba_6 chos_11 dang_16 
K12D0555_H0513:4a-13	shin tu zab pa'i stong pa nyid rtogs shing khong du chud pas the tshom dang /	shin_0 tu_5 zab_8 ba_12 stong_17 ba_23 nyid_26 rtogs_31 shing_37 khong_43 du_49 chud_52 ba_57 the_61 tshom_65 dang_71 
K12D0555_H0513:4a-14	som nyi med par gyur pa sha stag la /	som_0 nyi_4 med_8 ba_12 gyur_16 ba_21 sha_24 stag_28 la_33 
K12D0555_H0513:4a-15	'di lta ste /	'di_0 lta_4 ste_8 
K12D0555_H0513:4a-16	byang chub sems dpa' thogs pa med par chos kyi 'khor lo bskor ba dang /	byang_0 chub_6 sems_11 dpa'_16 thogs_21 ba_27 med_30 ba_34 chos_38 kyi_43 'khor_47 lo_53 skor_56 ba_62 dang_65 
K12D0555_H0513:4a-17	byang chub sems dpa' rtag par chos kyi 'khor lo bskor bar sems bskyed pa dang /	byang_0 chub_6 sems_11 dpa'_16 rtag_21 ba_26 chos_30 kyi_35 'khor_39 lo_45 skor_48 ba_54 sems_58 skyed_63 ba_70 dang_73 
K12D0555_H0513:4a-18	byang chub sems dpa' rtag par brtson pa dang /	byang_0 chub_6 sems_11 dpa'_16 rtag_21 ba_26 brtson_30 ba_37 dang_40 
K12D0555_H0513:4a-19	byang chub sems dpa' rgyun mi 'chad pa dang /	byang_0 chub_6 sems_11 dpa'_16 rgyun_21 mi_27 'chad_30 ba_36 dang_39 
K12D0555_H0513:4a-20	byang chub sems dpa' byams pa dang /	byang_0 chub_6 sems_11 dpa'_16 byams_21 ba_27 dang_30 
K12D0555_H0513:4a-21	byang chub sems dpa' 'jam dpal dang /	byang_0 chub_6 sems_11 dpa'_16 'jam_21 dpal_26 dang_31 
K12D0555_H0513:4b-0	byang chub sems @4b dpa' spyan ras gzigs dbang phyug dang /	byang_0 chub_6 sems_11 dpa'_20 spyan_25 ras_31 gzigs_35 dbang_41 phyug_47 dang_53 
K12D0555_H0513:4b-1	byang chub sems dpa' gzungs la rang dbang du gyur pa'i rgyal po dang /	byang_0 chub_6 sems_11 dpa'_16 gzungs_21 la_28 rang_31 dbang_36 du_42 gyur_45 ba_50 rgyal_55 po_61 dang_64 
K12D0555_H0513:4b-2	byang chub sems dpa' spobs pa chen po bkod pa'i rgyal po dang /	byang_0 chub_6 sems_11 dpa'_16 spobs_21 ba_27 chen_30 po_35 bkod_38 ba_43 rgyal_48 po_54 dang_57 
K12D0555_H0513:4b-3	byang chub sems dpa' ri rab mchog gi rgyal po dang /	byang_0 chub_6 sems_11 dpa'_16 ri_21 rab_24 mchog_28 gi_34 rgyal_37 po_43 dang_46 
K12D0555_H0513:4b-4	byang chub sems dpa' shin tu zab pa'i rgya mtsho'i rgyal po dang /	byang_0 chub_6 sems_11 dpa'_16 shin_21 tu_26 zab_29 ba_33 rgya_38 mtsho_43 rgyal_51 po_57 dang_60 
K12D0555_H0513:4b-5	byang chub sems dpa' rin po che'i tog dang /	byang_0 chub_6 sems_11 dpa'_16 rin_21 po_25 che_28 tog_34 dang_38 
K12D0555_H0513:4b-6	byang chub sems dpa' rin po che'i tog chen po dang /	byang_0 chub_6 sems_11 dpa'_16 rin_21 po_25 che_28 tog_34 chen_38 po_43 dang_46 
K12D0555_H0513:4b-7	byang chub sems dpa' sa'i snying po dang /	byang_0 chub_6 sems_11 dpa'_16 sa_21 snying_26 po_33 dang_36 
K12D0555_H0513:4b-8	byang chub sems dpa' nam mkha'i snying po dang /	byang_0 chub_6 sems_11 dpa'_16 nam_21 mkha_25 snying_32 po_39 dang_42 
K12D0555_H0513:4b-9	byang chub sems dpa' rin po che'i lag gi dbang phyug dang /	byang_0 chub_6 sems_11 dpa'_16 rin_21 po_25 che_28 lag_34 gi_38 dbang_41 phyug_47 dang_53 
K12D0555_H0513:4b-10	byang chub sems dpa' lag na rdo rje dang /	byang_0 chub_6 sems_11 dpa'_16 lag_21 na_25 rdo_28 rje_32 dang_36 
K12D0555_H0513:4b-11	byang chub sems dpa' dga' ba'i stobs dang /	byang_0 chub_6 sems_11 dpa'_16 dga'_21 ba_26 stobs_31 dang_37 
K12D0555_H0513:4b-12	byang chub sems dpa' chos kyi stobs chen dang /	byang_0 chub_6 sems_11 dpa'_16 chos_21 kyi_26 stobs_30 chen_36 dang_41 
K12D0555_H0513:4b-13	byang chub sems dpa' bkod pa'i 'od chen dang /	byang_0 chub_6 sems_11 dpa'_16 bkod_21 ba_26 'od_31 chen_35 dang_40 
K12D0555_H0513:4b-14	byang chub sems dpa' gser 'od bkod pa dang /	byang_0 chub_6 sems_11 dpa'_16 gser_21 'od_26 bkod_30 ba_35 dang_38 
K12D0555_H0513:4b-15	byang chub sems dpa' rnam dag tshul khrims dang /	byang_0 chub_6 sems_11 dpa'_16 rnam_21 'dag_26 tshul_30 khrims_36 dang_43 
K12D0555_H0513:4b-16	byang chub sems dpa' rtag tu mnyam par gzhag pa dang /	byang_0 chub_6 sems_11 dpa'_16 rtag_21 tu_26 mnyam_29 ba_35 'jog_39 ba_45 dang_48 
K12D0555_H0513:4b-17	byang chub sems dpa' blo gros shin tu rnam dag dang /	byang_0 chub_6 sems_11 dpa'_16 blo_21 gros_25 shin_30 tu_35 rnam_38 'dag_43 dang_47 
K12D0555_H0513:4b-18	byang chub sems dpa' brtson 'grus brtan pa dang /	byang_0 chub_6 sems_11 dpa'_16 brtson_21 'grus_28 brtan_34 ba_40 dang_43 
K12D0555_H0513:4b-19	byang chub sems dpa' nam mkha' dang mtshungs pa dang /	byang_0 chub_6 sems_11 dpa'_16 nam_21 mkha'_25 dang_31 mtshungs_36 ba_45 dang_48 
K12D0555_H0513:4b-20	byang chub sems dpa' smon lam chen po mi gcod pa dang /	byang_0 chub_6 sems_11 dpa'_16 smon_21 lam_26 chen_30 po_35 mi_38 gcod_41 ba_46 dang_49 
K12D0555_H0513:4b-21	byang chub sems dpa' sman gtong dang /	byang_0 chub_6 sems_11 dpa'_16 sman_21 gtong_26 dang_32 
K12D0555_H0513:5a-0	@5a *// byang chub sems dpa' nyon mongs pa'i nad rnam par sel ba dang /	byang_8 chub_14 sems_19 dpa'_24 nyon_29 mongs_34 ba_40 nad_45 rnam_49 ba_54 sel_58 ba_62 dang_65 
K12D0555_H0513:5a-1	byang chub sems dpa' sman pa'i rgyal po dang /	byang_0 chub_6 sems_11 dpa'_16 sman_21 ba_26 rgyal_31 po_37 dang_40 
K12D0555_H0513:5a-2	byang chub sems dpa' 'phags pa dga' ba'i rgyal po dang /	byang_0 chub_6 sems_11 dpa'_16 'phag_21 ba_28 dga'_31 ba_36 rgyal_41 po_47 dang_50 
K12D0555_H0513:5a-3	byang chub sems dpa' lung bstan mchog thob dang /	byang_0 chub_6 sems_11 dpa'_16 lung_21 ston_26 mchog_32 'thob_38 dang_43 
K12D0555_H0513:5a-4	byang chub sems dpa' sprin chen rnam dag 'od zer dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 rnam_32 'dag_37 'od_41 zer_45 dang_49 
K12D0555_H0513:5a-5	byang chub sems dpa' sprin chen chos 'dzin dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 chos_32 'dzin_37 dang_43 
K12D0555_H0513:5a-6	byang chub sems dpa' sprin chen grags pa'i dga' ba dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 grags_32 ba_38 dga'_43 ba_48 dang_51 
K12D0555_H0513:5a-7	byang chub sems dpa' sprin chen grags pa mtha' yas ston dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 grags_32 ba_38 mtha'_41 yas_47 ston_51 dang_56 
K12D0555_H0513:5a-8	byang chub sems dpa' sprin chen seng ge'i nga ro dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 seng_32 ge_37 nga_42 ro_46 dang_49 
K12D0555_H0513:5a-9	byang chub sems dpa' sprin chen glang po che'i rgyal po'i nga ro dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 glang_32 po_38 che_41 rgyal_47 po_53 nga_58 ro_62 dang_65 
K12D0555_H0513:5a-10	byang chub sems dpa' sprin chen bkra shis dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 bkra_32 shis_37 dang_42 
K12D0555_H0513:5a-11	byang chub sems dpa' sprin chen yon tan dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 yon_32 tan_36 dang_40 
K12D0555_H0513:5a-12	byang chub sems dpa' sprin chen nyi ma'i snying po dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 nyi_32 ma_36 snying_41 po_48 dang_51 
K12D0555_H0513:5a-13	byang chub sems dpa' sprin chen zla ba'i snying po dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 zla_32 ba_36 snying_41 po_48 dang_51 
K12D0555_H0513:5a-14	byang chub sems dpa' sprin chen skar ma'i 'od dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 skar_32 ma_37 'od_42 dang_46 
K12D0555_H0513:5a-15	byang chub sems dpa' sprin chen me'i 'od dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 me_32 'od_37 dang_41 
K12D0555_H0513:5a-16	byang chub sems dpa' sprin chen glog 'od dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 glog_32 'od_37 dang_41 
K12D0555_H0513:5a-17	byang chub sems dpa' sprin chen 'brug dbyangs dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 'brug_32 dbyangs_38 dang_46 
K12D0555_H0513:5a-18	byang chub sems dpa' sprin chen shes rab kyi char gyis kun tu khyab pa dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 shes_32 rab_37 kyi_41 char_45 gyis_50 kun_55 tu_59 khyab_62 ba_68 dang_71 
K12D0555_H0513:5b-0	byang chub sems dpa' sprin chen @5b bo rnam dag char rgyal dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 'bo_36 rnam_39 'dag_44 char_48 rgyal_53 dang_59 
K12D0555_H0513:5b-1	byang chub sems dpa' sprin chen me tog ljon shing rgyal po dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 me_32 tog_35 ljon_39 shing_44 rgyal_50 po_56 dang_59 
K12D0555_H0513:5b-2	byang chub sems dpa' sprin chen padma sngon po'i bsung dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 padma_32 sngon_38 po_44 bsung_49 dang_55 
K12D0555_H0513:5b-3	byang chub sems dpa' sprin chen rin po che'i tsandan gyi dris lus bsil bar byed pa dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 rin_32 po_36 che_39 tsandan_45 gyi_53 'dri_57 lus_62 bsil_66 ba_71 byed_75 ba_80 dang_83 
K12D0555_H0513:5b-4	byang chub sems dpa' sprin chen mun sel dang /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 mun_32 sel_36 dang_40 
K12D0555_H0513:5b-5	byang chub sems dpa' sprin chen rab rib 'joms la sogs pa /	byang_0 chub_6 sems_11 dpa'_16 sprin_21 chen_27 rab_32 rib_36 'joms_40 la_46 sogs_49 ba_54 
K12D0555_H0513:5b-6	'di ltar byang chub sems dpa'i tshogs chen po tshad	'di_0 ltar_4 byang_9 chub_15 sems_20 dpa_25 tshogs_31 chen_38 po_43 tshad_46 
K12D0555_H0513:5b-7	med pa de dag kyang so so nas phyi dro'i	med_0 ba_4 de_7 'dag_10 kyang_14 so_20 so_23 nas_26 phyi_30 dro_35 
