K04D0012_H0011:1b-0	@1b [dd] *//	[dd]_4 
K04D0012_H0011:2b-10	sems thams cad kyi dbang dam pa'i pha rol tu son pa thob pa sha stag ste /	sems_0 thams_5 cad_11 kyi_15 dbang_19 dam_25 ba_29 pha_34 rol_38 tu_42 son_45 ba_49 'thob_52 ba_57 sha_60 stag_64 ste_69 
K04D0012_H0011:2b-11	gang zag gcig ma gtogs pa ni /	gang_0 zag_5 gcig_9 ma_14 gtogs_17 ba_23 ni_26 
K04D0012_H0011:2b-12	'di lta ste /	'di_0 lta_4 ste_8 
K04D0012_H0011:2b-13	tshe dang ldan pa kun dga' bo'o //	tshe_0 dang_5 ldan_10 ba_15 kun_18 dga'_22 'bo_27 
K04D0012_H0011:2b-14	de nas bcom ldan 'das kyis gnas brtan tshe dang ldan pa rab 'byor la bka' stsal pa /	de_0 nas_3 'joms_7 ldan_12 'da'_17 kyis_22 gnas_27 brtan_32 tshe_38 dang_43 ldan_48 ba_53 rab_56 'byor_60 la_66 bka'_69 stsal_74 ba_80 
K04D0012_H0011:2b-15	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:2b-16	byang chub sems dpa' sems dpa' chen po rnams kyi	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 rnams_39 kyi_45 
K04D0012_H0011:2b-17	shes rab kyi pha rol tu phyin pa las brtsams	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 las_33 brtsams_37 
K04D0012_H0011:2b-18	te / ji ltar byang chub sems dpa' sems dpa'	te_0 ji_5 ltar_8 byang_13 chub_19 sems_24 dpa'_29 sems_34 dpa'_39 
K04D0012_H0011:2b-19	chen po rnams shes rab kyi pha rol tu phyin	chen_0 po_5 rnams_8 shes_14 rab_19 kyi_23 pha_27 rol_31 tu_35 phyin_38 
K04D0012_H0011:3a-0	te / @3a *// pa la nges par 'byung bar	te_0 ba_13 la_16 nges_19 ba_24 'byung_28 ba_35 
K04D0012_H0011:3a-1	'gyur ba de bzhin du khyod spobs par byos shig	'gyur_0 ba_6 de_9 bzhin_12 du_18 khyod_21 spobs_27 ba_33 byos_37 shig_42 
K04D0012_H0011:3a-0	te / @3a *// / de nas tshe dang ldan pa sh'a ri'i bu 'di snyam du sems te /	te_0 de_15 nas_18 tshe_22 dang_27 ldan_32 ba_37 sh_40 ri_45 bu_50 'di_53 snyam_57 du_63 sems_66 te_71 
K04D0012_H0011:3a-1	ci tshe dang ldan pa rab 'byor 'di bdag nyid	ci_0 tshe_3 dang_8 ldan_13 ba_18 rab_21 'byor_25 'di_31 bdag_35 nyid_40 
K04D0012_H0011:3a-2	kyi rang gi shes rab kyi spobs pa'i stobs bskyed	kyi_0 rang_4 gi_9 shes_12 rab_17 kyi_21 spobs_25 ba_31 stobs_36 skyed_42 
K04D0012_H0011:3a-3	pa dang / rang gi shes rab kyi spobs pa'i	ba_0 dang_3 rang_10 gi_15 shes_18 rab_23 kyi_27 spobs_31 ba_37 
K04D0012_H0011:3a-4	stobs byin gyis brlabs pas byang chub sems dpa' sems	stobs_0 byin_6 gyis_11 brlabs_16 ba_23 byang_27 chub_33 sems_38 dpa'_43 sems_48 
K04D0012_H0011:3a-5	dpa' chen po rnams kyi shes rab kyi pha rol	dpa'_0 chen_5 po_10 rnams_13 kyi_19 shes_23 rab_28 kyi_32 pha_36 rol_40 
K04D0012_H0011:3a-6	tu phyin pa nye bar ston par 'gyur ram /	tu_0 phyin_3 ba_9 nye_12 ba_16 ston_20 ba_25 'gyur_29 ram_35 
K04D0012_H0011:3a-7	'on te sangs rgyas kyi mthus yin snyam mo //	'on_0 te_4 sangs_7 rgya_13 kyi_19 mthus_23 yin_29 snyam_33 mo_39 
K04D0012_H0011:3a-8	de nas sangs rgyas kyi mthus tshe dang ldan pa	de_0 nas_3 sangs_7 rgya_13 kyi_19 mthus_23 tshe_29 dang_34 ldan_39 ba_44 
K04D0012_H0011:3a-9	rab 'byor gyis tshe dang ldan pa sh'a ri'i bu'i	rab_0 'byor_4 gyis_10 tshe_15 dang_20 ldan_25 ba_30 sh_33 ri_38 bu_43 
K04D0012_H0011:3a-10	de lta bu'i tshul gyi sems kyi rtog pa de	de_0 lta_3 bu_7 tshul_12 gyi_18 sems_22 kyi_27 rtogs_31 ba_36 de_39 
K04D0012_H0011:3a-11	sems kyis shes nas tshe dang ldan pa sh'a ri'i	sems_0 kyis_5 shes_10 nas_15 tshe_19 dang_24 ldan_29 ba_34 sh_37 ri_42 
K04D0012_H0011:3a-12	bu la 'di skad ces smras so //	bu_0 la_3 'di_6 skad_10 ces_15 smras_19 so_25 
K04D0012_H0011:3a-13	tshe dang ldan pa sh'a ri'i bu /	tshe_0 dang_5 ldan_10 ba_15 sh_18 ri_23 bu_28 
K04D0012_H0011:3b-0	bcom ldan 'das kyi nyan thos rnams ni gang ci smra @3b ba dang /	'joms_0 ldan_5 'da'_10 kyi_15 nyan_19 thos_24 rnams_29 ni_35 gang_38 ci_43 smra_46 ba_55 dang_58 
K04D0012_H0011:3b-1	ston pa dang /	ston_0 ba_5 dang_8 
K04D0012_H0011:3b-2	nye bar ston pa dang /	nye_0 ba_4 ston_8 ba_13 dang_16 
K04D0012_H0011:3b-3	rjod par byed pa dang /	rjod_0 ba_5 byed_9 ba_14 dang_17 
K04D0012_H0011:3b-4	gsal bar byed pa dang /	gsal_0 ba_5 byed_9 ba_14 dang_17 
K04D0012_H0011:3b-5	yang dag par gsal bar byed pa de dag thams cad ni /	yang_0 'dag_5 ba_9 gsal_13 ba_18 byed_22 ba_27 de_30 'dag_33 thams_37 cad_43 ni_47 
K04D0012_H0011:3b-6	de bzhin gshegs pa'i skyes bu'i mthu yin par rig par bya'o //	de_0 bzhin_3 gshegs_9 ba_16 skye_21 bu_27 mthu_32 yin_37 ba_41 rig_45 ba_49 byed_53 
K04D0012_H0011:3b-7	de ci'i phyir zhe na /	de_0 ci_3 phyir_8 zhe_14 na_18 
K04D0012_H0011:3b-8	de bzhin gshegs pas chos gang bstan pa'i chos bstan	de_0 bzhin_3 gshegs_9 ba_16 chos_20 gang_25 ston_30 ba_36 chos_41 ston_46 
K04D0012_H0011:3b-9	pa de la slob pa na de dag gis chos	ba_0 de_3 la_6 slob_9 ba_14 na_17 de_20 'dag_23 gis_27 chos_31 
K04D0012_H0011:3b-10	nyid de mngon sum du byas nas 'dzin to; ;de	nyid_0 de_5 mngon_8 sum_14 du_18 byed_21 nas_26 'dzin_30 to;_36 ;de_40 
K04D0012_H0011:3b-11	dag gis chos nyid de mngon sum du byas shing	'dag_0 gis_4 chos_8 nyid_13 de_18 mngon_21 sum_27 du_31 byed_34 shing_39 
K04D0012_H0011:3b-12	bzung nas gang dang gang 'chad pa dang /	bzung_0 nas_6 gang_10 dang_15 gang_20 'chad_25 ba_31 dang_34 
K04D0012_H0011:3b-13	gang dang gang ston pa dang /	gang_0 dang_5 gang_10 ston_15 ba_20 dang_23 
K04D0012_H0011:3b-14	gang dang gang nye bar ston pa dang /	gang_0 dang_5 gang_10 nye_15 ba_19 ston_23 ba_28 dang_31 
K04D0012_H0011:3b-15	gang dang gang rjod par byed pa dang /	gang_0 dang_5 gang_10 rjod_15 ba_20 byed_24 ba_29 dang_32 
K04D0012_H0011:3b-16	gang dang gang gsal bar byed pa dang /	gang_0 dang_5 gang_10 gsal_15 ba_20 byed_24 ba_29 dang_32 
K04D0012_H0011:3b-17	gang dang gang yang dag par gsal bar byed pa	gang_0 dang_5 gang_10 yang_15 'dag_20 ba_24 gsal_28 ba_33 byed_37 ba_42 
K04D0012_H0011:3b-18	de dag thams cad chos nyid dang mi 'gal ba	de_0 'dag_3 thams_7 cad_13 chos_17 nyid_22 dang_27 mi_32 'gal_35 ba_40 
K04D0012_H0011:3b-19	yin no // tshe dang ldan pa sh'a ri'i bu;	yin_0 no_4 tshe_10 dang_15 ldan_20 ba_25 sh_28 ri_33 bu;_38 
K04D0012_H0011:3b-20	rigs kyi bu de dag 'di ltar chos nyid de	rigs_0 kyi_5 bu_9 de_12 'dag_15 'di_19 ltar_23 chos_28 nyid_33 de_38 
K04D0012_H0011:3b-21	nye bar ston pa rnams chos nyid dang mi 'gal	nye_0 ba_4 ston_8 ba_13 rnams_16 chos_22 nyid_27 dang_32 mi_37 'gal_40 
K04D0012_H0011:3b-22	ba de'ang de bzhin gshegs pas chos bstan pa'i rgyu	ba_0 de_3 de_10 bzhin_13 gshegs_19 ba_26 chos_30 ston_35 ba_41 rgyu_46 
K04D0012_H0011:3b-23	yin no // mthun pa'o // de nas sangs rgyas	yin_0 no_4 mthun_10 ba_16 de_24 nas_27 sangs_31 rgya_37 
K04D0012_H0011:3b-24	kyi mthus tshe dang ldan pa rab 'byor gyis bcom	kyi_0 mthus_4 tshe_10 dang_15 ldan_20 ba_25 rab_28 'byor_32 gyis_38 'joms_43 
K04D0012_H0011:3b-25	ldan 'das la 'di skad ces gsol to //	ldan_0 'da'_5 la_10 'di_13 skad_17 ces_22 gsol_26 to_31 
K04D0012_H0011:3b-26	gang bcom ldan 'das kyis 'di skad du /	gang_0 'joms_5 ldan_10 'da'_15 kyis_20 'di_25 skad_29 du_34 
K04D0012_H0011:3b-27	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:3b-28	byang chub sems dpa' sems dpa' chen po rnams kyi	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 rnams_39 kyi_45 
K04D0012_H0011:3b-29	shes rab kyi pha rol tu phyin pa las brtsams	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 las_33 brtsams_37 
K04D0012_H0011:3b-30	te ji ltar byang chub sems dpa' sems dpa' chen	te_0 ji_3 ltar_6 byang_11 chub_17 sems_22 dpa'_27 sems_32 dpa'_37 chen_42 
K04D0012_H0011:3b-31	po rnams shes rab kyi pha rol tu phyin pa	po_0 rnams_3 shes_9 rab_14 kyi_18 pha_22 rol_26 tu_30 phyin_33 ba_39 
K04D0012_H0011:4a-0	la nges par 'byung bar 'gyur @4a *//	la_0 nges_3 ba_8 'byung_12 ba_19 'gyur_23 
K04D0012_H0011:4a-1	ba de bzhin du khyod spobs par byos shig ces bka' stsal pa /	ba_0 de_3 bzhin_6 du_12 khyod_15 spobs_21 ba_27 byos_31 shig_36 ces_41 bka'_45 stsal_50 ba_56 
K04D0012_H0011:4a-2	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:4a-3	byang chub sems dpa' byang chub sems dpa' zhes brjod pa gang lags pa de la bcom ldan 'das /	byang_0 chub_6 sems_11 dpa'_16 byang_21 chub_27 sems_32 dpa'_37 zhes_42 rjod_47 ba_53 gang_56 lags_61 ba_66 de_69 la_72 'joms_75 ldan_80 'da'_85 
K04D0012_H0011:4a-4	'di lta ste /	'di_0 lta_4 ste_8 
K04D0012_H0011:4a-5	byang chub sems dpa' zhes bgyi ba 'di chos gang gi tshig bla dvags lags /	byang_0 chub_6 sems_11 dpa'_16 zhes_21 bgyid_26 ba_31 'di_34 chos_38 gang_43 gi_48 tshig_51 bla_57 dvags_61 lags_67 
K04D0012_H0011:4a-6	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:4a-7	'di lta ste /	'di_0 lta_4 ste_8 
K04D0012_H0011:4a-8	byang chub sems dpa' zhes bgyi ba'i chos de bdag gis yang dag par rjes su ma mthong ngo //	byang_0 chub_6 sems_11 dpa'_16 zhes_21 bgyid_26 ba_31 chos_36 de_41 bdag_44 gis_49 yang_53 'dag_58 ba_62 rjes_66 su_71 ma_74 mthong_77 ngo_84 
K04D0012_H0011:4a-9	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:4a-10	'di lta ste /	'di_0 lta_4 ste_8 
K04D0012_H0011:4a-11	shes rab kyi pha rol tu phyin pa zhes bgyi	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 zhes_33 bgyid_38 
K04D0012_H0011:4a-12	ba'i chos de'ang bdag gis yang dag par rjes su	ba_0 chos_5 de_10 bdag_17 gis_22 yang_26 'dag_31 ba_35 rjes_39 su_44 
K04D0012_H0011:4a-13	ma mthong ngo // bcom ldan 'das /	ma_0 mthong_3 ngo_10 'joms_17 ldan_22 'da'_27 
K04D0012_H0011:4a-14	byang chub sems dpa'am /	byang_0 chub_6 sems_11 dpa_16 
K04D0012_H0011:4a-15	byang chub sems dpa'i chos kyang bdag gis ma 'tshal /	byang_0 chub_6 sems_11 dpa_16 chos_22 kyang_27 bdag_33 gis_38 ma_42 'tshal_45 
K04D0012_H0011:4a-16	ma dmigs /	ma_0 dmigs_3 
K04D0012_H0011:4a-17	yang dag par rjes su ma mthong /	yang_0 'dag_5 ba_9 rjes_13 su_18 ma_21 mthong_24 
K04D0012_H0011:4a-18	shes rab kyi pha rol tu phyin pa'ang ma 'tshal /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 ma_37 'tshal_40 
K04D0012_H0011:4a-19	ma dmigs /	ma_0 dmigs_3 
K04D0012_H0011:4a-20	yang dag par rjes su ma mthong na /	yang_0 'dag_5 ba_9 rjes_13 su_18 ma_21 mthong_24 na_31 
K04D0012_H0011:4a-21	byang chub sems dpa' gang zhig shes rab kyi pha	byang_0 chub_6 sems_11 dpa'_16 gang_21 'jig_26 shes_31 rab_36 kyi_40 pha_44 
K04D0012_H0011:4a-22	rol tu phyin pa gang la gdams shing rjes su	rol_0 tu_4 phyin_7 ba_13 gang_16 la_21 'doms_24 shing_30 rjes_36 su_41 
K04D0012_H0011:4a-23	bstan par bgyi / bcom ldan 'das /	ston_0 ba_6 bgyid_10 'joms_17 ldan_22 'da'_27 
K04D0012_H0011:4a-24	'on kyang yang gal te 'di ltar smras pa dang /	'on_0 kyang_4 yang_10 gal_15 te_19 'di_22 ltar_26 smras_31 ba_37 dang_40 
K04D0012_H0011:4a-25	bstan pa dang /	ston_0 ba_6 dang_9 
K04D0012_H0011:4a-26	nye bar bstan pa la byang chub sems dpa' sems dpa' chen po sems mi 'gong /	nye_0 ba_4 ston_8 ba_14 la_17 byang_20 chub_26 sems_31 dpa'_36 sems_41 dpa'_46 chen_51 po_56 sems_59 mi_64 'gong_67 
K04D0012_H0011:4a-27	kun tu mi zhum /	kun_0 tu_4 mi_7 zhum_10 
K04D0012_H0011:4a-28	bag mi tsha /	bag_0 mi_4 tsha_7 
K04D0012_H0011:4a-29	bag 'khums par mi 'gyur /	bag_0 'khums_4 ba_11 mi_15 'gyur_18 
K04D0012_H0011:4a-30	'di'i yid phyir phyogs par mi bgyid /	'di_0 yid_6 phyir_10 phyogs_16 ba_23 mi_27 bgyid_30 
K04D0012_H0011:4a-31	bcom zhing phyir phyogs par mi 'gyur /	'joms_0 zhing_5 phyir_11 phyogs_17 ba_24 mi_28 'gyur_31 
K04D0012_H0011:4a-32	mi dngang /	mi_0 dngang_3 
K04D0012_H0011:4b-0	kun tu mi @4b skrag /	kun_0 tu_4 mi_7 skrag_14 
K04D0012_H0011:4b-1	kun tu skrag pa dang ldan par mi 'gyur na /	kun_0 tu_4 skrag_7 ba_13 dang_16 ldan_21 ba_26 mi_30 'gyur_33 na_39 
K04D0012_H0011:4b-2	'di nyid byang chub sems dpa' sems dpa' chen po	'di_0 nyid_4 byang_9 chub_15 sems_20 dpa'_25 sems_30 dpa'_35 chen_40 po_45 
K04D0012_H0011:4b-3	shes rab kyi pha rol tu phyin pa la rjes	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 rjes_36 
K04D0012_H0011:4b-4	su bstan par bgyi ba lags so //	su_0 ston_3 ba_9 bgyid_13 ba_18 lags_21 so_26 
K04D0012_H0011:4b-5	'di nyid byang chub sems dpa' sems dpa' chen po'i	'di_0 nyid_4 byang_9 chub_15 sems_20 dpa'_25 sems_30 dpa'_35 chen_40 po_45 
K04D0012_H0011:4b-6	shes rab kyi pha rol tu phyin par rig par	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 rig_34 ba_38 
K04D0012_H0011:4b-7	bgyi'o // 'di nyid shes rab kyi pha rol tu phyin pa la gdams pa lags so //	bgyid_0 'di_10 nyid_14 shes_19 rab_24 kyi_28 pha_32 rol_36 tu_40 phyin_43 ba_49 la_52 'doms_55 ba_61 lags_64 so_69 
K04D0012_H0011:4b-8	gal te de ltar gnas na /	gal_0 te_4 de_7 ltar_10 gnas_15 na_20 
K04D0012_H0011:4b-9	de nyid 'di'i gdams pa dang /	de_0 nyid_3 'di_8 'doms_14 ba_20 dang_23 
K04D0012_H0011:4b-10	rjes su bstan pa lags so //	rjes_0 su_5 ston_8 ba_14 lags_17 so_22 
K04D0012_H0011:4b-11	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:4b-12	gzhan yang byang chub sems dpa' sems dpa' chen po	gzhan_0 yang_6 byang_11 chub_17 sems_22 dpa'_27 sems_32 dpa'_37 chen_42 po_47 
K04D0012_H0011:4b-13	shes rab kyi pha rol tu phyin pa la spyod	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 spyod_36 
K04D0012_H0011:4b-14	cing shes rab kyi pha rol tu phyin pa bsgoms	cing_0 shes_5 rab_10 kyi_14 pha_18 rol_22 tu_26 phyin_29 ba_35 sgom_38 
K04D0012_H0011:4b-15	pas / ji ltar bslabs na /	ba_0 ji_6 ltar_9 bslabs_14 na_21 
K04D0012_H0011:4b-16	'di byang chub kyi sems des kyang rlom sems su mi bgyid pa de ltar bslab par bgyi'o //	'di_0 byang_4 chub_10 kyi_15 sems_19 des_24 kyang_28 rlom_34 sems_39 su_44 mi_47 bgyid_50 ba_56 de_59 ltar_62 bslab_67 ba_73 bgyid_77 
K04D0012_H0011:4b-17	de ci'i slad du zhe na; 'di ltar sems de ni /	de_0 ci_3 slad_8 du_13 zhe_16 na;_20 'di_24 ltar_28 sems_33 de_38 ni_41 
K04D0012_H0011:4b-18	sems ma mchis pa ste /	sems_0 ma_5 mchis_8 ba_14 ste_17 
K04D0012_H0011:4b-19	sems kyi rang bzhin ni /	sems_0 kyi_5 rang_9 bzhin_14 ni_20 
K04D0012_H0011:4b-20	'od gsal ba lags so //	'od_0 gsal_4 ba_9 lags_12 so_17 
K04D0012_H0011:4b-21	de nas tshe dang ldan pa sh'a ri'i bus tshe	de_0 nas_3 tshe_7 dang_12 ldan_17 ba_22 sh_25 ri_30 'bud_35 tshe_39 
K04D0012_H0011:4b-22	dang ldan pa rab 'byor la 'di skad ces smras	dang_0 ldan_5 ba_10 rab_13 'byor_17 la_23 'di_26 skad_30 ces_35 smras_39 
K04D0012_H0011:4b-23	so // tshe dang ldan pa rab 'byor /	so_0 tshe_6 dang_11 ldan_16 ba_21 rab_24 'byor_28 
K04D0012_H0011:4b-24	yang ci sems gang sems med pa'i sems de yod dam /	yang_0 ci_5 sems_8 gang_13 sems_18 med_23 ba_27 sems_32 de_37 yod_40 dam_44 
K04D0012_H0011:4b-25	de skad ces smras pa dang /	de_0 skad_3 ces_8 smras_12 ba_18 dang_21 
K04D0012_H0011:4b-26	tshe dang ldan pa rab 'byor gyis tshe dang ldan	tshe_0 dang_5 ldan_10 ba_15 rab_18 'byor_22 gyis_28 tshe_33 dang_38 ldan_43 
K04D0012_H0011:4b-27	pa sh'a ri'i bu la 'di skad ces smras so	ba_0 sh_3 ri_8 bu_13 la_16 'di_19 skad_23 ces_28 smras_32 so_38 
K04D0012_H0011:4b-28	// tshe dang ldan pa sh'a ri'i bu /	tshe_3 dang_8 ldan_13 ba_18 sh_21 ri_26 bu_31 
K04D0012_H0011:4b-29	yang ci sems med pa nyid gang yin pa'i sems med pa nyid de la yod pa nyid dam /	yang_0 ci_5 sems_8 med_13 ba_17 nyid_20 gang_25 yin_30 ba_34 sems_39 med_44 ba_48 nyid_51 de_56 la_59 yod_62 ba_66 nyid_69 dam_74 
K04D0012_H0011:4b-30	med pa nyid yod pa'am /	med_0 ba_4 nyid_7 yod_12 ba_16 
K04D0012_H0011:5a-0	dmigs par yang @5a *//	dmigs_0 ba_6 yang_10 
K04D0012_H0011:5a-1	'gyur ram /	'gyur_0 ram_6 
K04D0012_H0011:5a-2	sh'a ri'i bus smras pa /	sh_0 ri_5 'bud_10 smras_14 ba_20 
K04D0012_H0011:5a-3	tshe dang ldan pa rab 'byor /	tshe_0 dang_5 ldan_10 ba_15 rab_18 'byor_22 
K04D0012_H0011:5a-4	de ni /	de_0 ni_3 
K04D0012_H0011:5a-5	med do //	med_0 do_4 
K04D0012_H0011:5a-6	rab 'byor gyis smras pa /	rab_0 'byor_4 gyis_10 smras_15 ba_21 
K04D0012_H0011:5a-7	tshe dang ldan pa sh'a ri'i bu /	tshe_0 dang_5 ldan_10 ba_15 sh_18 ri_23 bu_28 
K04D0012_H0011:5a-8	gal te sems med pa de la yod pa'am /	gal_0 te_4 sems_7 med_12 ba_16 de_19 la_22 yod_25 ba_29 
K04D0012_H0011:5a-9	med pa med cing mi dmigs na /	med_0 ba_4 med_7 cing_11 mi_16 dmigs_19 na_25 
K04D0012_H0011:5a-10	tshe dang ldan pa sh'a ri'i bu /	tshe_0 dang_5 ldan_10 ba_15 sh_18 ri_23 bu_28 
K04D0012_H0011:5a-11	'di skad du /	'di_0 skad_4 du_9 
K04D0012_H0011:5a-12	sems gang sems med pa'i sems de yod dam zhes	sems_0 gang_5 sems_10 med_15 ba_19 sems_24 de_29 yod_32 dam_36 zhes_40 
K04D0012_H0011:5a-13	smras pa'i khyod kyis brgal ba gang yin pa de	smras_0 ba_6 khyod_11 kyis_17 rgol_22 ba_28 gang_31 yin_36 ba_40 de_43 
K04D0012_H0011:5a-14	ci rigs par 'gyur ram /	ci_0 rigs_3 ba_8 'gyur_12 ram_18 
K04D0012_H0011:5a-15	de skad ces smras pa dang /	de_0 skad_3 ces_8 smras_12 ba_18 dang_21 
K04D0012_H0011:5a-16	tshe dang ldan pa sh'a ri'i bus tshe dang ldan pa rab 'byor la 'di skad ces smras so //	tshe_0 dang_5 ldan_10 ba_15 sh_18 ri_23 'bud_28 tshe_32 dang_37 ldan_42 ba_47 rab_50 'byor_54 la_60 'di_63 skad_67 ces_72 smras_76 so_82 
K04D0012_H0011:5a-17	tshe dang ldan pa rab 'byor sems med pa nyid de'ang gang yin /	tshe_0 dang_5 ldan_10 ba_15 rab_18 'byor_22 sems_28 med_33 ba_37 nyid_40 de_45 gang_52 yin_57 
K04D0012_H0011:5a-18	rab 'byor gyis smras pa /	rab_0 'byor_4 gyis_10 smras_15 ba_21 
K04D0012_H0011:5a-19	tshe dang ldan pa sh'a ri'i bu /	tshe_0 dang_5 ldan_10 ba_15 sh_18 ri_23 bu_28 
K04D0012_H0011:5a-20	sems med pa de ni /	sems_0 med_5 ba_9 de_12 ni_15 
K04D0012_H0011:5a-21	'gyur ba med pa /	'gyur_0 ba_6 med_9 ba_13 
K04D0012_H0011:5a-22	rnam par rtog pa med pa'o //	rnam_0 ba_5 rtogs_9 ba_14 med_17 ba_21 
K04D0012_H0011:5a-23	de nas tshe dang ldan pa sh'a ri'i bus tshe dang ldan pa rab 'byor la legs so //	de_0 nas_3 tshe_7 dang_12 ldan_17 ba_22 sh_25 ri_30 'bud_35 tshe_39 dang_44 ldan_49 ba_54 rab_57 'byor_61 la_67 legs_70 so_75 
K04D0012_H0011:5a-24	zhes bya ba byin te /	zhes_0 byed_5 ba_9 byin_12 te_17 
K04D0012_H0011:5a-25	tshe dang ldan pa rab 'byor /	tshe_0 dang_5 ldan_10 ba_15 rab_18 'byor_22 
K04D0012_H0011:5a-26	ji ltar yang khyod bcom ldan 'das kyis nyon mongs	ji_0 ltar_3 yang_8 khyod_13 'joms_19 ldan_24 'da'_29 kyis_34 nyon_39 mongs_44 
