K07D0045_H0045:1b-0	@1b [dd] #//	[dd]_4 
K07D0045_H0045:2b-16	glang po che dang /	glang_0 po_6 che_9 dang_13 
K07D0045_H0045:2b-17	bse dang /	bse_0 dang_4 
K07D0045_H0045:2b-18	dom dang /	dom_0 dang_4 
K07D0045_H0045:2b-19	dred dang /	dred_0 dang_5 
K07D0045_H0045:2b-20	gzig dang /	gzig_0 dang_5 
K07D0045_H0045:2b-21	ma he dang /	ma_0 he_3 dang_6 
K07D0045_H0045:2b-22	sha bkra dang /	sha_0 bkra_4 dang_9 
K07D0045_H0045:2b-23	bse kha sgo dang /	bse_0 kha_4 sgo_8 dang_12 
K07D0045_H0045:2b-24	ba lang kha zho sngon po dang /	ba_0 lang_3 kha_8 zho_12 sngon_16 po_22 dang_25 
K07D0045_H0045:2b-25	ba lang dang /	ba_0 lang_3 dang_8 
K07D0045_H0045:2b-26	sha ba dang /	sha_0 ba_4 dang_7 
K07D0045_H0045:2b-27	shan dmar dang /	shan_0 dmar_5 dang_10 
K07D0045_H0045:2b-28	spre'u'i tshogs rnam par rgyu ba'o //	spre'i_0 tshogs_9 rnam_16 ba_21 rgyu_25 ba_30 
K07D0045_H0045:2b-29	de na bya rnam pa mang po brgya stong gnas pa /	de_0 na_3 byed_6 rnam_10 ba_15 mang_18 po_23 brgya_26 stong_32 gnas_38 ba_43 
K07D0045_H0045:2b-30	'di lta ste /	'di_0 lta_4 ste_8 
K07D0045_H0045:2b-31	ne tso dang /	ne_0 tso_3 dang_7 
K07D0045_H0045:2b-32	ri skegs dang /	ri_0 skegs_3 dang_9 
K07D0045_H0045:2b-33	khu byug dang /	khu_0 'byug_4 dang_9 
K07D0045_H0045:2b-34	shang shang te'u dang /	shang_0 shang_6 te_12 dang_17 
K07D0045_H0045:2b-35	ngang pa dang /	ngang_0 ba_6 dang_9 
K07D0045_H0045:2b-36	khrung khrung dang /	khrung_0 khrung_7 dang_14 
K07D0045_H0045:2b-37	rma bya dang /	rma_0 byed_4 dang_8 
K07D0045_H0045:2b-38	ghu ghu sta ka dang /	ghu_0 ghu_4 sta_8 ka_12 dang_15 
K07D0045_H0045:2b-39	ka da ka dang /	ka_0 da_3 ka_6 dang_9 
K07D0045_H0045:3a-0	thing @3a *//	thing_0 
K07D0045_H0045:3a-1	ril dang /	ril_0 dang_4 
K07D0045_H0045:3a-2	yid 'ong ngang pa dang /	yid_0 'ong_4 ngang_9 ba_15 dang_18 
K07D0045_H0045:3a-3	gong ma sreg dang /	gong_0 ma_5 sreg_8 dang_13 
K07D0045_H0045:3a-4	ae da nu ma k'a ka dhe nu dang /	ae_0 da_3 nu_6 ma_9 k_12 ka_16 dhe_19 nu_23 dang_26 
K07D0045_H0045:3a-5	dhan dha zhes bya ba dang /	dhan_0 dha_5 zhes_9 byed_14 ba_18 dang_21 
K07D0045_H0045:3a-6	ka da ru ha dang /	ka_0 da_3 ru_6 ha_9 dang_12 
K07D0045_H0045:3a-7	mor dang /	mor_0 dang_4 
K07D0045_H0045:3a-8	ngur pa dang /	ngur_0 ba_5 dang_8 
K07D0045_H0045:3a-9	bi ra ba ta dang /	bi_0 ra_3 ba_6 ta_9 dang_12 
K07D0045_H0045:3a-10	rdo rje mchog dang /	rdo_0 rje_4 mchog_8 dang_14 
K07D0045_H0045:3a-11	ka ra nad pa dang /	ka_0 ra_3 nad_6 ba_10 dang_13 
K07D0045_H0045:3a-12	ngang skya dang /	ngang_0 skya_6 dang_11 
K07D0045_H0045:3a-13	kug ku ha dang /	kug_0 ku_4 ha_7 dang_10 
K07D0045_H0045:3a-14	nor skyong dang /	nor_0 skyong_4 dang_11 
K07D0045_H0045:3a-15	sha ma dang; shi khan di la dang /	sha_0 ma_4 dang;_7 'chi_13 khan_17 di_22 la_25 dang_28 
K07D0045_H0045:3a-16	bya gag dang /	byed_0 gag_4 dang_8 
K07D0045_H0045:3a-17	phug ron dang /	'bugs_0 ron_5 dang_9 
K07D0045_H0045:3a-18	kag ka ba dang /	kag_0 ka_4 ba_7 dang_10 
K07D0045_H0045:3a-19	ku ra ta dang /	ku_0 ra_3 ta_6 dang_9 
K07D0045_H0045:3a-20	bya rgod dang /	byed_0 rgod_4 dang_9 
K07D0045_H0045:3a-21	b'a na t'a sha ka dang /	b_0 na_4 t_7 sha_11 ka_15 dang_18 
K07D0045_H0045:3a-22	tsad tsa la dang /	tsad_0 tsa_5 la_9 dang_12 
K07D0045_H0045:3a-23	gser bu dang /	gser_0 bu_5 dang_8 
K07D0045_H0045:3a-24	'ol ba dang /	'ol_0 ba_4 dang_7 
K07D0045_H0045:3a-25	khra dang /	khra_0 dang_5 
K07D0045_H0045:3a-26	khra sems shes dang /	khra_0 sems_5 shes_10 dang_15 
K07D0045_H0045:3a-27	'ug pa dang /	'ug_0 ba_4 dang_7 
K07D0045_H0045:3a-28	sreg pa dang /	sreg_0 ba_5 dang_8 
K07D0045_H0045:3a-29	ka pin da ka dang /	ka_0 pin_3 da_7 ka_10 dang_13 
K07D0045_H0045:3a-30	pad ti ka dang /	pad_0 ti_4 ka_7 dang_10 
K07D0045_H0045:3a-31	na ba tsa ti ka dang; kha ba tsita ka dang /	na_0 ba_3 tsa_6 ti_10 ka_13 dang;_16 kha_22 ba_26 tsita_29 ka_35 dang_38 
K07D0045_H0045:3a-32	ca sha dang /	ca_0 sha_3 dang_7 
K07D0045_H0045:3a-33	tsa ko ra dang /	tsa_0 ko_4 ra_7 dang_10 
K07D0045_H0045:3a-34	bya gag bya rgod dang /	byed_0 gag_4 byed_8 rgod_12 dang_17 
K07D0045_H0045:3a-35	rgyags byed ri skegs dang /	rgyags_0 byed_7 ri_12 skegs_15 dang_21 
K07D0045_H0045:3a-36	ka ta ma ka dang /	ka_0 ta_3 ma_6 ka_9 dang_12 
K07D0045_H0045:3a-37	ka tsa ru tsa ka dang /	ka_0 tsa_3 ru_7 tsa_10 ka_14 dang_17 
K07D0045_H0045:3a-38	ka ra ru be ka dang; de dag la sogs pa bya'i tshogs rnams gnas te /	ka_0 ra_3 ru_6 be_9 ka_12 dang;_15 de_21 'dag_24 la_28 sogs_31 ba_36 byed_39 tshogs_45 rnams_52 gnas_58 te_63 
K07D0045_H0045:3a-39	de dag kyang sangs rgyas kyi mthus 'dod chags kyi gnod pa med do //	de_0 'dag_3 kyang_7 sangs_13 rgya_19 kyi_25 mthus_29 'dod_35 chags_40 kyi_46 gnod_50 ba_55 med_58 do_62 
K07D0045_H0045:3a-40	zhe sdang dang /	zhe_0 sdang_4 dang_10 
K07D0045_H0045:3b-0	@3b gti mug gi gnod pa med do //	gti_4 mug_8 gi_12 gnod_15 ba_20 med_23 do_27 
K07D0045_H0045:3b-1	gcig la gcig mi za'o //	gcig_0 la_5 gcig_8 mi_13 za_16 
K07D0045_H0045:3b-2	de dag gcig la gcig pha mar 'du shes shing gnas so //	de_0 'dag_3 gcig_7 la_12 gcig_15 pha_20 mar_24 'du_28 shes_32 shing_37 gnas_43 so_48 
K07D0045_H0045:3b-3	yang ri'i rgyal po bya rgod kyi phung po de	yang_0 ri_5 rgyal_10 po_16 byed_19 rgod_23 kyi_28 'phung_32 po_38 de_41 
K07D0045_H0045:3b-4	la shing gi tshogs brgya stong du ma yal ga	la_0 shing_3 gi_9 tshogs_12 brgya_19 stong_25 du_31 ma_34 yal_37 ga_41 
K07D0045_H0045:3b-5	stug cing / lo ma rgyas la /	stug_0 cing_5 lo_12 ma_15 rgya_18 la_24 
K07D0045_H0045:3b-6	'dab na drang srong gnas pa dag yod pa la /	'dab_0 na_5 'dren_8 srong_14 gnas_20 ba_25 'dag_28 yod_32 ba_36 la_39 
K07D0045_H0045:3b-7	'di lta ste /	'di_0 lta_4 ste_8 
K07D0045_H0045:3b-8	thang shing dang /	thang_0 shing_6 dang_12 
K07D0045_H0045:3b-9	blag sha dang /	blag_0 sha_5 dang_9 
K07D0045_H0045:3b-10	aa shvad tha dang /	aa_0 shvad_3 tha_9 dang_13 
K07D0045_H0045:3b-11	pi pi ling gi shing dang /	pi_0 pi_3 ling_6 gi_11 shing_14 dang_20 
K07D0045_H0045:3b-12	rgya skyegs shing dang /	rgya_0 skyegs_5 shing_12 dang_18 
K07D0045_H0045:3b-13	ha ri ta dang /	ha_0 ri_3 ta_6 dang_9 
K07D0045_H0045:3b-14	aa ru ra'i shing dang /	aa_0 ru_3 ra_6 shing_11 dang_17 
K07D0045_H0045:3b-15	skyu ru ra'i shing dang /	skyu_0 ru_5 ra_8 shing_13 dang_19 
K07D0045_H0045:3b-16	ba ru ra'i shing dang /	ba_0 ru_3 ra_6 shing_11 dang_17 
K07D0045_H0045:3b-17	s'a la dang /	s_0 la_4 dang_7 
K07D0045_H0045:3b-18	ta la dang /	ta_0 la_3 dang_6 
K07D0045_H0045:3b-19	nag ta m'a la dang /	nag_0 ta_4 m_7 la_11 dang_14 
K07D0045_H0045:3b-20	dong ka'i shing dang /	'dong_0 ka_5 shing_10 dang_16 
K07D0045_H0045:3b-21	aa mra dang /	aa_0 mra_3 dang_7 
K07D0045_H0045:3b-22	dzambu'i shing dang /	dzambu_0 shing_9 dang_15 
K07D0045_H0045:3b-23	kham shing dang /	kham_0 shing_5 dang_11 
K07D0045_H0045:3b-24	ka pid tha dang /	ka_0 pid_3 tha_7 dang_11 
K07D0045_H0045:3b-25	rgya shug gi shing dang /	rgya_0 shug_5 gi_10 shing_13 dang_19 
K07D0045_H0045:3b-26	seng ldeng gi shing dang /	seng_0 ldeng_5 gi_11 shing_14 dang_20 
K07D0045_H0045:3b-27	ma du lung ka dang /	ma_0 du_3 lung_6 ka_11 dang_14 
K07D0045_H0045:3b-28	bal po si'u shing dang /	bal_0 po_4 si_7 shing_12 dang_18 
K07D0045_H0045:3b-29	starga shing dang /	starga_0 shing_7 dang_13 
K07D0045_H0045:3b-30	tin tu ka dang /	tin_0 tu_4 ka_7 dang_10 
K07D0045_H0045:3b-31	kud tsa ka dang /	kud_0 tsa_4 ka_8 dang_11 
K07D0045_H0045:3b-32	dha ba ka dang /	dha_0 ba_4 ka_7 dang_10 
K07D0045_H0045:3b-33	sa ral dang /	sa_0 ral_3 dang_7 
K07D0045_H0045:3b-34	ael dang /	ael_0 dang_4 
K07D0045_H0045:3b-35	kshu pa dang /	kshu_0 ba_5 dang_8 
K07D0045_H0045:3b-36	n+ya gro dha dang /	n_0 ya_2 gro_5 dha_9 dang_13 
K07D0045_H0045:3b-37	di dha ni ma dang /	di_0 dha_3 ni_7 ma_10 dang_13 
K07D0045_H0045:3b-38	'bra go dang /	'bra_0 go_5 dang_8 
K07D0045_H0045:3b-39	kam pi la dang /	kam_0 pi_4 la_7 dang_10 
K07D0045_H0045:3b-40	pa la sha dang /	ba_0 la_3 sha_6 dang_10 
K07D0045_H0045:3b-41	ni ya ma dang /	ni_0 ya_3 ma_6 dang_9 
K07D0045_H0045:3b-42	ka ke ri ya dang /	ka_0 ke_3 ri_6 ya_9 dang_12 
K07D0045_H0045:3b-43	nid dya pi lo dhi dang /	nid_0 dya_4 pi_8 lo_11 dhi_14 dang_18 
K07D0045_H0045:3b-44	pog dka' po'i shing dang /	pog_0 dka'_4 po_9 shing_14 dang_20 
K07D0045_H0045:3b-45	sra rtsi pog gi shing dang /	sra_0 rtsi_4 pog_9 gi_13 shing_16 dang_22 
K07D0045_H0045:3b-46	shing kun shing dang /	shing_0 kun_6 shing_10 dang_16 
K07D0045_H0045:3b-47	tsan dan dang /	tsan_0 dan_5 dang_9 
K07D0045_H0045:3b-48	tsandan dmar po dang /	tsandan_0 dmar_8 po_13 dang_16 
K07D0045_H0045:3b-49	au pa da dang /	au_0 ba_3 da_6 dang_9 
K07D0045_H0045:3b-50	sa ka bi ka dang /	sa_0 ka_3 bi_6 ka_9 dang_12 
K07D0045_H0045:3b-51	gardza dang /	gardza_0 dang_7 
K07D0045_H0045:3b-52	bi gardza dang /	bi_0 gardza_3 dang_10 
K07D0045_H0045:3b-53	gser shing dang /	gser_0 shing_5 dang_11 
K07D0045_H0045:3b-54	pa na sa dang /	ba_0 na_3 sa_6 dang_9 
K07D0045_H0045:3b-55	rgun shing dang /	rgun_0 shing_5 dang_11 
K07D0045_H0045:3b-56	shing bal shing dang /	shing_0 bal_6 shing_10 dang_16 
K07D0045_H0045:3b-57	pa riksha tra dang /	ba_0 riksha_3 tra_10 dang_14 
K07D0045_H0045:3b-58	hi la ste /	hi_0 la_3 ste_6 
K07D0045_H0045:3b-59	lha dang bcas pa dag go /	lha_0 dang_4 'cha'_9 ba_14 'dag_17 go_21 
K07D0045_H0045:4a-0	yang ri'i rgyal po bya rgod kyi phung po de la thang @4a *//	yang_0 ri_5 rgyal_10 po_16 byed_19 rgod_23 kyi_28 'phung_32 po_38 de_41 la_44 thang_47 
K07D0045_H0045:4a-1	las skyes pa'i me tog rnam pa mang po dag skyes pa /	las_0 skye_4 ba_10 me_15 tog_18 rnam_22 ba_27 mang_30 po_35 'dag_38 skye_42 ba_48 
K07D0045_H0045:4a-2	'di lta ste /	'di_0 lta_4 ste_8 
K07D0045_H0045:4a-3	aa ti mug ta ka dang /	aa_0 ti_3 mug_6 ta_10 ka_13 dang_16 
K07D0045_H0045:4a-4	tsam pa ka dang /	tsam_0 ba_5 ka_8 dang_11 
K07D0045_H0045:4a-5	skya snar dang /	skya_0 snar_5 dang_10 
K07D0045_H0045:4a-6	b'a ra shi ka dang /	b_0 ra_4 'chi_7 ka_11 dang_14 
K07D0045_H0045:4a-7	sna ma'i me tog dang /	sna_0 ma_4 me_9 tog_12 dang_16 
K07D0045_H0045:4a-8	dri mchog dang /	'dri_0 mchog_4 dang_10 
K07D0045_H0045:4a-9	yu thi ka dang /	yu_0 thi_3 ka_7 dang_10 
K07D0045_H0045:4a-10	da nu ka ri dang /	da_0 nu_3 ka_6 ri_9 dang_12 
K07D0045_H0045:4a-11	bal la dang /	bal_0 la_4 dang_7 
K07D0045_H0045:4a-12	ta ra ni dang /	ta_0 ra_3 ni_6 dang_9 
K07D0045_H0045:4a-13	ga pa ta pa ri ni dang /	ga_0 ba_3 ta_6 ba_9 ri_12 ni_15 dang_18 
K07D0045_H0045:4a-14	kang sa gu na dang /	kang_0 sa_5 gu_8 na_11 dang_14 
K07D0045_H0045:4a-15	lug mig dang /	lug_0 mig_4 dang_8 
K07D0045_H0045:4a-16	ha ri nni ka dang /	ha_0 ri_3 nni_6 ka_10 dang_13 
K07D0045_H0045:4a-17	mad ta li ka dang /	mad_0 ta_4 li_7 ka_10 dang_13 
K07D0045_H0045:4a-18	man dzu bu spi ka ste /	man_0 dzu_4 bu_8 spi_11 ka_15 ste_18 
K07D0045_H0045:4a-19	me tog sna tshogs de lta bu dag gis ri'i	me_0 tog_3 sna_7 tshogs_11 de_18 lta_21 bu_25 'dag_28 gis_32 ri_36 
K07D0045_H0045:4a-20	rgyal po bya rgod kyi phung po gang zhing mdzes	rgyal_0 po_6 byed_9 rgod_13 kyi_18 'phung_22 po_28 gang_31 zhing_36 mdzes_42 
K07D0045_H0045:4a-21	so // yang ri'i rgyal po bya rgod kyi phung	so_0 yang_6 ri_11 rgyal_16 po_22 byed_25 rgod_29 kyi_34 'phung_38 
K07D0045_H0045:4a-22	po de la chu las skyes pa'i me tog rnam	po_0 de_3 la_6 chu_9 las_13 skye_17 ba_23 me_28 tog_31 rnam_35 
K07D0045_H0045:4a-23	pa mang po de dag skye ba /	ba_0 mang_3 po_8 de_11 'dag_14 skye_18 ba_23 
K07D0045_H0045:4a-24	'di lta ste /	'di_0 lta_4 ste_8 
K07D0045_H0045:4a-25	autpa la dang /	autpa_0 la_6 dang_9 
K07D0045_H0045:4a-26	padma dang /	padma_0 dang_6 
K07D0045_H0045:4a-27	ku mu ta dang /	ku_0 mu_3 ta_6 dang_9 
K07D0045_H0045:4a-28	padma dkar po dang /	padma_0 dkar_6 po_11 dang_14 
K07D0045_H0045:4a-29	bang ka ni ri ti ka dang /	bang_0 ka_5 ni_8 ri_11 ti_14 ka_17 dang_20 
K07D0045_H0045:4a-30	kang ka ra ka dang /	kang_0 ka_5 ra_8 ka_11 dang_14 
K07D0045_H0045:4a-31	kang ka ra ka chen po ste /	kang_0 ka_5 ra_8 ka_11 chen_14 po_19 ste_22 
K07D0045_H0045:4a-32	de dag la sogs pa chu las skyes pa'i me	de_0 'dag_3 la_7 sogs_10 ba_15 chu_18 las_22 skye_26 ba_32 me_37 
K07D0045_H0045:4a-33	tog rnams kyis ri'i rgyal po bya rgod kyi phung	tog_0 rnams_4 kyis_10 ri_15 rgyal_20 po_26 byed_29 rgod_33 kyi_38 'phung_42 
K07D0045_H0045:4a-34	po mdzes par byas so //	po_0 mdzes_3 ba_9 byed_13 so_18 
K07D0045_H0045:4a-35	yang ri'i rgyal po bya rgod kyi phung po de	yang_0 ri_5 rgyal_10 po_16 byed_19 rgod_23 kyi_28 'phung_32 po_38 de_41 
K07D0045_H0045:4a-36	la rtag tu rgyun mi 'chad par nam gyi gung	la_0 rtag_3 tu_8 rgyun_11 mi_17 'chad_20 ba_26 nam_30 gyi_34 gung_38 
K07D0045_H0045:4a-37	thun la sprin chen po mngon par 'dus te /	thun_0 la_5 sprin_8 chen_14 po_19 mngon_22 ba_28 'du_32 te_37 
K07D0045_H0045:4a-38	thog mar ri'i rgyal po bya rgod kyi phung po	thogs_0 mar_5 ri_9 rgyal_14 po_20 byed_23 rgod_27 kyi_32 'phung_36 po_42 
K07D0045_H0045:4a-39	de la char sprin lha'i bu mngon par bsgrags nas	de_0 la_3 char_6 sprin_11 lha_17 bu_23 mngon_26 ba_32 sgrog_36 nas_44 
K07D0045_H0045:4a-40	/ ba 'jos tsam gyi bar du yan lag brgyad	ba_2 'jo_5 tsam_10 gyi_15 ba_19 du_23 yan_26 lag_30 brgyad_34 
K07D0045_H0045:4a-41	dang ldan pa'i char zim bu zim bu dal bu	dang_0 ldan_5 ba_10 char_15 zim_20 bu_24 zim_27 bu_31 'dal_34 bu_38 
K07D0045_H0045:4a-42	dal bus 'bab ste /	'dal_0 'bud_4 'bab_8 ste_13 
K07D0045_H0045:4a-43	des ri'i rgyal po bya rgod kyi phung po'i khor yug tshim par byas nas /	des_0 ri_4 rgyal_9 po_15 byed_18 rgod_22 kyi_27 'phung_31 po_37 khor_42 yug_47 tshim_51 ba_57 byed_61 nas_66 
K07D0045_H0045:4a-44	tho rangs sprin lha gyes shing /	tho_0 rangs_4 sprin_10 lha_16 'gyes_20 shing_25 
K07D0045_H0045:4a-45	nam mkha' la sprin med par gyur nas /	nam_0 mkha'_4 la_10 sprin_13 med_19 ba_23 gyur_27 nas_32 
K07D0045_H0045:4b-0	der yang @4b bsil zhing 'jam la sim par byed pa'i rlung ldang ste /	der_0 yang_4 bsil_13 zhing_18 'jam_24 la_29 sim_32 ba_36 byed_40 ba_45 rlung_50 ldang_56 ste_62 
K07D0045_H0045:4b-1	de dag gis ri'i rgyal po bya rgod kyi phung	de_0 'dag_3 gis_7 ri_11 rgyal_16 po_22 byed_25 rgod_29 kyi_34 'phung_38 
K07D0045_H0045:4b-2	po la gnas pa'i sems can rnams rtas par byed	po_0 la_3 gnas_6 ba_11 sems_16 can_21 rnams_25 rtas_31 ba_36 byed_40 
K07D0045_H0045:4b-3	/ sim par byed /	sim_2 ba_6 byed_10 
K07D0045_H0045:4b-4	tshim par byed de /	tshim_0 ba_6 byed_10 de_15 
K07D0045_H0045:4b-5	'di lta ste /	'di_0 lta_4 ste_8 
K07D0045_H0045:4b-6	dper na me tog phreng rgyud dam /	dper_0 na_5 me_8 tog_11 phreng_15 brgyud_22 dam_28 
K07D0045_H0045:4b-7	me tog phreng rgyud kyi slob mas phreng brgyus zin nas chus btab pa dang /	me_0 tog_3 phreng_7 brgyud_14 kyi_20 slob_24 mas_29 phreng_33 rgyud_40 zin_47 nas_51 chus_55 'debs_60 ba_65 dang_68 
K07D0045_H0045:4b-8	de'i phreng ba de dag sngar bas ches bzang bar 'gyur bde bzhin du /	de_0 phreng_5 ba_12 de_15 'dag_18 sngar_22 ba_28 ches_32 bzang_37 ba_43 'gyur_47 bde_53 bzhin_57 du_63 
K07D0045_H0045:4b-9	ri'i rgyal po bya rgod kyi phung po la rtag	ri_0 rgyal_5 po_11 byed_14 rgod_18 kyi_23 'phung_27 po_33 la_36 rtag_39 
K07D0045_H0045:4b-10	tu rgyun mi 'chad par nam gyi gung thun la	tu_0 rgyun_3 mi_9 'chad_12 ba_18 nam_22 gyi_26 gung_30 thun_35 la_40 
K07D0045_H0045:4b-11	sprin chen po mngon par 'dus te /	sprin_0 chen_6 po_11 mngon_14 ba_20 'du_24 te_29 
K07D0045_H0045:4b-12	thog mar ri'i rgyal po bya rgod kyi phung po	thogs_0 mar_5 ri_9 rgyal_14 po_20 byed_23 rgod_27 kyi_32 'phung_36 po_42 
K07D0045_H0045:4b-13	de la char sprin lha'i bu mngon par bsgrags nas;	de_0 la_3 char_6 sprin_11 lha_17 bu_23 mngon_26 ba_32 sgrog_36 nas;_44 
K07D0045_H0045:4b-14	ba 'jos tsam gyi bar du yan lag brgyad dang	ba_0 'jo_3 tsam_8 gyi_13 ba_17 du_21 yan_24 lag_28 brgyad_32 dang_39 
K07D0045_H0045:4b-15	ldan pa'i char zim bu zim bu dal bu dal	ldan_0 ba_5 char_10 zim_15 bu_19 zim_22 bu_26 'dal_29 bu_33 'dal_36 
K07D0045_H0045:4b-16	bus 'bab ste / tho rangs skya rengs shar ba'i dus na sprin lha 'gyes shing /	'bud_0 'bab_4 ste_9 tho_15 rangs_19 skya_25 rengs_30 'char_36 ba_41 dus_46 na_50 sprin_53 lha_59 'gyes_63 shing_69 
K07D0045_H0045:4b-17	nam mkha' la sprin med par gyur to //	nam_0 mkha'_4 la_10 sprin_13 med_19 ba_23 gyur_27 to_32 
K07D0045_H0045:4b-18	yang ri'i rgyal bo bya rgod kyi phung po la rtsva sar pa dag skyes te /	yang_0 ri_5 rgyal_10 'bo_16 byed_19 rgod_23 kyi_28 'phung_32 po_38 la_41 rtsva_44 sar_50 ba_54 'dag_57 skye_61 te_67 
K07D0045_H0045:4b-19	reg bzod pa dang ldan pa /	reg_0 bzod_4 ba_9 dang_12 ldan_17 ba_22 
K07D0045_H0045:4b-20	dri dang ldan pa /	'dri_0 dang_4 ldan_9 ba_14 
K07D0045_H0045:4b-21	sngo zhing 'jam pa /	sngo_0 zhing_5 'jam_11 ba_16 
K07D0045_H0045:4b-22	g-yas phyogs su 'khyil ba dag skye ba /	g-yas_0 phyogs_6 su_13 'khyil_16 ba_23 'dag_26 skye_30 ba_35 
K07D0045_H0045:4b-23	'di lta ste /	'di_0 lta_4 ste_8 
K07D0045_H0045:4b-24	dper na /	dper_0 na_5 
K07D0045_H0045:4b-25	rma bya'i mgrin pa'i spu'i kha dog bzhin no //	rma_0 byed_4 mgrin_10 ba_16 spu_21 kha_27 dog_31 bzhin_35 no_41 
K07D0045_H0045:4b-26	'di lta ste /	'di_0 lta_4 ste_8 
K07D0045_H0045:4b-27	dper na /	dper_0 na_5 
K07D0045_H0045:4b-28	par sha ka'i me tog gi dri bzhin no //	ba_0 sha_4 ka_8 me_13 tog_16 gi_20 'dri_23 bzhin_27 no_33 
K07D0045_H0045:4b-29	'di lta ste /	'di_0 lta_4 ste_8 
K07D0045_H0045:4b-30	dper na /	dper_0 na_5 
