K08D0044_H0094:1b-0	@1b [dd] #//	[dd]_4 
K08D0044_H0094:2b-6	chos kyi dbyings thams cad rgyas par 'gengs pa'i chos kyi sprin thams cad kyis rnam par 'phrul pa /	chos_0 kyi_5 dbyings_9 thams_17 cad_23 rgya_27 ba_33 'gengs_37 ba_44 chos_49 kyi_54 sprin_58 thams_64 cad_70 kyis_74 rnam_79 ba_84 'phrul_88 ba_95 
K08D0044_H0094:2b-7	'jig rten gyi khams thams cad du bsgribs pa med pa /	'jig_0 rten_5 gyi_10 khams_14 thams_20 cad_26 du_30 sgrib_33 ba_41 med_44 ba_48 
K08D0044_H0094:2b-8	skra'i rtse mo thams cad du mtha' dang dbus med	skra_0 rtse_7 mo_12 thams_15 cad_21 du_25 mtha'_28 dang_34 dbus_39 med_44 
K08D0044_H0094:2b-9	par rnam par 'phrul ba byin gyis rlob pa'i mthu	ba_0 rnam_4 ba_9 'phrul_13 ba_20 byin_23 gyis_28 rlob_33 ba_38 mthu_43 
K08D0044_H0094:2b-10	mnga' ba / 'gro ba thams cad yongs su smin par bya ba dang /	mnga'_0 ba_6 'gro_11 ba_16 thams_19 cad_25 yongs_29 su_35 smin_38 ba_43 byed_47 ba_51 dang_54 
K08D0044_H0094:2b-11	gdul ba la mngon du gyur par yongs su ston pa /	gdul_0 ba_5 la_8 mngon_11 du_17 gyur_20 ba_25 yongs_29 su_35 ston_38 ba_43 
K08D0044_H0094:3a-0	'khor gyi dkyil 'khor thams cad du 'phos pa med par gshegs @3a #//	'khor_0 gyi_6 dkyil_10 'khor_16 thams_22 cad_28 du_32 'pho_35 ba_41 med_44 ba_48 gshegs_52 
K08D0044_H0094:3a-1	pa; yongs su ston pas khyab par mdzad pa /	pa;_0 yongs_4 su_10 ston_13 ba_18 khyab_22 ba_28 mdzad_32 ba_38 
K08D0044_H0094:3a-2	dngos po med pa'i dbyings kyi mtshan nyid thams cad	dngos_0 po_6 med_9 ba_13 dbyings_18 kyi_26 mtshan_30 nyid_37 thams_42 cad_48 
K08D0044_H0094:3a-3	thugs su chud pa; 'od zer gyi sgo thams cad	thugs_0 su_6 chud_9 pa;_14 'od_18 zer_22 gyi_26 sgo_30 thams_34 cad_40 
K08D0044_H0094:3a-4	du dus gsum rnam par sprul pa'i byin gyi rlabs	du_0 dus_3 gsum_7 rnam_12 ba_17 sprul_21 ba_27 byin_32 gyi_37 rlabs_41 
K08D0044_H0094:3a-5	yongs su ston pa /	yongs_0 su_6 ston_9 ba_14 
K08D0044_H0094:3a-6	sangs rgyas kyi zhing thams cad du bskal pa rgya	sangs_0 rgya_6 kyi_12 zhing_16 thams_22 cad_28 du_32 bskal_35 ba_41 rgya_44 
K08D0044_H0094:3a-7	mtsho bsam gyis mi khyab par byin gyi rlabs shin	mtsho_0 bsam_6 gyis_11 mi_16 khyab_19 ba_25 byin_29 gyi_34 rlabs_38 shin_44 
K08D0044_H0094:3a-8	tu bsgrubs pa / yul ma ga dha'i chos kyi	tu_0 sgrub_3 ba_11 yul_16 ma_20 ga_23 dha_26 chos_32 kyi_37 
K08D0044_H0094:3a-9	dgon pa snying po byang chub rdo rje rin po	dgon_0 ba_5 snying_8 po_15 byang_18 chub_24 rdo_29 rje_33 rin_37 po_41 
K08D0044_H0094:3a-10	che thams cad ltar gzhom du mi choms par sra	che_0 thams_4 cad_10 ltar_14 'joms_19 du_25 mi_28 choms_31 ba_37 sra_41 
K08D0044_H0094:3a-11	ba'i sa phyogs nor bu rin po che thams cad	ba_0 sa_5 phyogs_8 nor_15 bu_19 rin_22 po_26 che_29 thams_33 cad_39 
K08D0044_H0094:3a-12	kyi me tog gis sa gzhi brgyan pa /	kyi_0 me_4 tog_7 gis_11 sa_15 gzhi_18 rgyan_23 ba_30 
K08D0044_H0094:3a-13	nor bu'i rgyal po dri ma med par 'bar bas rab tu bsgrubs pa /	nor_0 bu_4 rgyal_9 po_15 'dri_18 ma_22 med_25 ba_29 'bar_33 ba_38 rab_42 tu_46 sgrub_49 ba_57 
K08D0044_H0094:3a-14	rin po che mang po thams cad kyis rnam pa	rin_0 po_4 che_7 mang_11 po_16 thams_19 cad_25 kyis_29 rnam_34 ba_39 
K08D0044_H0094:3a-15	sna tshogs su brgyan pa; yon tan rgya mtsho mtha'	sna_0 tshogs_4 su_11 rgyan_14 pa;_21 yon_25 tan_29 rgya_33 mtsho_38 mtha'_44 
K08D0044_H0094:3a-16	yas pa'i rgyan rnam pa sna tshogs yang dag par	yas_0 ba_4 rgyan_9 rnam_15 ba_20 sna_23 tshogs_27 yang_34 'dag_39 ba_43 
K08D0044_H0094:3a-17	bstan pa / nor bu'i rgyal po 'od zer dang /	ston_0 ba_6 nor_11 bu_15 rgyal_20 po_26 'od_29 zer_33 dang_37 
K08D0044_H0094:3b-0	sgra dbyangs @3b kyi rgyal mtshan thams cad kyis rab tu bsgrubs pa /	sgra_0 dbyangs_5 kyi_17 rgyal_21 mtshan_27 thams_34 cad_40 kyis_44 rab_49 tu_53 sgrub_56 ba_64 
K08D0044_H0094:3b-1	spos dang /	spros_0 dang_5 
K08D0044_H0094:3b-2	me tog dang /	me_0 tog_3 dang_7 
K08D0044_H0094:3b-3	rin po che'i phreng ba dang /	rin_0 po_4 che_7 phreng_13 ba_20 dang_23 
K08D0044_H0094:3b-4	dra ba mang po thams cad rnam par bres pa /	'dra_0 ba_4 mang_7 po_12 thams_15 cad_21 rnam_25 ba_30 'bre_34 ba_39 
K08D0044_H0094:3b-5	rin po che'i kha dog zad mi shes pa'i char	rin_0 po_4 che_7 kha_13 dog_17 zad_21 mi_25 shes_28 ba_33 char_38 
K08D0044_H0094:3b-6	rab tu 'bab pa'i rnam par 'phrul pa yang dag	rab_0 tu_4 'bab_7 ba_12 rnam_17 ba_22 'phrul_26 ba_33 yang_36 'dag_41 
K08D0044_H0094:3b-7	par ston pa'i nor bu'i rgyal pos shin tu bsgrubs	ba_0 ston_4 ba_9 nor_14 bu_18 rgyal_23 pos_29 shin_33 tu_38 sgrub_41 
K08D0044_H0094:3b-8	pa / me tog sna tshogs chu bo'i klong lta bu yongs su bstan pas brgyan pa /	ba_0 me_5 tog_8 sna_12 tshogs_16 chu_23 'bo_27 klong_32 lta_38 bu_42 yongs_45 su_51 ston_54 ba_60 rgyan_64 ba_71 
K08D0044_H0094:3b-9	rin po che'i shing 'od zer gyi kha dog stug po dang ldan pa'i yal gas brgyan pa /	rin_0 po_4 che_7 shing_13 'od_19 zer_23 gyi_27 kha_31 dog_35 stug_39 po_44 dang_47 ldan_52 ba_57 yal_62 'gas_66 rgyan_70 ba_77 
K08D0044_H0094:3b-10	rgyan thams cad du snang ba shin tu 'bar ba'i byin gyi rlabs kyis rnam par sprul pa /	rgyan_0 thams_6 cad_12 du_16 snang_19 ba_25 shin_28 tu_33 'bar_36 ba_41 byin_46 gyi_51 rlabs_55 kyis_61 rnam_66 ba_71 sprul_75 ba_81 
K08D0044_H0094:3b-11	yang dag par bstan pa'i sa'i snying po rin po	yang_0 'dag_5 ba_9 ston_13 ba_19 sa_24 snying_29 po_36 rin_39 po_43 
K08D0044_H0094:3b-12	che'i 'bru thams cad 'byung bas phyogs kun tu dpyangs	che_0 'bru_6 thams_11 cad_17 'byung_21 ba_28 phyogs_32 kun_39 tu_43 dpyong_46 
K08D0044_H0094:3b-13	shing brgyan pa'i snying po byang chub la byang chub	shing_0 rgyan_6 ba_13 snying_18 po_25 byang_28 chub_34 la_39 byang_42 chub_48 
K08D0044_H0094:3b-14	chen po'i shing nor bu rin po che rdo rje'i	chen_0 po_5 shing_10 nor_16 bu_20 rin_23 po_27 che_30 rdo_34 rje_38 
K08D0044_H0094:3b-15	rgyan sna tshogs kyi 'brus bsgrubs pa'i sdong po dang	rgyan_0 sna_6 tshogs_10 kyi_17 'brus_21 sgrub_27 ba_35 sdong_40 po_46 dang_49 
K08D0044_H0094:3b-16	ldan pa / bee d'urya dang nor bu thams cad	ldan_0 ba_5 bee_10 d_14 dang_21 nor_26 bu_30 thams_33 cad_39 
K08D0044_H0094:3b-17	kyi rigs 'byung ba'i snying po dang ldan pa'i lhun	kyi_0 rigs_4 'byung_9 ba_16 snying_21 po_28 dang_31 ldan_36 ba_41 lhun_46 
K08D0044_H0094:3b-18	ldan pa / can / yongs su yon tan mang	ldan_0 ba_5 can_10 yongs_16 su_22 yon_25 tan_29 mang_33 
K08D0044_H0094:3b-19	po mtha' yas pa'i nor bu rin po che mang	po_0 mtha'_3 yas_9 ba_13 nor_18 bu_22 rin_25 po_29 che_32 mang_36 
K08D0044_H0094:3b-20	po'i 'brus shin tu brgyan cing rab tu 'phel ba'i	po_0 'brus_5 shin_11 tu_16 rgyan_19 cing_26 rab_31 tu_35 'phel_38 ba_44 
K08D0044_H0094:3b-21	ldan pa / can / yal ga can / rin	ldan_0 ba_5 can_10 yal_16 ga_20 can_23 rin_29 
K08D0044_H0094:3b-22	po che thams cad kyi lo ma shin tu 'od	po_0 che_3 thams_7 cad_13 kyi_17 lo_21 ma_24 shin_27 tu_32 'od_35 
K08D0044_H0094:3b-23	gsal bas phyogs kyi sprin du gyur pa /	gsal_0 ba_5 phyogs_9 kyi_16 sprin_20 du_26 gyur_29 ba_34 
K08D0044_H0094:3b-24	yal ga thams cad kyi rtse mo las me tog	yal_0 ga_4 thams_7 cad_13 kyi_17 rtse_21 mo_26 las_29 me_33 tog_36 
K08D0044_H0094:3b-25	dang 'bras bu'i dra ba yon tan rnam pa sna	dang_0 'bras_5 bu_11 'dra_16 ba_20 yon_23 tan_27 rnam_31 ba_36 sna_39 
K08D0044_H0094:3b-26	tshogs can rab tu dpyangs pa /	tshogs_0 can_7 rab_11 tu_15 dpyong_18 ba_26 
K08D0044_H0094:3b-27	rin po che'i 'bras bu sna tshogs shin tu 'bar	rin_0 po_4 che_7 'bras_13 bu_19 sna_22 tshogs_26 shin_33 tu_38 'bar_41 
K08D0044_H0094:4a-0	ba'i snying pos shing gi rgyan me tog thams @4a	ba_0 snying_5 pos_12 shing_16 gi_22 rgyan_25 me_31 tog_34 thams_38 
K08D0044_H0094:4a-1	*// cad shin tu rgyas shing rnam par gsal ba /	cad_4 shin_8 tu_13 rgya_16 shing_22 rnam_28 ba_33 gsal_37 ba_42 
K08D0044_H0094:4a-2	phyogs bcur 'od kyi dkyil 'khor rin po che rgya	phyogs_0 'jur_7 'od_12 kyi_16 dkyil_20 'khor_26 rin_32 po_36 che_39 rgya_43 
K08D0044_H0094:4a-3	che zhing mang ba'i 'od zer lta bur rnam par	che_0 zhing_4 mang_10 ba_15 'od_20 zer_24 lta_28 bur_32 rnam_36 ba_41 
K08D0044_H0094:4a-4	snang ba / nor bu'i yon tan zad mi shes	snang_0 ba_6 nor_11 bu_15 yon_20 tan_24 zad_28 mi_32 shes_35 
K08D0044_H0094:4a-5	pa'i char chen po rnam par sprul pa'i 'od yongs	ba_0 char_5 chen_10 po_15 rnam_18 ba_23 sprul_27 ba_33 'od_38 yongs_42 
K08D0044_H0094:4a-6	snang ba / su bstan pa / nor bu'i sgo	snang_0 ba_6 su_11 ston_14 ba_20 nor_25 bu_29 sgo_34 
K08D0044_H0094:4a-7	thams cad nas byang chub sems dpa'i sprin 'byung ba	thams_0 cad_6 nas_10 byang_14 chub_20 sems_25 dpa_30 sprin_36 'byung_42 ba_49 
K08D0044_H0094:4a-8	shin tu bstan pa /	shin_0 tu_5 ston_8 ba_14 
K08D0044_H0094:4a-9	sangs rgyas kyi rnam par 'phrul pa dang /	sangs_0 rgya_6 kyi_12 rnam_16 ba_21 'phrul_25 ba_32 dang_35 
K08D0044_H0094:4a-10	byin gyi rlabs kyis zad mi shes pa'i dbyangs 'byung	byin_0 gyi_5 rlabs_9 kyis_15 zad_20 mi_24 shes_27 ba_32 dbyangs_37 'byung_45 
K08D0044_H0094:4a-11	ba'i drung na de bzhin gshegs pa'i gzhal med khang	ba_0 drung_5 na_11 de_14 bzhin_17 gshegs_23 ba_30 'jal_35 med_41 khang_45 
K08D0044_H0094:4a-12	phyogs thams cad du mngon par snang ba rab tu	phyogs_0 thams_7 cad_13 du_17 mngon_20 ba_26 snang_30 ba_36 rab_39 tu_43 
K08D0044_H0094:4a-13	'phel ba / rin po che'i rgyal po sna tshogs yon tan mtha' yas pa'i ka ba bkye ba /	'phel_0 ba_6 rin_11 po_15 che_18 rgyal_24 po_30 sna_33 tshogs_37 yon_44 tan_48 mtha'_52 yas_58 ba_62 ka_67 ba_70 'gyed_73 ba_78 
K08D0044_H0094:4a-14	lhun rin po che'i me tog rnam pa sna tshogs	lhun_0 rin_5 po_9 che_12 me_18 tog_21 rnam_25 ba_30 sna_33 tshogs_37 
K08D0044_H0094:4a-15	thams cad kyi rgyan gyis brgyan pa; rgyan mtha' yas	thams_0 cad_6 kyi_10 rgyan_14 gyis_20 rgyan_25 pa;_32 rgyan_36 mtha'_42 yas_48 
K08D0044_H0094:4a-16	pas shin tu klubs pa'i 'od zer snang bas sprin	ba_0 shin_4 tu_9 klub_12 ba_18 'od_23 zer_27 snang_31 ba_37 sprin_41 
K08D0044_H0094:4a-17	ltar khebs pa / pho brang gi mtshams thams cad nas 'od kyi rgyal mtshan rab tu bkye ba /	ltar_0 khebs_5 ba_11 pho_16 brang_20 gi_26 mtshams_29 thams_37 cad_43 nas_47 'od_51 kyi_55 rgyal_59 mtshan_65 rab_72 tu_76 'gyed_79 ba_84 
K08D0044_H0094:4a-18	byang chub sems dpa'i 'khor gyi dkyil 'khor rgya mtsho	byang_0 chub_6 sems_11 dpa_16 'khor_22 gyi_28 dkyil_32 'khor_38 rgya_44 mtsho_49 
K08D0044_H0094:4a-19	mtha' yas pa rjes su 'dod pa'i snying po can	mtha'_0 yas_6 ba_10 rjes_13 su_18 'dod_21 ba_26 snying_31 po_38 can_41 
K08D0044_H0094:4a-20	/ bsam gyis mi khyab pa'i gsung rgya chen po'i dbyangs dang /	bsam_2 gyis_7 mi_12 khyab_15 ba_21 gsung_26 rgya_32 chen_37 po_42 dbyangs_47 dang_55 
K08D0044_H0094:4a-21	sangs rgyas kyi 'od nor bu'i rgyal po lta bu'i dra bas thams cad yog pa /	sangs_0 rgya_6 kyi_12 'od_16 nor_20 bu_24 rgyal_29 po_35 lta_38 bu_42 'dra_47 ba_51 thams_55 cad_61 yog_65 ba_69 
K08D0044_H0094:4a-22	sangs rgyas kyi byin gyi rlabs kyis rnam par sprul	sangs_0 rgya_6 kyi_12 byin_16 gyi_21 rlabs_25 kyis_31 rnam_36 ba_41 sprul_45 
K08D0044_H0094:4a-23	pa'i 'phrul pa dmigs pa thams cad du byung ba	ba_0 'phrul_5 ba_12 dmigs_15 ba_21 thams_24 cad_30 du_34 'byung_37 ba_43 
K08D0044_H0094:4b-0	/ sems can thams @4b cad kyi khyim gyi gzugs brnyan rab tu ston pa /	sems_2 can_7 thams_11 cad_21 kyi_25 khyim_29 gyi_35 gzugs_39 rnyan_45 rab_52 tu_56 ston_59 ba_64 
K08D0044_H0094:4b-1	sems skad cig gis sangs rgyas kyi byin gyi rlabs	sems_0 skad_5 cig_10 gis_14 sangs_18 rgya_24 kyi_30 byin_34 gyi_39 rlabs_43 
K08D0044_H0094:4b-2	thams cad chos kyi dbyings 'byams klas par khyab par	thams_0 cad_6 chos_10 kyi_15 dbyings_19 'byam_27 klas_34 ba_39 khyab_43 ba_49 
K08D0044_H0094:4b-3	'phro ba'i snying po can /	'phro_0 ba_6 snying_11 po_18 can_21 
K08D0044_H0094:4b-4	sengge'i khri chen po sangs rgyas kyi gdan du gyur pa /	sengge_0 khri_9 chen_14 po_19 sangs_22 rgya_28 kyi_34 gdan_38 du_43 gyur_46 ba_51 
K08D0044_H0094:4b-5	rin po che thams cad dang /	rin_0 po_4 che_7 thams_11 cad_17 dang_21 
K08D0044_H0094:4b-6	yid du 'ong ba'i spos sna tshogs kyi snying po can /	yid_0 du_4 'ong_7 ba_12 spros_17 sna_22 tshogs_26 kyi_33 snying_37 po_44 can_47 
K08D0044_H0094:4b-7	padmo'i dra ba 'od zer mtha' yas pa 'byung bas brtan pa /	padmo_0 'dra_8 ba_12 'od_15 zer_19 mtha'_23 yas_29 ba_33 'byung_36 ba_43 brtan_47 ba_53 
K08D0044_H0094:4b-8	rin po che dri ma med pa'i 'khor lo'i 'od kun tu bdal ba /	rin_0 po_4 che_7 'dri_11 ma_15 med_18 ba_22 'khor_27 lo_33 'od_38 kun_42 tu_46 gdal_49 ba_54 
K08D0044_H0094:4b-9	me tog gi phreng ba bzang zhing yid du 'ong ba /	me_0 tog_3 gi_7 phreng_10 ba_17 bzang_20 zhing_26 yid_32 du_36 'ong_39 ba_44 
K08D0044_H0094:4b-10	kha dog mtha' yas pas kun nas klubs pa /	kha_0 dog_4 mtha'_8 yas_14 ba_18 kun_22 nas_26 klub_30 ba_36 
K08D0044_H0094:4b-11	nor bu'i 'bru sna tshogs kyi shing gi yal ga las 'od shin tu bkye ba /	nor_0 bu_4 'bru_9 sna_14 tshogs_18 kyi_25 shing_29 gi_35 yal_38 ga_42 las_45 'od_49 shin_53 tu_58 'gyed_61 ba_66 
K08D0044_H0094:4b-12	rta babs dang /	rta_0 'bab_4 dang_9 
K08D0044_H0094:4b-13	khri 'phang dang /	khri_0 'phen_5 dang_12 
K08D0044_H0094:4b-14	skar khung dang /	skar_0 khung_5 dang_11 
K08D0044_H0094:4b-15	khang pa brtsegs pa rnam pa sna tshogs mtha' yas pas legs par brgyan pa /	khang_0 ba_6 brtsegs_9 ba_17 rnam_20 ba_25 sna_28 tshogs_32 mtha'_39 yas_45 ba_49 legs_53 ba_58 rgyan_62 ba_69 
K08D0044_H0094:4b-16	nor bu'i rgyal po 'od zer 'bar ba'i snying po'i sprin thams cad du 'phros pa'i rgyan can /	nor_0 bu_4 rgyal_9 po_15 'od_18 zer_22 'bar_26 ba_31 snying_36 po_43 sprin_48 thams_54 cad_60 du_64 'phro_67 ba_74 rgyan_79 can_85 
K08D0044_H0094:4b-17	byang chub sems dpa' rgya mtsho rgya chen po'i gtsug	byang_0 chub_6 sems_11 dpa'_16 rgya_21 mtsho_26 rgya_32 chen_37 po_42 gtsug_47 
K08D0044_H0094:4b-18	gi rin po ches bzung zhing 'od zer rnam par	gi_0 rin_3 po_7 ches_10 bzung_15 zhing_21 'od_27 zer_31 rnam_35 ba_40 
K08D0044_H0094:4b-19	snang ba / phyogs bcu'i mtshams thams cad du sangs	snang_0 ba_6 phyogs_11 'chu_18 mtshams_24 thams_32 cad_38 du_42 sangs_45 
K08D0044_H0094:4b-20	rgyas kyi sprul pa'i 'od kyi snying po'i nor bu'i	rgya_0 kyi_6 sprul_10 ba_16 'od_21 kyi_25 snying_29 po_36 nor_41 bu_45 
K08D0044_H0094:4b-21	rgyal pos shin tu brgyan pa /	rgyal_0 pos_6 shin_10 tu_15 rgyan_18 ba_25 
K08D0044_H0094:4b-22	sangs rgyas kyi yul gyi sgra dbyangs rgya chen pos	sangs_0 rgya_6 kyi_12 yul_16 gyi_20 sgra_24 dbyangs_29 rgya_37 chen_42 pos_47 
K08D0044_H0094:4b-23	chos kyi dbyings khyab pa'i byin gyi rlabs dang ldan	chos_0 kyi_5 dbyings_9 khyab_17 ba_23 byin_28 gyi_33 rlabs_37 dang_43 ldan_48 
K08D0044_H0094:4b-24	pa la bzhugs shing /	ba_0 la_3 bzhugs_6 shing_13 
K08D0044_H0094:4b-25	byang chub sems dpa' sems dpa' chen po sngon bcom	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 sngon_39 'joms_45 
K08D0044_H0094:4b-26	ldan 'das de bzhin gshegs pa rnam par snang mdzad	ldan_0 'da'_5 de_10 bzhin_13 gshegs_19 ba_26 rnam_29 ba_34 snang_38 mdzad_44 
K08D0044_H0094:5a-0	dang / byang @5a *//	dang_0 byang_7 
K08D0044_H0094:5a-1	chub sems dpa'i spyod pa thabs cig tu spyod spyod pa'i dge ba'i rtsa ba can /	chub_0 sems_5 dpa_10 spyod_16 ba_22 thabs_25 cig_31 tu_35 spyod_38 spyod_44 ba_50 dge_55 ba_59 rtsa_64 ba_69 can_72 
K08D0044_H0094:5a-2	sangs rgyas kyi zhing bcu'i rdul shin tu phra ba snyed dang thabs cig ste /	sangs_0 rgya_6 kyi_12 zhing_16 'chu_22 rdul_28 shin_33 tu_38 phra_41 ba_46 snyed_49 dang_55 thabs_60 cig_66 ste_70 
K08D0044_H0094:5a-3	'di ltar byang chub sems dpa' sems dpa' chen po kun tu bzang po dang /	'di_0 ltar_4 byang_9 chub_15 sems_20 dpa'_25 sems_30 dpa'_35 chen_40 po_45 kun_48 tu_52 bzang_55 po_61 dang_64 
K08D0044_H0094:5a-4	byang chub sems dpa' sems dpa' chen po dge ba	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 dge_39 ba_43 
K08D0044_H0094:5a-5	dri ma med pa'i gzi brjid kyi 'od yid du	'dri_0 ma_4 med_7 ba_11 gzi_16 brjid_20 kyi_26 'od_30 yid_34 du_38 
K08D0044_H0094:5a-6	'ong ba dang / byang chub sems dpa' sems dpa'	'ong_0 ba_5 dang_8 byang_15 chub_21 sems_26 dpa'_31 sems_36 dpa'_41 
K08D0044_H0094:5a-7	chen po yon tan 'od mchog kun tu sgron ma	chen_0 po_5 yon_8 tan_12 'od_16 mchog_20 kun_26 tu_30 sgron_33 ma_39 
K08D0044_H0094:5a-8	'ong ba dang / dang / byang chub sems dpa'	'ong_0 ba_5 dang_8 dang_15 byang_22 chub_28 sems_33 dpa'_38 
K08D0044_H0094:5a-9	sems dpa' chen po kun tu 'bar ba sengge'i rgyal	sems_0 dpa'_5 chen_10 po_15 kun_18 tu_22 'bar_25 ba_30 sengge_33 rgyal_42 
K08D0044_H0094:5a-10	'ong ba dang / dang / mtshan dang / byang	'ong_0 ba_5 dang_8 dang_15 mtshan_22 dang_29 byang_36 
K08D0044_H0094:5a-11	chub sems dpa' sems dpa' chen po dpal gyi 'od	chub_0 sems_5 dpa'_10 sems_15 dpa'_20 chen_25 po_30 dpal_33 gyi_38 'od_42 
K08D0044_H0094:5a-12	zer kun tu 'od 'phro ba dang /	zer_0 kun_4 tu_8 'od_11 'phro_15 ba_21 dang_24 
K08D0044_H0094:5a-13	byang chub sems dpa' sems dpa' chen po yon tan rgya mtsho kun tu sgra dbyangs rgyal mtshan dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 yon_39 tan_43 rgya_47 mtsho_52 kun_58 tu_62 sgra_65 dbyangs_70 rgyal_78 mtshan_84 dang_91 
K08D0044_H0094:5a-14	byang chub sems dpa' sems dpa' chen po de bzhin	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 de_39 bzhin_42 
K08D0044_H0094:5a-15	gshegs pa'i spyod yul ye shes kun tu snang ba'i	gshegs_0 ba_7 spyod_12 yul_18 ye_22 shes_25 kun_30 tu_34 snang_37 ba_43 
