K02D0008_H0009:1b-0	@1b [dd] #//	[dd]_4 
K02D0008_H0009:2b-6	khur bor ba /	'khur_0 'bor_5 ba_9 
K02D0008_H0009:2b-7	rang gi don rab tu thob pa /	rang_0 gi_5 don_8 rab_12 tu_16 'thob_19 ba_24 
K02D0008_H0009:2b-8	srid par kun tu sbyor ba /	srid_0 ba_5 kun_9 tu_13 sbyor_16 ba_22 
K02D0008_H0009:2b-9	yongs su zad pa /	yongs_0 su_6 zad_9 ba_13 
K02D0008_H0009:2b-10	bka' yang dag pas sems shin tu rnam par grol ba /	bka'_0 yang_5 'dag_10 ba_14 sems_18 shin_23 tu_28 rnam_31 ba_36 grol_40 ba_45 
K02D0008_H0009:2b-11	sems kyi dbang thams cad la pha rol tu phyin pa'i mchog thob pa sha stag ste /	sems_0 kyi_5 dbang_9 thams_15 cad_21 la_25 pha_28 rol_32 tu_36 phyin_39 ba_45 mchog_50 'thob_56 ba_61 sha_64 stag_68 ste_73 
K02D0008_H0009:2b-12	gang zag gcig ma gtogs pa ni /	gang_0 zag_5 gcig_9 ma_14 gtogs_17 ba_23 ni_26 
K02D0008_H0009:2b-13	'di ltar slob pa rgyun du zhugs pa /	'di_0 ltar_4 slob_9 ba_14 rgyun_17 du_23 'jug_26 ba_32 
K02D0008_H0009:2b-14	tshe dang ldan pa dga' bo'o //	tshe_0 dang_5 ldan_10 ba_15 dga'_18 'bo_23 
K02D0008_H0009:2b-15	dge slong ma grags 'dzin dang /	dge_0 slong_4 ma_10 grags_13 'dzin_19 dang_25 
K02D0008_H0009:2b-16	skye rgu'i bdag mo chen mo la sogs pa lnga brgya tsam dang /	skye_0 rgu_5 bdag_11 mo_16 chen_19 mo_24 la_27 sogs_30 ba_35 lnga_38 brgya_43 tsam_49 dang_54 
K02D0008_H0009:2b-17	dge bsnyen pha dang /	dge_0 snyen_4 pha_11 dang_15 
K02D0008_H0009:2b-18	dge bsnyen ma dang /	dge_0 snyen_4 ma_11 dang_14 
K02D0008_H0009:2b-19	shin tu mang ba kun kyang chos mthong ba sha stag dang /	shin_0 tu_5 mang_8 ba_13 kun_16 kyang_20 chos_26 mthong_31 ba_38 sha_41 stag_45 dang_50 
K02D0008_H0009:3a-0	byang chub sems dpa' sems dpa' @3a *//	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 
K02D0008_H0009:3a-1	chen po tshad med grangs med pa thams cad kyang gzungs rab tu thob pa /	chen_0 po_5 tshad_8 med_14 grangs_18 med_25 ba_29 thams_32 cad_38 kyang_42 gzungs_48 rab_55 tu_59 'thob_62 ba_67 
K02D0008_H0009:3a-2	ting nge 'dzin rab tu thob pa /	ting_0 nge_5 'dzin_9 rab_15 tu_19 'thob_22 ba_27 
K02D0008_H0009:3a-3	stong pa nyid kyis rnam par spyod pa /	stong_0 ba_6 nyid_9 kyis_14 rnam_19 ba_24 spyod_28 ba_34 
K02D0008_H0009:3a-4	mtshan ma med pa'i spyod yul can /	mtshan_0 ma_7 med_10 ba_14 spyod_19 yul_25 can_29 
K02D0008_H0009:3a-5	rtog pa med pa'i smon lam dang ldan pa /	rtogs_0 ba_5 med_8 ba_12 smon_17 lam_22 dang_26 ldan_31 ba_36 
K02D0008_H0009:3a-6	chos thams cad la mnyam pa nyid kyi bzod pa rab tu thob pa /	chos_0 thams_5 cad_11 la_15 mnyam_18 ba_24 nyid_27 kyi_32 bzod_36 ba_41 rab_44 tu_48 'thob_51 ba_56 
K02D0008_H0009:3a-7	thogs pa med pa'i spobs pa dang ldan pa /	thogs_0 ba_6 med_9 ba_13 spobs_18 ba_24 dang_27 ldan_32 ba_37 
K02D0008_H0009:3a-8	bstan pa zad mi shes pa la so so yang dag par rig pa'i tshul khong du chud pa /	ston_0 ba_6 zad_9 mi_13 shes_16 ba_21 la_24 so_27 so_30 yang_33 'dag_38 ba_42 rig_46 ba_50 tshul_55 khong_61 du_67 chud_70 ba_75 
K02D0008_H0009:3a-9	mngon par shes pa chen pos rnam par rtse ba /	mngon_0 ba_6 shes_10 ba_15 chen_18 pos_23 rnam_27 ba_32 rtse_36 ba_41 
K02D0008_H0009:3a-10	mngon par shes pa shin tu ma nyams pa; mnyan par 'os pa'i tshig dang ldan pa /	mngon_0 ba_6 shes_10 ba_15 shin_18 tu_23 ma_26 nyams_29 pa;_35 nyan_39 ba_45 'os_49 ba_53 tshig_58 dang_64 ldan_69 ba_74 
K02D0008_H0009:3a-11	le lo med cing brtson 'grus brtsams pa /	le_0 lo_3 med_6 cing_10 brtson_15 'grus_22 brtsams_28 ba_36 
K02D0008_H0009:3a-12	lus dang srog la mi lta ba /	lus_0 dang_4 srog_9 la_14 mi_17 lta_20 ba_24 
K02D0008_H0009:3a-13	tshul 'chos pa med pa /	tshul_0 'chos_6 ba_12 med_15 ba_19 
K02D0008_H0009:3a-14	kha gsag med pa /	kha_0 gsag_4 med_9 ba_13 
K02D0008_H0009:3a-15	grags pa dang /	grags_0 ba_6 dang_9 
K02D0008_H0009:3a-16	khe dang /	khe_0 dang_4 
K02D0008_H0009:3a-17	bkur sti'i sems med pa /	bkur_0 sti_5 sems_11 med_16 ba_20 
K02D0008_H0009:3a-18	zang zing med pa'i chos ston pa /	zang_0 zing_5 med_10 ba_14 chos_19 ston_24 ba_29 
K02D0008_H0009:3b-0	chos @3b zab mo'i bzod pa dam pa rtogs par khong du chud pa /	chos_0 zab_9 mo_13 bzod_18 ba_23 dam_26 ba_30 rtogs_33 ba_39 khong_43 du_49 chud_52 ba_57 
K02D0008_H0009:3b-1	mi 'jigs pa chen po thob pa /	mi_0 'jigs_3 ba_9 chen_12 po_17 'thob_20 ba_25 
K02D0008_H0009:3b-2	yid yongs su zhum pa med pa /	yid_0 yongs_4 su_10 zhum_13 ba_18 med_21 ba_25 
K02D0008_H0009:3b-3	bdud kyi las thams cad las yang dag par 'das pa /	bdud_0 kyi_5 las_9 thams_13 cad_19 las_23 yang_27 'dag_32 ba_36 'da'_40 ba_45 
K02D0008_H0009:3b-4	las kyi sgrib pa rgyun chad pa /	las_0 kyi_4 sgrib_8 ba_14 rgyun_17 'chad_23 ba_28 
K02D0008_H0009:3b-5	las dang /	las_0 dang_4 
K02D0008_H0009:3b-6	nyon mongs pa dang /	nyon_0 mongs_5 ba_11 dang_14 
K02D0008_H0009:3b-7	phyir rgol ba rab tu bcom pa /	phyir_0 rgol_6 ba_11 rab_14 tu_18 'joms_21 ba_26 
K02D0008_H0009:3b-8	pha rol po'i rgol ba thams cad kyis zil gyis mi non pa /	pha_0 rol_4 po_8 rgol_13 ba_18 thams_21 cad_27 kyis_31 zil_36 gyis_40 mi_45 non_48 ba_52 
K02D0008_H0009:3b-9	nyan thos dang rang sangs rgyas thams cad kyis rtogs par dka' ba /	nyan_0 thos_5 dang_10 rang_15 sangs_20 rgya_26 thams_32 cad_38 kyis_42 rtogs_47 ba_53 dka'_57 ba_62 
K02D0008_H0009:3b-10	chos rab tu rtogs pas rnam par dbye zhing bstan pa la mkhas pa /	chos_0 rab_5 tu_9 rtogs_12 ba_18 rnam_22 ba_27 'byed_31 zhing_36 ston_42 ba_48 la_51 mkhas_54 ba_60 
K02D0008_H0009:3b-11	bskal pa grangs med pa nas smon lam shin tu brtsams pa /	bskal_0 ba_6 grangs_9 med_16 ba_20 nas_23 smon_27 lam_32 shin_36 tu_41 brtsams_44 ba_52 
K02D0008_H0009:3b-12	bzhin 'dzum pa dang ldan pa /	bzhin_0 'dzum_6 ba_12 dang_15 ldan_20 ba_25 
K02D0008_H0009:3b-13	thog mar smra ba /	thogs_0 mar_5 smra_9 ba_14 
K02D0008_H0009:3b-14	khro gnyer med pa /	khro_0 gnyer_5 med_11 ba_15 
K02D0008_H0009:3b-15	snyan cing 'jam pa'i tshig dang ldan pa /	snyan_0 cing_6 'jam_11 ba_16 tshig_21 dang_27 ldan_32 ba_37 
K02D0008_H0009:3b-16	pha rol la tshigs su bcad pa'i dbyangs su brjod pa la mkhas pa /	pha_0 rol_4 la_8 tshigs_11 su_18 gcod_21 ba_26 dbyangs_31 su_39 rjod_42 ba_48 la_51 mkhas_54 ba_60 
K02D0008_H0009:3b-17	spobs pa mi chod pa /	spobs_0 ba_6 mi_9 chod_12 ba_17 
K02D0008_H0009:3b-18	'khor mtha' yas pa zil gyis gnon pa'i mi 'jigs pa dang ldan pa /	'khor_0 mtha'_6 yas_12 ba_16 zil_19 gyis_23 gnon_28 ba_33 mi_38 'jigs_41 ba_47 dang_50 ldan_55 ba_60 
K02D0008_H0009:3b-19	bskal pa bye ba mtha' yas par bstan pa'i ye shes kyis 'byung ba la mkhas pa /	bskal_0 ba_6 'bye_9 ba_13 mtha'_16 yas_22 ba_26 ston_30 ba_36 ye_41 shes_44 kyis_49 'byung_54 ba_61 la_64 mkhas_67 ba_73 
K02D0008_H0009:3b-20	chos thams cad sgyu ma dang /	chos_0 thams_5 cad_11 sgyu_15 ma_20 dang_23 
K02D0008_H0009:3b-21	smig rgyu dang /	smig_0 rgyu_5 dang_10 
K02D0008_H0009:3b-22	chu zla dang /	chu_0 zla_4 dang_8 
K02D0008_H0009:3b-23	rmi lam dang /	rmi_0 lam_4 dang_8 
K02D0008_H0009:3b-24	sgra brnyan dang /	sgra_0 rnyan_5 dang_12 
K02D0008_H0009:3b-25	mig yor dang /	mig_0 yor_4 dang_8 
K02D0008_H0009:3b-26	nam mkha' dang /	nam_0 mkha'_4 dang_10 
K02D0008_H0009:3b-27	dri za'i grong khyer dang /	'dri_0 za_4 grong_9 'khyer_15 dang_21 
K02D0008_H0009:3b-28	sprul pa dang /	sprul_0 ba_6 dang_9 
K02D0008_H0009:3b-29	gzugs brnyan lta bur khong du chud pa /	gzugs_0 rnyan_6 lta_13 bur_17 khong_21 du_27 chud_30 ba_35 
K02D0008_H0009:3b-30	sems yongs su zhum pa med pa /	sems_0 yongs_5 su_11 zhum_14 ba_19 med_22 ba_26 
K02D0008_H0009:3b-31	sems can thams cad kyi sems kyi rgyud dang /	sems_0 can_5 thams_9 cad_15 kyi_19 sems_23 kyi_28 brgyud_32 dang_38 
K02D0008_H0009:3b-32	shes pa phra ba dang /	shes_0 ba_5 phra_8 ba_13 dang_16 
K02D0008_H0009:3b-33	spyod pa dang /	spyod_0 ba_6 dang_9 
K02D0008_H0009:4a-0	mos @4a *//	mos_0 
K02D0008_H0009:4a-1	pa khong du chud par bya ba la mkhas pa /	ba_0 khong_3 du_9 chud_12 ba_17 byed_21 ba_25 la_28 mkhas_31 ba_37 
K02D0008_H0009:4a-2	sems can thams cad la sdang ba med pa'i sems dang ldan pa /	sems_0 can_5 thams_9 cad_15 la_19 sdang_22 ba_28 med_31 ba_35 sems_40 dang_45 ldan_50 ba_55 
K02D0008_H0009:4a-3	bzod pa rlabs chen po dang ldan pa /	bzod_0 ba_5 rlabs_8 chen_14 po_19 dang_22 ldan_27 ba_32 
K02D0008_H0009:4a-4	chos thams cad mnyam pa nyid du rtogs par bya ba'i ye shes la mkhas pa /	chos_0 thams_5 cad_11 mnyam_15 ba_21 nyid_24 du_29 rtogs_32 ba_38 byed_42 ba_46 ye_51 shes_54 la_59 mkhas_62 ba_68 
K02D0008_H0009:4a-5	chos nyid zab mo dang ldan pas gting dpag dka' ba /	chos_0 nyid_5 zab_10 mo_14 dang_17 ldan_22 ba_27 gting_31 dpog_37 dka'_42 ba_47 
K02D0008_H0009:4a-6	rang gi sems la dbang rab tu thob pa /	rang_0 gi_5 sems_8 la_13 dbang_16 rab_22 tu_26 'thob_29 ba_34 
K02D0008_H0009:4a-7	chos thams cad la dbang shin tu thob pa /	chos_0 thams_5 cad_11 la_15 dbang_18 shin_24 tu_29 'thob_32 ba_37 
K02D0008_H0009:4a-8	las dang /	las_0 dang_4 
K02D0008_H0009:4a-9	nyon mongs pa dang /	nyon_0 mongs_5 ba_11 dang_14 
K02D0008_H0009:4a-10	lta ba'i sgrib pa thams cad las rnam par grol ba /	lta_0 ba_4 sgrib_9 ba_15 thams_18 cad_24 las_28 rnam_32 ba_37 grol_41 ba_46 
K02D0008_H0009:4a-11	brten pa rtogs par bstan pa la mkhas pa /	rten_0 ba_6 rtogs_9 ba_15 ston_19 ba_25 la_28 mkhas_31 ba_37 
K02D0008_H0009:4a-12	rten cing 'brel par 'byung ba'i tshul zad mi shes pa la bzhugs pa /	rten_0 cing_5 'brel_10 ba_16 'byung_20 ba_27 tshul_32 zad_38 mi_42 shes_45 ba_50 la_53 bzhugs_56 ba_63 
K02D0008_H0009:4a-13	lta ba dang /	lta_0 ba_4 dang_7 
K02D0008_H0009:4a-14	bag la nyal ba dang /	bag_0 la_4 nyal_7 ba_12 dang_15 
K02D0008_H0009:4a-15	kun nas ldang ba thams cad dang bral ba /	kun_0 nas_4 ldang_8 ba_14 thams_17 cad_23 dang_27 'bral_32 ba_37 
K02D0008_H0009:4a-16	kun tu sbyor ba thams cad spangs pa; las dang	kun_0 tu_4 sbyor_7 ba_13 thams_16 cad_22 spong_26 pa;_33 las_37 dang_41 
K02D0008_H0009:4a-17	nyon mongs pa thams cad rab tu zhi bar bya	nyon_0 mongs_5 ba_11 thams_14 cad_20 rab_24 tu_28 zhi_31 ba_35 byed_39 
K02D0008_H0009:4a-18	ba la mkhas pa /	ba_0 la_3 mkhas_6 ba_12 
K02D0008_H0009:4a-19	bden pa rab tu rtogs par bya ba'i ye shes la mkhas pa /	bden_0 ba_5 rab_8 tu_12 rtogs_15 ba_21 byed_25 ba_29 ye_34 shes_37 la_42 mkhas_45 ba_51 
K02D0008_H0009:4a-20	chos thams cad sgra brnyan dang 'dra bar rtag tu rgyun mi chad par mos pa /	chos_0 thams_5 cad_11 sgra_15 rnyan_20 dang_27 'dra_32 ba_37 rtag_41 tu_46 rgyun_49 mi_55 'chad_58 ba_63 mos_67 ba_71 
K02D0008_H0009:4a-21	chos kyi tshul bstan pa tshad med pa la 'jigs pa med pa /	chos_0 kyi_5 tshul_9 ston_15 ba_21 tshad_24 med_30 ba_34 la_37 'jigs_40 ba_46 med_49 ba_53 
K02D0008_H0009:4a-22	bdag nyid ji lta ba bzhin du khong du chud par bya ba la mkhas pa /	bdag_0 nyid_5 ji_10 lta_13 ba_17 bzhin_20 du_26 khong_29 du_35 chud_38 ba_43 byed_47 ba_51 la_54 mkhas_57 ba_63 
K02D0008_H0009:4a-23	sangs rgyas kyi zhing mtha' yas pa rnam par dgod	sangs_0 rgya_6 kyi_12 zhing_16 mtha'_22 yas_28 ba_32 rnam_35 ba_40 'god_44 
K02D0008_H0009:4a-24	pa'i smon lam gyis 'gro ba yongs su zin pa	ba_0 smon_5 lam_10 gyis_14 'gro_19 ba_24 yongs_27 su_33 zin_36 ba_40 
K02D0008_H0009:4a-25	/ 'jig rten gyi khams grangs med pa na bzhugs	'jig_2 rten_7 gyi_12 khams_16 grangs_22 med_29 ba_33 na_36 bzhugs_39 
K02D0008_H0009:4a-26	pa'i sangs rgyas rjes su dran pa'i ting nge 'dzin	ba_0 sangs_5 rgya_11 rjes_17 su_22 dran_25 ba_30 ting_35 nge_40 'dzin_44 
K02D0008_H0009:4b-0	@4b rtag tu rgyun mi chad par mngon du gyur	rtag_4 tu_9 rgyun_12 mi_18 'chad_21 ba_26 mngon_30 du_36 gyur_39 
K02D0008_H0009:4b-1	/ pa / sangs rgyas byung ba thams cad du nye bar 'gro ba la mkhas pa /	ba_2 sangs_7 rgya_13 'byung_19 ba_25 thams_28 cad_34 du_38 nye_41 ba_45 'gro_49 ba_54 la_57 mkhas_60 ba_66 
K02D0008_H0009:4b-2	sangs rgyas dpag tu med pa la gsol ba gdab par mkhas pa /	sangs_0 rgya_6 dpog_12 tu_17 med_20 ba_24 la_27 gsol_30 ba_35 gdab_38 ba_43 mkhas_47 ba_53 
K02D0008_H0009:4b-3	sems can gyi lta ba sna tshogs kyis yongs su	sems_0 can_5 gyi_9 lta_13 ba_17 sna_20 tshogs_24 kyis_31 yongs_36 su_42 
K02D0008_H0009:4b-4	bskyed pa'i nyon mongs pa zhi bar bya ba la	skyed_0 ba_7 nyon_12 mongs_17 ba_23 zhi_26 ba_30 byed_34 ba_38 la_41 
K02D0008_H0009:4b-5	mkhas pa / ting nge 'dzin brgya stong mngon par	mkhas_0 ba_6 ting_11 nge_16 'dzin_20 brgya_26 stong_32 mngon_38 ba_44 
K02D0008_H0009:4b-6	sgrub pa la rnam par rtse ba'i ye shes rtogs	sgrub_0 ba_6 la_9 rnam_12 ba_17 rtse_21 ba_26 ye_31 shes_34 rtogs_39 
K02D0008_H0009:4b-7	par bya ba la mkhas pa /	ba_0 byed_4 ba_8 la_11 mkhas_14 ba_20 
K02D0008_H0009:4b-8	yon tan brjod pa bskal pa mtha' yas par mi	yon_0 tan_4 rjod_8 ba_14 bskal_17 ba_23 mtha'_26 yas_32 ba_36 mi_40 
K02D0008_H0009:4b-9	zad pa dang ldan pa sha stag dang thabs cig	zad_0 ba_4 dang_7 ldan_12 ba_17 sha_20 stag_24 dang_29 thabs_34 cig_40 
K02D0008_H0009:4b-10	ste / 'di ltar /	ste_0 'di_6 ltar_10 
K02D0008_H0009:4b-11	byang chub sems dpa' sems dpa' chen po bzang skyong dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 bzang_39 skyong_45 dang_52 
K02D0008_H0009:4b-12	byang chub sems dpa' sems dpa' chen po rin chen 'byung gnas dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 rin_39 chen_43 'byung_48 gnas_55 dang_60 
K02D0008_H0009:4b-13	byang chub sems dpa' sems dpa' chen po rin chen snying po dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 rin_39 chen_43 snying_48 po_55 dang_58 
K02D0008_H0009:4b-14	byang chub sems dpa' sems dpa' chen po rin chen byin pa dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 rin_39 chen_43 byin_48 ba_53 dang_56 
K02D0008_H0009:4b-15	byang chub sems dpa' sems dpa' chen po ded dpon dam pa dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 'ded_39 dpon_43 dam_48 ba_52 dang_55 
K02D0008_H0009:4b-16	byang chub sems dpa' sems dpa' chen po skyes bus byin dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 skye_39 'bud_45 byin_49 dang_54 
K02D0008_H0009:4b-17	byang chub sems dpa' sems dpa' chen po skyob sbed dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 skyob_39 sbed_45 dang_50 
K02D0008_H0009:4b-18	byang chub sems dpa' sems dpa' chen po chu bdag lha dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 chu_39 bdag_43 lha_48 dang_52 
K02D0008_H0009:4b-19	byang chub sems dpa' sems dpa' chen po dbang pos byin dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 dbang_39 pos_45 byin_49 dang_54 
K02D0008_H0009:4b-20	byang chub sems dpa' sems dpa' chen po bzang po'i stobs dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 bzang_39 po_45 stobs_50 dang_56 
K02D0008_H0009:4b-21	byang chub sems dpa' sems dpa' chen po blo gros dam pa dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 blo_39 gros_43 dam_48 ba_52 dang_55 
K02D0008_H0009:5a-0	byang chub sems dpa' sems dpa' chen po 'phags @5a *//	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 'phag_39 
K02D0008_H0009:5a-1	pa'i blo gros dang /	ba_0 blo_5 gros_9 dang_14 
K02D0008_H0009:5a-2	byang chub sems dpa' sems dpa' chen po blo gros 'phel ba dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 blo_39 gros_43 'phel_48 ba_54 dang_57 
K02D0008_H0009:5a-3	byang chub sems dpa' sems dpa' chen po blo gros mtha' yas dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 blo_39 gros_43 mtha'_48 yas_54 dang_58 
K02D0008_H0009:5a-4	byang chub sems dpa' sems dpa' chen po don yod mthong ba dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 don_39 yod_43 mthong_47 ba_54 dang_57 
K02D0008_H0009:5a-5	byang chub sems dpa' sems dpa' chen po sgrib med blo gros dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 sgrib_39 med_45 blo_49 gros_53 dang_58 
K02D0008_H0009:5a-6	byang chub sems dpa' sems dpa' chen po rab tu zhugs pa dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 rab_39 tu_43 'jug_46 ba_52 dang_55 
K02D0008_H0009:5a-7	byang chub sems dpa' sems dpa' chen po mthu dam pas rnam par gnon pa dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 mthu_39 dam_44 ba_48 rnam_52 ba_57 gnon_61 ba_66 dang_69 
K02D0008_H0009:5a-8	byang chub sems dpa' sems dpa' chen po brtson 'grus mtha' yas dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 brtson_39 'grus_46 mtha'_52 yas_58 dang_62 
K02D0008_H0009:5a-9	byang chub sems dpa' sems dpa' chen po rtag tu brtson pa dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 rtag_39 tu_44 brtson_47 ba_54 dang_57 
K02D0008_H0009:5a-10	byang chub sems dpa' sems dpa' chen po rtag tu sbyor ba dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 rtag_39 tu_44 sbyor_47 ba_53 dang_56 
K02D0008_H0009:5a-11	byang chub sems dpa' sems dpa' chen po mi gtong brtson pa dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 mi_39 gtong_42 brtson_48 ba_55 dang_58 
K02D0008_H0009:5a-12	byang chub sems dpa' sems dpa' chen po nyi ma'i snying po dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 nyi_39 ma_43 snying_48 po_55 dang_58 
K02D0008_H0009:5a-13	byang chub sems dpa' sems dpa' chen po zla ba'i snying po dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 zla_39 ba_43 snying_48 po_55 dang_58 
K02D0008_H0009:5a-14	byang chub sems dpa' sems dpa' chen po blo gros dpe med pa dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 blo_39 gros_43 dpe_48 med_52 ba_56 dang_59 
K02D0008_H0009:5a-15	byang chub sems dpa' sems dpa' chen po spyan ras gzigs kyi dbang po dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 spyan_39 ras_45 gzigs_49 kyi_55 dbang_59 po_65 dang_68 
K02D0008_H0009:5a-16	byang chub sems dpa' sems dpa' chen po mthu chen po thob pa dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 mthu_39 chen_44 po_49 'thob_52 ba_57 dang_60 
K02D0008_H0009:5a-17	byang chub sems dpa' sems dpa' chen po 'jam dpal gzhon nur gyur pa dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 'jam_39 dpal_44 gzhon_49 nur_55 gyur_59 ba_64 dang_67 
K02D0008_H0009:5b-0	byang chub sems dpa' sems dpa' chen po bdud kyi stobs rab tu 'joms @5b pa dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 bdud_39 kyi_44 stobs_48 rab_54 tu_58 'joms_61 ba_71 dang_74 
K02D0008_H0009:5b-1	byang chub sems dpa' sems dpa' chen po rdo rje blo gros dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 rdo_39 rje_43 blo_47 gros_51 dang_56 
K02D0008_H0009:5b-2	byang chub sems dpa' sems dpa' chen po lag na rin chen phyag rgya dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 lag_39 na_43 rin_46 chen_50 phyag_55 rgya_61 dang_66 
K02D0008_H0009:5b-3	byang chub sems dpa' sems dpa' chen po rtag tu lag brkyang dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 rtag_39 tu_44 lag_47 rkyong_51 dang_59 
K02D0008_H0009:5b-4	byang chub sems dpa' sems dpa' chen po snying rje cher sems dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 snying_39 rje_46 cher_50 sems_55 dang_60 
