K05D0010_H0012:1b-0	@1b [dd] #//	[dd]_4 
K05D0010_H0012:2b-8	srid par kun tu sbyor ba yongs su zad pa /	srid_0 ba_5 kun_9 tu_13 sbyor_16 ba_22 yongs_25 su_31 zad_34 ba_38 
K05D0010_H0012:2b-9	yang dag pa'i shes pas sems shin tu rnam par grol ba /	yang_0 'dag_5 ba_9 shes_14 ba_19 sems_23 shin_28 tu_33 rnam_36 ba_41 grol_45 ba_50 
K05D0010_H0012:2b-10	sems thams cad kyi dbang dam pa'i pha rol tu son pa sha stag ste /	sems_0 thams_5 cad_11 kyi_15 dbang_19 dam_25 ba_29 pha_34 rol_38 tu_42 son_45 ba_49 sha_52 stag_56 ste_61 
K05D0010_H0012:2b-11	gang zag gcig ma gtogs pa ni 'di lta ste /	gang_0 zag_5 gcig_9 ma_14 gtogs_17 ba_23 ni_26 'di_29 lta_33 ste_37 
K05D0010_H0012:2b-12	tshe dang ldan pa kun dga' bo'o //	tshe_0 dang_5 ldan_10 ba_15 kun_18 dga'_22 'bo_27 
K05D0010_H0012:2b-13	grags 'dzin ma dang /	grags_0 'dzin_6 ma_12 dang_15 
K05D0010_H0012:2b-14	skye dgu'i bdag mo chen mo la sogs pa dge slong ma lnga brgya tsam dang /	skye_0 dgu_5 bdag_11 mo_16 chen_19 mo_24 la_27 sogs_30 ba_35 dge_38 slong_42 ma_48 lnga_51 brgya_56 tsam_62 dang_67 
K05D0010_H0012:2b-15	dge bsnyen dang /	dge_0 snyen_4 dang_11 
K05D0010_H0012:2b-16	dge bsnyen ma rab tu mang po thams cad kyang	dge_0 snyen_4 ma_11 rab_14 tu_18 mang_21 po_26 thams_29 cad_35 kyang_39 
K05D0010_H0012:2b-17	chos mthong ba sha stag dang; byang chub sems dpa'	chos_0 mthong_5 ba_12 sha_15 stag_19 dang;_24 byang_30 chub_36 sems_41 dpa'_46 
K05D0010_H0012:2b-18	sems dpa' chen po tshad med grangs med pa /	sems_0 dpa'_5 chen_10 po_15 tshad_18 med_24 grangs_28 med_35 ba_39 
K05D0010_H0012:2b-19	thams cad kyang gzungs thob pa /	thams_0 cad_6 kyang_10 gzungs_16 'thob_23 ba_28 
K05D0010_H0012:3a-0	stong pa nyid @3a *//	stong_0 ba_6 nyid_9 
K05D0010_H0012:3a-1	la gnas pa /	la_0 gnas_3 ba_8 
K05D0010_H0012:3a-2	mtshan ma med pa'i spyod yul ba /	mtshan_0 ma_7 med_10 ba_14 spyod_19 yul_25 ba_29 
K05D0010_H0012:3a-3	ma brtags pa'i smon lam dang ldan pa /	ma_0 rtog_3 ba_10 smon_15 lam_20 dang_24 ldan_29 ba_34 
K05D0010_H0012:3a-4	chos thams cad la mnyam pa nyid kyi bzod pa thob pa /	chos_0 thams_5 cad_11 la_15 mnyam_18 ba_24 nyid_27 kyi_32 bzod_36 ba_41 'thob_44 ba_49 
K05D0010_H0012:3a-5	chags pa med pa'i gzungs thob pa /	chags_0 ba_6 med_9 ba_13 gzungs_18 'thob_25 ba_30 
K05D0010_H0012:3a-6	mngon par shes pa ma nyams pa /	mngon_0 ba_6 shes_10 ba_15 ma_18 nyams_21 ba_27 
K05D0010_H0012:3a-7	gzung ba'i tshig dang ldan pa /	gzung_0 ba_6 tshig_11 dang_17 ldan_22 ba_27 
K05D0010_H0012:3a-8	tshul 'chos pa med pa /	tshul_0 'chos_6 ba_12 med_15 ba_19 
K05D0010_H0012:3a-9	kha gsag med pa /	kha_0 gsag_4 med_9 ba_13 
K05D0010_H0012:3a-10	shes kyi khe dang rnyed pa'i sems med pa /	shes_0 kyi_5 khe_9 dang_13 rnyed_18 ba_24 sems_29 med_34 ba_38 
K05D0010_H0012:3a-11	zang zing med pa'i sems kyis chos ston pa /	zang_0 zing_5 med_10 ba_14 sems_19 kyis_24 chos_29 ston_34 ba_39 
K05D0010_H0012:3a-12	chos zab mo la bzod pa'i pha rol tu son pa /	chos_0 zab_5 mo_9 la_12 bzod_15 ba_20 pha_25 rol_29 tu_33 son_36 ba_40 
K05D0010_H0012:3a-13	mi 'jigs pa thob pa /	mi_0 'jigs_3 ba_9 'thob_12 ba_17 
K05D0010_H0012:3a-14	bdud kyi las thams cad las yang dag par 'das pa /	bdud_0 kyi_5 las_9 thams_13 cad_19 las_23 yang_27 'dag_32 ba_36 'da'_40 ba_45 
K05D0010_H0012:3a-15	las kyi sgrib pa rgyun chad pa /	las_0 kyi_4 sgrib_8 ba_14 rgyun_17 'chad_23 ba_28 
K05D0010_H0012:3a-16	chos rab tu rnam par 'byed cing rnam par dbye ba ston pa la mkhas pa /	chos_0 rab_5 tu_9 rnam_12 ba_17 'byed_21 cing_27 rnam_32 ba_37 'byed_41 ba_46 ston_49 ba_54 la_57 mkhas_60 ba_66 
K05D0010_H0012:3a-17	bskal pa grangs med pa nas smon lam shin tu brtsams pa /	bskal_0 ba_6 grangs_9 med_16 ba_20 nas_23 smon_27 lam_32 shin_36 tu_41 brtsams_44 ba_52 
K05D0010_H0012:3b-0	bzhin @3b 'dzum pa dang ldan pa /	bzhin_0 'dzum_10 ba_16 dang_19 ldan_24 ba_29 
K05D0010_H0012:3b-1	gsong por smra ba /	gsong_0 por_6 smra_10 ba_15 
K05D0010_H0012:3b-2	bzhin khro gnyer med pa /	bzhin_0 khro_6 gnyer_11 med_17 ba_21 
K05D0010_H0012:3b-3	pha rol la tshigs su bcad pa'i dbyangs kyis brjod pa la mkhas pa /	pha_0 rol_4 la_8 tshigs_11 su_18 gcod_21 ba_26 dbyangs_31 kyis_39 rjod_44 ba_50 la_53 mkhas_56 ba_62 
K05D0010_H0012:3b-4	sems zhum pa med pa /	sems_0 zhum_5 ba_10 med_13 ba_17 
K05D0010_H0012:3b-5	spobs pa mi chod pa /	spobs_0 ba_6 mi_9 chod_12 ba_17 
K05D0010_H0012:3b-6	'khor mtha' yas pa zil gyis gnon pa'i mi 'jigs pa dang ldan pa /	'khor_0 mtha'_6 yas_12 ba_16 zil_19 gyis_23 gnon_28 ba_33 mi_38 'jigs_41 ba_47 dang_50 ldan_55 ba_60 
K05D0010_H0012:3b-7	bskal pa bye ba mtha' yas pas nges par 'byung ba la mkhas pa /	bskal_0 ba_6 'bye_9 ba_13 mtha'_16 yas_22 ba_26 nges_30 ba_35 'byung_39 ba_46 la_49 mkhas_52 ba_58 
K05D0010_H0012:3b-8	chos thams cad sgyu ma dang; smig rgyu dang /	chos_0 thams_5 cad_11 sgyu_15 ma_20 dang;_23 smig_29 rgyu_34 dang_39 
K05D0010_H0012:3b-9	chu zla dang /	chu_0 zla_4 dang_8 
K05D0010_H0012:3b-10	rmi lam dang /	rmi_0 lam_4 dang_8 
K05D0010_H0012:3b-11	brag ca dang /	brag_0 ca_5 dang_8 
K05D0010_H0012:3b-12	mig yor dang /	mig_0 yor_4 dang_8 
K05D0010_H0012:3b-13	gzugs brnyan dang /	gzugs_0 rnyan_6 dang_13 
K05D0010_H0012:3b-14	sprul pa lta bur khong du chud pa /	sprul_0 ba_6 lta_9 bur_13 khong_17 du_23 chud_26 ba_31 
K05D0010_H0012:3b-15	sems can thams cad kyi sems kyi spyod pa dang /	sems_0 can_5 thams_9 cad_15 kyi_19 sems_23 kyi_28 spyod_32 ba_38 dang_41 
K05D0010_H0012:3b-16	mos pa dang /	mos_0 ba_4 dang_7 
K05D0010_H0012:3b-17	phra ba mkhyen pa khong du chud par bya ba la mkhas pa /	phra_0 ba_5 mkhyen_8 ba_15 khong_18 du_24 chud_27 ba_32 byed_36 ba_40 la_43 mkhas_46 ba_52 
K05D0010_H0012:3b-18	sems thogs pa med pa bzod pa rlabs po che dang ldan pa /	sems_0 thogs_5 ba_11 med_14 ba_18 bzod_21 ba_26 rlabs_29 po_35 che_38 dang_42 ldan_47 ba_52 
K05D0010_H0012:3b-19	bdag nyid ji lta ba bzhin du 'jug pa la mkhas pa /	bdag_0 nyid_5 ji_10 lta_13 ba_17 bzhin_20 du_26 'jug_29 ba_34 la_37 mkhas_40 ba_46 
K05D0010_H0012:3b-20	sangs rgyas kyi zhing mtha' yas pa thams cad rnam	sangs_0 rgya_6 kyi_12 zhing_16 mtha'_22 yas_28 ba_32 thams_35 cad_41 rnam_45 
K05D0010_H0012:3b-21	par bkod pa'i smon lam gyi 'jug pas yongs su	ba_0 bkod_4 ba_9 smon_14 lam_19 gyi_23 'jug_27 ba_32 yongs_36 su_42 
K05D0010_H0012:3b-22	zin pa / 'jig rten gyi khams grangs med pa	zin_0 ba_4 'jig_9 rten_14 gyi_19 khams_23 grangs_29 med_36 ba_40 
K05D0010_H0012:3b-23	na bzhugs pa'i sangs rgyas rjes su dran pa'i ting	na_0 bzhugs_3 ba_10 sangs_15 rgya_21 rjes_27 su_32 dran_35 ba_40 ting_45 
K05D0010_H0012:3b-24	nge 'dzin rtag tu rgyun mi chad par mngon du	nge_0 'dzin_4 rtag_10 tu_15 rgyun_18 mi_24 'chad_27 ba_32 mngon_36 du_42 
K05D0010_H0012:3b-25	zin pa / gyur pa / sangs rgyas dpag tu	zin_0 ba_4 gyur_9 ba_14 sangs_19 rgya_25 dpog_31 tu_36 
K05D0010_H0012:3b-26	med pa la gsol ba 'debs pa la mkhas pa	med_0 ba_4 la_7 gsol_10 ba_15 'debs_18 ba_24 la_27 mkhas_30 ba_36 
K05D0010_H0012:3b-27	zin pa / gyur pa / / lta ba dang /	zin_0 ba_4 gyur_9 ba_14 lta_21 ba_25 dang_28 
K05D0010_H0012:3b-28	bag la nyal dang /	bag_0 la_4 nyal_7 dang_12 
K05D0010_H0012:3b-29	kun nas dkris pa dang /	kun_0 nas_4 dkri_8 ba_14 dang_17 
K05D0010_H0012:3b-30	nyon mongs pa sna tshogs rab tu zhi bar bya ba la mkhas pa /	nyon_0 mongs_5 ba_11 sna_14 tshogs_18 rab_25 tu_29 zhi_32 ba_36 byed_40 ba_44 la_47 mkhas_50 ba_56 
K05D0010_H0012:4a-0	ting nge 'dzin gyis rnam par rtse ba 'bum mngon par bsgrub @4a *//	ting_0 nge_5 'dzin_9 gyis_15 rnam_20 ba_25 rtse_29 ba_34 'bum_37 mngon_42 ba_48 sgrub_52 
K05D0010_H0012:4a-1	pa la mkhas pa sha stag la /	ba_0 la_3 mkhas_6 ba_12 sha_15 stag_19 la_24 
K05D0010_H0012:4a-2	'di lta ste /	'di_0 lta_4 ste_8 
K05D0010_H0012:4a-3	byang chub sems dpa' sems dpa' chen po bzang skyong dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 bzang_39 skyong_45 dang_52 
K05D0010_H0012:4a-4	dkon mchog 'byung gnas dang /	dkon(d)_0 mchog_5 'byung_11 gnas_18 dang_23 
K05D0010_H0012:4a-5	rin chen snying po dang /	rin_0 chen_4 snying_9 po_16 dang_19 
K05D0010_H0012:4a-6	rin po ches byin dang /	rin_0 po_4 ches_7 byin_12 dang_17 
K05D0010_H0012:4a-7	ded dpon bzang po dang /	'ded_0 dpon_4 bzang_9 po_15 dang_18 
K05D0010_H0012:4a-8	chu lha'i lha dang /	chu_0 lha_4 lha_10 dang_14 
K05D0010_H0012:4a-9	phug sbas dang /	'bugs_0 sbed_5 dang_10 
K05D0010_H0012:4a-10	dbang pos byin dang /	dbang_0 pos_6 byin_10 dang_15 
K05D0010_H0012:4a-11	blo gros dam pa dang /	blo_0 gros_4 dam_9 ba_13 dang_16 
K05D0010_H0012:4a-12	blo gros khyad par can dang; blo gros 'phel dang /	blo_0 gros_4 khyad_9 ba_15 can_19 dang;_23 blo_29 gros_33 'phel_38 dang_44 
K05D0010_H0012:4a-13	blo gros mtha' yas dang /	blo_0 gros_4 mtha'_9 yas_15 dang_19 
K05D0010_H0012:4a-14	mthong ba don yod dang /	mthong_0 ba_7 don_10 yod_14 dang_18 
K05D0010_H0012:4a-15	blo gros sgrib med dang /	blo_0 gros_4 sgrib_9 med_15 dang_19 
K05D0010_H0012:4a-16	shin tu yang dag zhugs dang /	shin_0 tu_5 yang_8 'dag_13 'jug_17 dang_23 
K05D0010_H0012:4a-17	rab kyi rtsal gyis rnam par gnon pa dang /	rab_0 kyi_4 rtsal_8 gyis_14 rnam_19 ba_24 gnon_28 ba_33 dang_36 
K05D0010_H0012:4a-18	brtson 'grus mtha' yas dang /	brtson_0 'grus_7 mtha'_13 yas_19 dang_23 
K05D0010_H0012:4a-19	rtag tu brtson dang /	rtag_0 tu_5 brtson_8 dang_15 
K05D0010_H0012:4a-20	rtag tu sbyor dang /	rtag_0 tu_5 sbyor_8 dang_14 
K05D0010_H0012:4a-21	brtson pa mi gtong dang /	brtson_0 ba_7 mi_10 gtong_13 dang_19 
K05D0010_H0012:4a-22	nyi ma'i snying po dang /	nyi_0 ma_4 snying_9 po_16 dang_19 
K05D0010_H0012:4a-23	blo gros dpe med dang /	blo_0 gros_4 dpe_9 med_13 dang_17 
K05D0010_H0012:4a-24	spyan ras gzigs dbang phyug dang /	spyan_0 ras_6 gzigs_10 dbang_16 phyug_22 dang_28 
K05D0010_H0012:4a-25	mthu chen thob dang /	mthu_0 chen_5 'thob_10 dang_15 
K05D0010_H0012:4a-26	'jam dpal gzhon nur gyur pa dang /	'jam_0 dpal_5 gzhon_10 nur_16 gyur_20 ba_25 dang_28 
K05D0010_H0012:4a-27	bdud kyi stobs rab tu 'jom pa dang /	bdud_0 kyi_5 stobs_9 rab_15 tu_19 'jom_22 ba_27 dang_30 
K05D0010_H0012:4a-28	rdo rje blo gros dang /	rdo_0 rje_4 blo_8 gros_12 dang_17 
K05D0010_H0012:4a-29	lag na phyag rgya rin po che dang /	lag_0 na_4 phyag_7 rgya_13 rin_18 po_22 che_25 dang_29 
K05D0010_H0012:4a-30	rtag tu phyag brkyang dang /	rtag_0 tu_5 phyag_8 rkyong_14 dang_22 
K05D0010_H0012:4a-31	snying rje cher sems dang /	snying_0 rje_7 cher_11 sems_16 dang_21 
K05D0010_H0012:4a-32	bkod pa chen po dang /	bkod_0 ba_5 chen_8 po_13 dang_16 
K05D0010_H0012:4a-33	bkod pa'i rgyal po dang /	bkod_0 ba_5 rgyal_10 po_16 dang_19 
K05D0010_H0012:4a-34	lhun po'i rtse mo dang /	lhun_0 po_5 rtse_10 mo_15 dang_18 
K05D0010_H0012:4a-35	byang chub sems dpa' sems dpa' chen po byams pa la sogs pa de dag dang /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 byams_39 ba_45 la_48 sogs_51 ba_56 de_59 'dag_62 dang_66 
K05D0010_H0012:4a-36	gzhan yang byang chub sems dpa' bye ba khrag khrig 'bum phrag du ma dang thabs cig go /	gzhan_0 yang_6 byang_11 chub_17 sems_22 dpa'_27 'bye_32 ba_36 khrag_39 khrig_45 'bum_51 phrag_56 du_62 ma_65 dang_68 thabs_73 cig_79 go_83 
K05D0010_H0012:4b-0	de nas de'i tshe @4b bcom ldan 'das nyid kyis gdan sengge'i khri bshams nas /	de_0 nas_3 de_7 tshe_12 'joms_21 ldan_26 'da'_31 nyid_36 kyis_41 gdan_46 sengge_51 khri_60 bshams_65 nas_72 
K05D0010_H0012:4b-1	skyil mo krung bcas te sku drang por bsrang nas dran pa mngon du bzhag ste bzhugs so //	skyil_0 mo_6 krung_9 'cha'_15 te_20 sku_23 'dren_27 por_33 bsrang_37 nas_44 dran_48 ba_53 mngon_56 du_62 'jog_65 ste_71 bzhugs_75 so_82 
K05D0010_H0012:4b-2	der bzhugs nas ting nge 'dzin gang du ting nge	der_0 bzhugs_4 nas_11 ting_15 nge_20 'dzin_24 gang_30 du_35 ting_38 nge_43 
K05D0010_H0012:4b-3	'dzin thams cad chud pa dang 'dus pa dang 'ub	'dzin_0 thams_6 cad_12 chud_16 ba_21 dang_24 'du_29 ba_34 dang_37 'ub_42 
K05D0010_H0012:4b-4	cing yang dag par gzhol ba ting nge 'dzin gyi	cing_0 yang_5 'dag_10 ba_14 gzhol_18 ba_24 ting_27 nge_32 'dzin_36 gyi_42 
K05D0010_H0012:4b-5	rgyal po zhes bya ba la snyoms par zhugs so	rgyal_0 po_6 zhes_9 byed_14 ba_18 la_21 snyom_24 ba_31 'jug_35 so_41 
K05D0010_H0012:4b-6	// de nas bcom ldan 'das dran pa dang ldan	de_3 nas_6 'joms_10 ldan_15 'da'_20 dran_25 ba_30 dang_33 ldan_38 
K05D0010_H0012:4b-7	zhing mkhyen bzhin du ting nge 'dzin de las bzhengs	zhing_0 mkhyen_6 bzhin_13 du_19 ting_22 nge_27 'dzin_31 de_37 las_40 bzhengs_44 
K05D0010_H0012:4b-8	// te / lha'i spyan gyis 'jig rten gyi khams thams cad la rnam par gzigs so //	te_3 lha_8 spyan_14 gyis_20 'jig_25 rten_30 gyi_35 khams_39 thams_45 cad_51 la_55 rnam_58 ba_63 gzigs_67 so_73 
K05D0010_H0012:4b-9	rnam par gzigs nas sku thams cad kyis 'dzum pa mdzad de /	rnam_0 ba_5 gzigs_9 nas_15 sku_19 thams_23 cad_29 kyis_33 'dzum_38 ba_44 mdzad_47 de_53 
K05D0010_H0012:4b-10	de'i zhabs kyi mthil 'khor lo rtsibs stong dang ldan	de_0 zhabs_5 kyi_11 mthil_15 'khor_21 lo_27 rtsibs_30 stong_37 dang_43 ldan_48 
K05D0010_H0012:4b-11	pa gnyis las 'od zer bye ba khrag khrig 'bum	ba_0 gnyis_3 las_9 'od_13 zer_17 'bye_21 ba_25 khrag_28 khrig_34 'bum_40 
K05D0010_H0012:4b-12	phrag drug cu drug cu byung ngo //	phrag_0 drug_6 cu_11 drug_14 cu_19 'byung_22 ngo_28 
K05D0010_H0012:4b-13	zhabs kyi sor mo bcu las kyang 'od zer bye	zhabs_0 kyi_6 sor_10 mo_14 'chu_17 las_21 kyang_25 'od_31 zer_35 'bye_39 
K05D0010_H0012:4b-14	ba khrag khrig 'bum phrag drug cu drug cu byung	ba_0 khrag_3 khrig_9 'bum_15 phrag_20 drug_26 cu_31 drug_34 cu_39 'byung_42 
K05D0010_H0012:4b-15	ngo // de bzhin du zhabs kyi long bu gnyis dang /	ngo_0 de_7 bzhin_10 du_16 zhabs_19 kyi_25 long_29 bu_34 gnyis_37 dang_43 
K05D0010_H0012:4b-16	byin pa gnyis dang /	byin_0 ba_5 gnyis_8 dang_14 
K05D0010_H0012:4b-17	pus mo gnyis dang /	pus_0 mo_4 gnyis_7 dang_13 
K05D0010_H0012:4b-18	brla gnyis dang /	brla_0 gnyis_5 dang_11 
K05D0010_H0012:4b-19	sta zur gnyis dang /	sta_0 zur_4 gnyis_8 dang_14 
K05D0010_H0012:4b-20	lte ba khung dang /	lte_0 ba_4 khung_7 dang_13 
K05D0010_H0012:4b-21	rtsib logs gnyis dang /	rtsib_0 logs_6 gnyis_11 dang_17 
K05D0010_H0012:4b-22	skyes bu chen po'i mtshan thugs ka'i dpal be'u las	skye_0 bu_6 chen_9 po_14 mtshan_19 thugs_26 ka_32 dpal_37 be_42 las_47 
K05D0010_H0012:4b-23	kyang 'od zer bye ba khrag khrig 'bum phrag drug	kyang_0 'od_6 zer_10 'bye_14 ba_18 khrag_21 khrig_27 'bum_33 phrag_38 drug_44 
K05D0010_H0012:4b-24	cu drug cu byung ngo //	cu_0 drug_3 cu_8 'byung_11 ngo_17 
K05D0010_H0012:4b-25	phyag gi sor mo bcu las kyang 'od zer bye	phyag_0 gi_6 sor_9 mo_13 'chu_16 las_20 kyang_24 'od_30 zer_34 'bye_38 
K05D0010_H0012:4b-26	ba khrag khrig 'bum phrag drug cu drug cu byung	ba_0 khrag_3 khrig_9 'bum_15 phrag_20 drug_26 cu_31 drug_34 cu_39 'byung_42 
K05D0010_H0012:4b-27	ngo // de bzhin du phyag gnyis dang /	ngo_0 de_7 bzhin_10 du_16 phyag_19 gnyis_25 dang_31 
K05D0010_H0012:4b-28	sku phrag pa gnyis dang /	sku_0 phrag_4 ba_10 gnyis_13 dang_19 
K05D0010_H0012:5a-0	mgur @5a *//	mgur_0 
K05D0010_H0012:5a-1	dang /	dang_0 
K05D0010_H0012:5a-2	tshems mche ba bzhi dang /	tshems_0 mche_7 ba_12 bzhi_15 dang_20 
K05D0010_H0012:5a-3	tshems bzhi bcu dang /	tshems_0 bzhi_7 'chu_12 dang_16 
K05D0010_H0012:5a-4	spyan gnyis dang /	spyan_0 gnyis_6 dang_12 
K05D0010_H0012:5a-5	snyan gnyis dang /	snyan_0 gnyis_6 dang_12 
K05D0010_H0012:5a-6	shangs kyi bu ga gnyis dang /	shangs_0 kyi_7 bu_11 ga_14 gnyis_17 dang_23 
K05D0010_H0012:5a-7	smin mtshams kyi mdzod spu dang /	smin_0 mtshams_5 kyi_13 mdzod_17 spu_23 dang_27 
K05D0010_H0012:5a-8	steng gi gtsug tor dang /	steng_0 gi_6 gtsug_9 tor_15 dang_19 
K05D0010_H0012:5a-9	zhal gyi sgo nas kyang 'od zer bye ba khrag khrig 'bum phrag drug cu drug cu byung ste /	zhal_0 gyi_5 sgo_9 nas_13 kyang_17 'od_23 zer_27 'bye_31 ba_35 khrag_38 khrig_44 'bum_50 phrag_55 drug_61 cu_66 drug_69 cu_74 'byung_77 ste_83 
K05D0010_H0012:5a-10	'od zer bye ba khrag khrig 'bum phrag drug cu	'od_0 zer_4 'bye_8 ba_12 khrag_15 khrig_21 'bum_27 phrag_32 drug_38 cu_43 
K05D0010_H0012:5a-11	drug cu po de dag thams cad kyis thams cad	drug_0 cu_5 po_8 de_11 'dag_14 thams_18 cad_24 kyis_28 thams_33 cad_39 
K05D0010_H0012:5a-12	dang ldan pa'i stong gsum gyi stong chen po'i 'jig	dang_0 ldan_5 ba_10 stong_15 gsum_21 gyi_26 stong_30 chen_36 po_41 'jig_46 
K05D0010_H0012:5a-13	rten gyi khams 'di snang ba chen pos khyab par	rten_0 gyi_5 khams_9 'di_15 snang_19 ba_25 chen_28 pos_33 khyab_37 ba_43 
K05D0010_H0012:5a-14	byas te / shar phyogs su 'jig rten gyi khams	byed_0 te_5 'char_10 phyogs_15 su_22 'jig_25 rten_30 gyi_35 khams_39 
K05D0010_H0012:5a-15	gangg'a'i klung gi bye ma snyed dag 'od zer gyi	gangg'i_0 klung_10 gi_16 'bye_19 ma_23 snyed_26 'dag_32 'od_36 zer_40 gyi_44 
K05D0010_H0012:5a-16	snang ba chen po des khyab par snang bar byas	snang_0 ba_6 chen_9 po_14 des_17 khyab_21 ba_27 snang_31 ba_37 byed_41 
K05D0010_H0012:5a-17	byas te / so // de bzhin du lho dang /	byed_0 te_5 so_10 de_16 bzhin_19 du_25 lho_28 dang_32 
K05D0010_H0012:5a-18	nub dang /	nub_0 dang_4 
K05D0010_H0012:5a-19	byang phyogs dang /	byang_0 phyogs_6 dang_13 
K05D0010_H0012:5a-20	byang shar dang /	byang_0 'char_6 dang_11 
K05D0010_H0012:5a-21	shar lho dang /	'char_0 lho_5 dang_9 
K05D0010_H0012:5a-22	lho nub dang /	lho_0 nub_4 dang_8 
K05D0010_H0012:5a-23	nub byang gi phyogs mtshams dang /	nub_0 byang_4 gi_10 phyogs_13 mtshams_20 dang_28 
K05D0010_H0012:5a-24	'og dang /	'og_0 dang_4 
K05D0010_H0012:5a-25	steng gi phyogs su phyogs re rer yang 'jig rten	steng_0 gi_6 phyogs_9 su_16 phyogs_19 re_26 rer_29 yang_33 'jig_38 rten_43 
K05D0010_H0012:5a-26	gyi khams gangg'a'i klung gi bye ma snyed dag 'od	gyi_0 khams_4 gangg'i_10 klung_20 gi_26 'bye_29 ma_33 snyed_36 'dag_42 'od_46 
K05D0010_H0012:5a-27	zer gyi snang ba chen po des khyab par snang	zer_0 gyi_4 snang_8 ba_14 chen_17 po_22 des_25 khyab_29 ba_35 snang_39 
K05D0010_H0012:5a-28	bar byas so // sems can gang dag gis 'od de mthong ba dang /	ba_0 byed_4 so_9 sems_15 can_20 gang_24 'dag_29 gis_33 'od_37 de_41 mthong_44 ba_51 dang_54 
K05D0010_H0012:5a-29	gang dag 'od zer gyi snang ba des reg pa	gang_0 'dag_5 'od_9 zer_13 gyi_17 snang_21 ba_27 des_30 reg_34 ba_38 
K05D0010_H0012:5a-30	de dag thams cad bla na med pa yang dag	de_0 'dag_3 thams_7 cad_13 bla_17 na_21 med_24 ba_28 yang_31 'dag_36 
