K10D0181_H0182:1b-0	@1b [dd] #//	[dd]_4 
K10D0181_H0182:2a-8	sems shin tu rnam par grol ba /	sems_0 shin_5 tu_10 rnam_13 ba_18 grol_22 ba_27 
K10D0181_H0182:2a-9	shes rab shin tu rnam par grol ba /	shes_0 rab_5 shin_9 tu_14 rnam_17 ba_22 grol_26 ba_31 
K10D0181_H0182:2a-10	cang shes pa /	cang_0 shes_5 ba_10 
K10D0181_H0182:2a-11	glang po chen po /	glang_0 po_6 chen_9 po_14 
K10D0181_H0182:2a-12	bya ba byas pa /	byed_0 ba_4 byed_7 ba_12 
K10D0181_H0182:2a-13	byed pa byas pa /	byed_0 ba_5 byed_8 ba_13 
K10D0181_H0182:2a-14	khur bor ba /	'khur_0 'bor_5 ba_9 
K10D0181_H0182:2a-15	bdag gi don rjes su thob pa /	bdag_0 gi_5 don_8 rjes_12 su_17 'thob_20 ba_25 
K10D0181_H0182:2b-0	srid par kun tu sbyor ba yongs @2b su zad pa /	srid_0 ba_5 kun_9 tu_13 sbyor_16 ba_22 yongs_25 su_35 zad_38 ba_42 
K10D0181_H0182:2b-1	yang dag pa'i shes pas sems shin tu rnam par grol ba /	yang_0 'dag_5 ba_9 shes_14 ba_19 sems_23 shin_28 tu_33 rnam_36 ba_41 grol_45 ba_50 
K10D0181_H0182:2b-2	sems can thams cad la dbang dam pa'i pha rol tu son pa sha stag dang /	sems_0 can_5 thams_9 cad_15 la_19 dbang_22 dam_28 ba_32 pha_37 rol_41 tu_45 son_48 ba_52 sha_55 stag_59 dang_64 
K10D0181_H0182:2b-3	byang chub sems dpa' sems dpa' chen po phal cher gzhon nur gyur pa /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 phal_39 cher_44 gzhon_49 nur_55 gyur_59 ba_64 
K10D0181_H0182:2b-4	skye ba gcig gis thogs pa /	skye_0 ba_5 gcig_8 gis_13 thogs_17 ba_23 
K10D0181_H0182:2b-5	sems can gyi bsam pa ji lta ba bzhin du srid pa las grol ba /	sems_0 can_5 gyi_9 bsam_13 ba_18 ji_21 lta_24 ba_28 bzhin_31 du_37 srid_40 ba_45 las_48 grol_52 ba_57 
K10D0181_H0182:2b-6	srid par skye ba yongs su 'dzin pa /	srid_0 ba_5 skye_9 ba_14 yongs_17 su_23 'dzin_26 ba_32 
K10D0181_H0182:2b-7	thams cad kyang bla na med pa yang dag par	thams_0 cad_6 kyang_10 bla_16 na_20 med_23 ba_27 yang_30 'dag_35 ba_39 
K10D0181_H0182:2b-8	rdzogs pa'i byang chub las phyir mi ldog pa sha	rdzogs_0 ba_7 byang_12 chub_18 las_23 phyir_27 mi_33 ldog_36 ba_41 sha_44 
K10D0181_H0182:2b-9	stag dang thabs gcig tu bzhugs so //	stag_0 dang_5 thabs_10 gcig_16 tu_21 bzhugs_24 so_31 
K10D0181_H0182:2b-10	gzhan yang /	gzhan_0 yang_6 
K10D0181_H0182:2b-11	lha dang /	lha_0 dang_4 
K10D0181_H0182:2b-12	klu dang /	klu_0 dang_4 
K10D0181_H0182:2b-13	gnod sbyin dang /	gnod_0 sbyin_5 dang_11 
K10D0181_H0182:2b-14	dri za dang /	'dri_0 za_4 dang_7 
K10D0181_H0182:2b-15	lha ma yin dang /	lha_0 ma_4 yin_7 dang_11 
K10D0181_H0182:2b-16	nam mkha' lding dang /	nam_0 mkha'_4 lding_10 dang_16 
K10D0181_H0182:2b-17	mi'am ci dang /	mi_0 ci_6 dang_9 
K10D0181_H0182:3a-0	lto 'phye chen po dag gis @3a *//	lto_0 'phye_4 chen_10 po_15 'dag_18 gis_22 
K10D0181_H0182:3a-1	bcom ldan 'das la bkur stir byas /	'joms_0 ldan_5 'da'_10 la_15 bkur_18 stir_23 byed_28 
K10D0181_H0182:3a-2	bla mar byas /	bla_0 mar_4 byed_8 
K10D0181_H0182:3a-3	ri mor byas /	ri_0 mor_3 byed_7 
K10D0181_H0182:3a-4	mchod par byas nas /	mchod_0 ba_6 byed_10 nas_15 
K10D0181_H0182:3a-5	bde bar gshegs pa /	bde_0 ba_4 gshegs_8 ba_15 
K10D0181_H0182:3a-6	'jig rten mkhyen pa /	'jig_0 rten_5 mkhyen_10 ba_17 
K10D0181_H0182:3a-7	skyes bu 'dul ba'i kha lo sgyur ba /	skye_0 bu_6 'dul_9 ba_14 kha_19 lo_23 sgyur_26 ba_32 
K10D0181_H0182:3a-8	bla na med pa /	bla_0 na_4 med_7 ba_11 
K10D0181_H0182:3a-9	lha dang /	lha_0 dang_4 
K10D0181_H0182:3a-10	mi rnams kyi ston pa /	mi_0 rnams_3 kyi_9 ston_13 ba_18 
K10D0181_H0182:3a-11	sangs rgyas bcom ldan 'das kyis /	sangs_0 rgya_6 'joms_12 ldan_17 'da'_22 kyis_27 
K10D0181_H0182:3a-12	'di lta ste /	'di_0 lta_4 ste_8 
K10D0181_H0182:3a-13	pha rol tu phyin pa drug po 'di dag nyid	pha_0 rol_4 tu_8 phyin_11 ba_17 drug_20 po_25 'di_28 'dag_32 nyid_36 
K10D0181_H0182:3a-14	las brtsams nas 'khor bzhi po dag la chos ston	las_0 brtsams_4 nas_12 'khor_16 bzhi_22 po_27 'dag_30 la_34 chos_37 ston_42 
K10D0181_H0182:3a-15	to // de nas bcom ldan 'das kyis tshe dang	to_0 de_6 nas_9 'joms_13 ldan_18 'da'_23 kyis_28 tshe_33 dang_38 
K10D0181_H0182:3a-16	ldan pa sh'a radva ti'i bu la bka' stsal pa	ldan_0 ba_5 sh_8 radva_13 ti_19 bu_24 la_27 bka'_30 stsal_35 ba_41 
K10D0181_H0182:3a-17	to // / sh'a radva ti'i bu /	to_0 sh_8 radva_13 ti_19 bu_24 
K10D0181_H0182:3a-18	'di la byang chub sems dpa' sems dpa' chen pos	'di_0 la_4 byang_7 chub_13 sems_18 dpa'_23 sems_28 dpa'_33 chen_38 pos_43 
K10D0181_H0182:3a-19	sbyin pa'i pha rol tu phyin pa la spyod pa	sbyin_0 ba_6 pha_11 rol_15 tu_19 phyin_22 ba_28 la_31 spyod_34 ba_40 
K10D0181_H0182:3a-20	na mngon par 'du byed pa med par sbyin pa	na_0 mngon_3 ba_9 'du_13 byed_17 ba_22 med_25 ba_29 sbyin_33 ba_39 
K10D0181_H0182:3a-21	byin par bya'o // de skad ces bka' stsal pa dang /	byin_0 ba_5 byed_9 de_18 skad_21 ces_26 bka'_30 stsal_35 ba_41 dang_44 
K10D0181_H0182:3b-0	tshe dang ldan pa sh'a radva ti'i bus bcom ldan 'das la 'di skad ces @3b gsol to //	tshe_0 dang_5 ldan_10 ba_15 sh_18 radva_23 ti_29 'bud_34 'joms_38 ldan_43 'da'_48 la_53 'di_56 skad_60 ces_65 gsol_73 to_78 
K10D0181_H0182:3b-1	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K10D0181_H0182:3b-2	bcom ldan 'das ni chos thams cad kyi rtsa bar gyur pa lags /	'joms_0 ldan_5 'da'_10 ni_15 chos_18 thams_23 cad_29 kyi_33 rtsa_37 ba_42 gyur_46 ba_51 lags_54 
K10D0181_H0182:3b-3	bcom ldan 'das ni chos thams cad kyi gtso bor gyur pa lags /	'joms_0 ldan_5 'da'_10 ni_15 chos_18 thams_23 cad_29 kyi_33 gtso_37 'bor_42 gyur_46 ba_51 lags_54 
K10D0181_H0182:3b-4	bcom ldan 'das ni chos thams cad kyi ston par gyur pa lags te /	'joms_0 ldan_5 'da'_10 ni_15 chos_18 thams_23 cad_29 kyi_33 ston_37 ba_42 gyur_46 ba_51 lags_54 te_59 
K10D0181_H0182:3b-5	de'i slad du bcom ldan 'das las gang thos na	de_0 slad_5 du_10 'joms_13 ldan_18 'da'_23 las_28 gang_32 thos_37 na_42 
K10D0181_H0182:3b-6	dge slong rnams 'dzin par 'gyur ba de bcom ldan	dge_0 slong_4 rnams_10 'dzin_16 ba_22 'gyur_26 ba_32 de_35 'joms_38 ldan_43 
K10D0181_H0182:3b-7	'das nyid kyis dge slong rnams la bshad du gsol	'da'_0 nyid_5 kyis_10 dge_15 slong_19 rnams_25 la_31 'chad_34 du_40 gsol_43 
K10D0181_H0182:3b-8	/ de skad ces gsol pa dang /	de_2 skad_5 ces_10 gsol_14 ba_19 dang_22 
K10D0181_H0182:3b-9	bcom ldan 'das cang mi gsung bar gyur te /	'joms_0 ldan_5 'da'_10 cang_15 mi_20 gsung_23 ba_29 gyur_33 te_38 
K10D0181_H0182:3b-10	lan gnyis kyi bar du gsol nas bcom ldan 'das kyis bka' stsal pa /	lan_0 gnyis_4 kyi_10 ba_14 du_18 gsol_21 nas_26 'joms_30 ldan_35 'da'_40 kyis_45 bka'_50 stsal_55 ba_61 
K10D0181_H0182:3b-11	sh'a radva ti'i bu /	sh_0 radva_5 ti_11 bu_16 
K10D0181_H0182:3b-12	ngas khyod la bcol gyi /	ngas_0 khyod_5 la_11 'chol_14 gyi_19 
K10D0181_H0182:3b-13	byang chub sems dpa' sems dpa' chen po rnams kyi	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 rnams_39 kyi_45 
K10D0181_H0182:3b-14	sbyin pa'i pha rol tu phyin pa las brtsams te	sbyin_0 ba_6 pha_11 rol_15 tu_19 phyin_22 ba_28 las_31 brtsams_35 te_43 
K10D0181_H0182:3b-15	/ khyod spobs par gyis shig /	khyod_2 spobs_8 ba_14 gyis_18 shig_23 
K10D0181_H0182:3b-16	de nas tshe dang ldan pa sh'a radva ti'i bus	de_0 nas_3 tshe_7 dang_12 ldan_17 ba_22 sh_25 radva_30 ti_36 'bud_41 
K10D0181_H0182:3b-17	bcom ldan 'das las go skabs gnang ba thob nas	'joms_0 ldan_5 'da'_10 las_15 go_19 skabs_22 gnang_28 ba_34 'thob_37 nas_42 
K10D0181_H0182:3b-18	bcom ldan 'das kyi mthus thog ma nyid du byang	'joms_0 ldan_5 'da'_10 kyi_15 mthus_19 thogs_25 ma_30 nyid_33 du_38 byang_41 
K10D0181_H0182:3b-19	chub sems dpa' sems dpa' chen po rnams kyi sbyin	chub_0 sems_5 dpa'_10 sems_15 dpa'_20 chen_25 po_30 rnams_33 kyi_39 sbyin_43 
K10D0181_H0182:3b-20	pa'i pha rol tu phyin pa la 'doms shing rjes	ba_0 pha_5 rol_9 tu_13 phyin_16 ba_22 la_25 'doms_28 shing_34 rjes_40 
K10D0181_H0182:3b-21	su ston te / bcom ldan 'das /	su_0 ston_3 te_8 'joms_13 ldan_18 'da'_23 
K10D0181_H0182:3b-22	'di la byang chub sems dpa' sems dpa' chen po	'di_0 la_4 byang_7 chub_13 sems_18 dpa'_23 sems_28 dpa'_33 chen_38 po_43 
K10D0181_H0182:3b-23	sbyin pa'i pha rol tu phyin pa la spyod pas	sbyin_0 ba_6 pha_11 rol_15 tu_19 phyin_22 ba_28 la_31 spyod_34 ba_40 
K10D0181_H0182:3b-24	thog ma nyid du rnam pa thams cad mkhyen pa	thogs_0 ma_5 nyid_8 du_13 rnam_16 ba_21 thams_24 cad_30 mkhyen_34 ba_41 
K10D0181_H0182:3b-25	nyid la dmigs par bgyi zhing sbyin pa byin par	nyid_0 la_5 dmigs_8 ba_14 bgyid_18 zhing_23 sbyin_29 ba_35 byin_38 ba_43 
K10D0181_H0182:4a-0	bgyi'o // gal te byang @4a *//	bgyid_0 gal_10 te_14 byang_17 
K10D0181_H0182:4a-1	chub sems dpa' sems dpa' chen po rnam pa thams	chub_0 sems_5 dpa'_10 sems_15 dpa'_20 chen_25 po_30 rnam_33 ba_38 thams_41 
K10D0181_H0182:4a-2	cad mkhyen pa nyid la dmigs par bgyis nas sbyin	cad_0 mkhyen_4 ba_11 nyid_14 la_19 dmigs_22 ba_28 bgyid_32 nas_38 sbyin_42 
K10D0181_H0182:4a-3	pa byin na / byang chub sems dpa' sems dpa'	ba_0 byin_3 na_8 byang_13 chub_19 sems_24 dpa'_29 sems_34 dpa'_39 
K10D0181_H0182:4a-4	chen po de ni sbyin pa'i pha rol tu phyin	chen_0 po_5 de_8 ni_11 sbyin_14 ba_20 pha_25 rol_29 tu_33 phyin_36 
K10D0181_H0182:4a-5	pa yongs su 'dzin pa lags so //	ba_0 yongs_3 su_9 'dzin_12 ba_18 lags_21 so_26 
K10D0181_H0182:4a-6	byang chub sems dpa' lta bar lhung bas sbyin pa byin pa ni mi bsngo yi /	byang_0 chub_6 sems_11 dpa'_16 lta_21 ba_25 lhung_29 ba_35 sbyin_39 ba_45 byin_48 ba_53 ni_56 mi_59 sngo_62 yi_68 
K10D0181_H0182:4a-7	nyan thos kyi sa'am /	nyan_0 thos_5 kyi_10 sa_14 
K10D0181_H0182:4a-8	rang sangs rgyas kyi sar bsngos pa ni de lta ma lags so //	rang_0 sangs_5 rgya_11 kyi_17 sar_21 sngo_25 ba_32 ni_35 de_38 lta_41 ma_45 lags_48 so_53 
K10D0181_H0182:4a-9	de ci'i slad du zhe na /	de_0 ci_3 slad_8 du_13 zhe_16 na_20 
K10D0181_H0182:4a-10	de'i 'jigs pa ni de lags par 'tshal bar bgyi ba'i slad du'o //	de_0 'jigs_5 ba_11 ni_14 de_17 lags_20 ba_25 'tshal_29 ba_36 bgyid_40 ba_45 slad_50 du_55 
K10D0181_H0182:4a-11	de nas tshe dang ldan pa byams ma'i bu gang	de_0 nas_3 tshe_7 dang_12 ldan_17 ba_22 byams_25 ma_31 bu_36 gang_39 
K10D0181_H0182:4a-12	pos tshe dang ldan pa sh'a radva ti'i bu la	pos_0 tshe_4 dang_9 ldan_14 ba_19 sh_22 radva_27 ti_33 bu_38 la_41 
K10D0181_H0182:4a-13	'di skad ces smras so //	'di_0 skad_4 ces_9 smras_13 so_19 
K10D0181_H0182:4a-14	tshe dang ldan pa /	tshe_0 dang_5 ldan_10 ba_15 
K10D0181_H0182:4a-15	ci'i phyir na de byang chub sems dpa' sems dpa' chen po'i 'jigs pa yin par shes par bya /	ci_0 phyir_5 na_11 de_14 byang_17 chub_23 sems_28 dpa'_33 sems_38 dpa'_43 chen_48 po_53 'jigs_58 ba_64 yin_67 ba_71 shes_75 ba_80 byed_84 
K10D0181_H0182:4a-16	smras pa /	smras_0 ba_6 
K10D0181_H0182:4a-17	nyan thos rnams dang 'bras bu mnyam par 'gyur du	nyan_0 thos_5 rnams_10 dang_16 'bras_21 bu_27 mnyam_30 ba_36 'gyur_40 du_46 
K10D0181_H0182:4a-18	'ong bas na de'i phyir de'i 'jigs pa yin par	'ong_0 ba_5 na_9 de_12 phyir_17 de_23 'jigs_28 ba_34 yin_37 ba_41 
K10D0181_H0182:4a-19	shes par bya'o // de nas tshe dang ldan pa	shes_0 ba_5 byed_9 de_18 nas_21 tshe_25 dang_30 ldan_35 ba_40 
K10D0181_H0182:4a-20	byams ma'i bu gang pos tshe dang ldan pa sh'a	byams_0 ma_6 bu_11 gang_14 pos_19 tshe_23 dang_28 ldan_33 ba_38 sh_41 
K10D0181_H0182:4a-21	radva ti'i bu la 'di skad ces smras so //	radva_0 ti_6 bu_11 la_14 'di_17 skad_21 ces_26 smras_30 so_36 
K10D0181_H0182:4a-22	tshe dang ldan pa sh'a radva ti'i bu /	tshe_0 dang_5 ldan_10 ba_15 sh_18 radva_23 ti_29 bu_34 
K10D0181_H0182:4a-23	byang chub sems dpa' sbyin pa byin pa gang yin pa dang /	byang_0 chub_6 sems_11 dpa'_16 sbyin_21 ba_27 byin_30 ba_35 gang_38 yin_43 ba_47 dang_50 
K10D0181_H0182:4a-24	nyan thos dgra bcom pa mngon sum du bya bar	nyan_0 thos_5 dgra_10 'joms_15 ba_20 mngon_23 sum_29 du_33 byed_36 ba_40 
K10D0181_H0182:4a-25	'dod pa sbyin pa byin pa gang yin pa 'di	'dod_0 ba_5 sbyin_8 ba_14 byin_17 ba_22 gang_25 yin_30 ba_34 'di_37 
K10D0181_H0182:4a-26	la bye brag ni ci yod /	la_0 'bye_3 brag_7 ni_12 ci_15 yod_18 
K10D0181_H0182:4a-27	tha dad du dbye ba ni gang yin /	tha_0 dad_4 du_8 'byed_11 ba_16 ni_19 gang_22 yin_27 
K10D0181_H0182:4b-0	smras @4b pa; tshe dang ldan pa gang po /	smras_0 pa;_10 tshe_14 dang_19 ldan_24 ba_29 gang_32 po_37 
K10D0181_H0182:4b-1	tha dad du dbye ba ni 'di nyid yin te /	tha_0 dad_4 du_8 'byed_11 ba_16 ni_19 'di_22 nyid_26 yin_31 te_35 
K10D0181_H0182:4b-2	gcig ni gang nyan thos kyi sar yongs su bsngo bar byed la /	gcig_0 ni_5 gang_8 nyan_13 thos_18 kyi_23 sar_27 yongs_31 su_37 sngo_40 ba_46 byed_50 la_55 
K10D0181_H0182:4b-3	cig shos ni rnam pa thams cad mkhyen pa nyid du yongs su bsngo bar byed pa yin no //	cig_0 shos_4 ni_9 rnam_12 ba_17 thams_20 cad_26 mkhyen_30 ba_37 nyid_40 du_45 yongs_48 su_54 sngo_57 ba_63 byed_67 ba_72 yin_75 no_79 
K10D0181_H0182:4b-4	de ci'i phyir zhe na /	de_0 ci_3 phyir_8 zhe_14 na_18 
K10D0181_H0182:4b-5	tshe dang ldan pa /	tshe_0 dang_5 ldan_10 ba_15 
K10D0181_H0182:4b-6	dper na /	dper_0 na_5 
K10D0181_H0182:4b-7	skyes bu la la zhig bdag rgyal por gyur kyang	skye_0 bu_6 la_9 la_12 'jig_15 bdag_20 rgyal_25 por_31 gyur_35 kyang_40 
K10D0181_H0182:4b-8	ci ma rung snyam du rgyal po'i sa la dmigs	ci_0 ma_3 rung_6 snyam_11 du_17 rgyal_20 po_26 sa_31 la_34 dmigs_37 
K10D0181_H0182:4b-9	nas sbyin pa byin la; skyes bu cig shos ni	nas_0 sbyin_4 ba_10 byin_13 la;_18 skye_22 bu_28 cig_31 shos_35 ni_40 
K10D0181_H0182:4b-10	bdag rgyal po de'i yul na gnas kyang ci ma	bdag_0 rgyal_5 po_11 de_14 yul_19 na_23 gnas_26 kyang_31 ci_37 ma_40 
K10D0181_H0182:4b-11	rung snyam du mngag gzhug par khas len par 'dod	rung_0 snyam_5 du_11 mngag_14 'jug_20 ba_26 khas_30 len_35 ba_39 'dod_43 
K10D0181_H0182:4b-12	de sbyin pa byin zhing de ltar yongs su bsngo	de_0 sbyin_3 ba_9 byin_12 zhing_17 de_23 ltar_26 yongs_31 su_37 sngo_40 
K10D0181_H0182:4b-13	na / skyes bu des skyes bu snga ma des	na_0 skye_5 bu_11 des_14 skye_18 bu_24 snga_27 ma_32 des_35 
K10D0181_H0182:4b-14	dmigs pa'i rgyal po'i sa gang yin pa de nyid	dmigs_0 ba_6 rgyal_11 po_17 sa_22 gang_25 yin_30 ba_34 de_37 nyid_40 
K10D0181_H0182:4b-15	non par nus sam /	non_0 ba_4 nus_8 sam_12 
K10D0181_H0182:4b-16	tshe dang ldan pa gang po /	tshe_0 dang_5 ldan_10 ba_15 gang_18 po_23 
K10D0181_H0182:4b-17	de bzhin du byang chub sems dpa' sems dpa' chen	de_0 bzhin_3 du_9 byang_12 chub_18 sems_23 dpa'_28 sems_33 dpa'_38 chen_43 
K10D0181_H0182:4b-18	po ni rnam pa thams cad mkhyen pa nyid la	po_0 ni_3 rnam_6 ba_11 thams_14 cad_20 mkhyen_24 ba_31 nyid_34 la_39 
K10D0181_H0182:4b-19	dmigs nas sbyin pa byin zhing yongs su bsngo la	dmigs_0 nas_6 sbyin_10 ba_16 byin_19 zhing_24 yongs_30 su_36 sngo_39 la_45 
K10D0181_H0182:4b-20	/ nyan thos kyi theg pa pa ni sbyin pa	nyan_2 thos_7 kyi_12 theg_16 ba_21 ba_24 ni_27 sbyin_30 ba_36 
K10D0181_H0182:4b-21	gang byin pa de nyan thos kyi sa la dgra	gang_0 byin_5 ba_10 de_13 nyan_16 thos_21 kyi_26 sa_30 la_33 dgra_36 
K10D0181_H0182:4b-22	bcom pa pa nyid du yongs su bsngo bar byed	'joms_0 ba_5 ba_8 nyid_11 du_16 yongs_19 su_25 sngo_28 ba_34 byed_38 
K10D0181_H0182:4b-23	/ do // de ltar 'phags pa nyan thos byang	do_2 de_8 ltar_11 'phag_16 ba_23 nyan_26 thos_31 byang_36 
K10D0181_H0182:4b-24	chub sems dpa'i nye gnas su 'gyur bar 'dod na	chub_0 sems_5 dpa_10 nye_16 gnas_20 su_25 'gyur_28 ba_34 'dod_38 na_43 
K10D0181_H0182:4b-25	/ do // / skyes bu des sbyin pa de	do_2 skye_10 bu_16 des_19 sbyin_23 ba_29 de_32 
K10D0181_H0182:4b-26	nyid rnam pa thams cad mkhyen pa nyid du yongs	nyid_0 rnam_5 ba_10 thams_13 cad_19 mkhyen_23 ba_30 nyid_33 du_38 yongs_41 
K10D0181_H0182:4b-27	su bsngo bar byed pa'i mthu dang /	su_0 sngo_3 ba_9 byed_13 ba_18 mthu_23 dang_28 
K10D0181_H0182:4b-28	nus pa yod dam /	nus_0 ba_4 yod_7 dam_11 
K10D0181_H0182:4b-29	yang tshe dang ldan pa gang po /	yang_0 tshe_5 dang_10 ldan_15 ba_20 gang_23 po_28 
K10D0181_H0182:5a-0	mos pa gang dang ldan pas sbyin pa de rnam pa thams cad mkhyen pa @5a *//	mos_0 ba_4 gang_7 dang_12 ldan_17 ba_22 sbyin_26 ba_32 de_35 rnam_38 ba_43 thams_46 cad_52 mkhyen_56 ba_63 
K10D0181_H0182:5a-1	nyid du yongs su bsngo ba'i mos pa de ni med kyi /	nyid_0 du_5 yongs_8 su_14 sngo_17 ba_23 mos_28 ba_32 de_35 ni_38 med_41 kyi_45 
K10D0181_H0182:5a-2	sbyin pa de nyan thos su yongs su bsngo ba	sbyin_0 ba_6 de_9 nyan_12 thos_17 su_22 yongs_25 su_31 sngo_34 ba_40 
K10D0181_H0182:5a-3	'di ni byang chub sems dpa'i theg pa pa dang	'di_0 ni_4 byang_7 chub_13 sems_18 dpa_23 theg_29 ba_34 ba_37 dang_40 
K10D0181_H0182:5a-4	/ nyan thos kyi theg pa pa dgra bcom pa'i	nyan_2 thos_7 kyi_12 theg_16 ba_21 ba_24 dgra_27 'joms_32 ba_37 
K10D0181_H0182:5a-5	sa la gnas pa'i tha dad du dbye ba yin	sa_0 la_3 gnas_6 ba_11 tha_16 dad_20 du_24 'byed_27 ba_32 yin_35 
K10D0181_H0182:5a-6	/ no // tshe dang ldan pa gang po /	no_2 tshe_8 dang_13 ldan_18 ba_23 gang_26 po_31 
K10D0181_H0182:5a-7	dper na /	dper_0 na_5 
K10D0181_H0182:5a-8	skyes bu la la zhig sbyin pa 'dis bdag tshong dpon nam /	skye_0 bu_6 la_9 la_12 'jig_15 sbyin_20 ba_26 'dis_29 bdag_34 tshong_39 dpon_46 nam_51 
K10D0181_H0182:5a-9	khyim bdag gam /	khyim_0 bdag_6 gam_11 
K10D0181_H0182:5a-10	tshangs par gyur cig ces sbyin pa byin pa de	tshangs_0 ba_8 gyur_12 cig_17 ces_21 sbyin_25 ba_31 byin_34 ba_39 de_42 
K10D0181_H0182:5a-11	bzhin du nyan thos kyi theg pa pa'i sbyin par	bzhin_0 du_6 nyan_9 thos_14 kyi_19 theg_23 ba_28 ba_31 sbyin_36 ba_42 
K10D0181_H0182:5a-12	blta'o // de nas tshe dang ldan pa byams ma'i	lta_0 de_10 nas_13 tshe_17 dang_22 ldan_27 ba_32 byams_35 ma_41 
K10D0181_H0182:5a-13	bu gang pos tshe dang ldan pa sh'a radva ti'i	bu_0 gang_3 pos_8 tshe_12 dang_17 ldan_22 ba_27 sh_30 radva_35 ti_41 
K10D0181_H0182:5a-14	bu la 'di skad ces smras so //	bu_0 la_3 'di_6 skad_10 ces_15 smras_19 so_25 
K10D0181_H0182:5a-15	tshe dang ldan pa /	tshe_0 dang_5 ldan_10 ba_15 
K10D0181_H0182:5a-16	'di ni ngo mtshar che ste /	'di_0 ni_4 ngo_7 mtshar_11 che_18 ste_22 
K10D0181_H0182:5a-17	sh'a radva ti'i bus shin tu legs par smras so //	sh_0 radva_5 ti_11 'bud_16 shin_20 tu_25 legs_28 ba_33 smras_37 so_43 
K10D0181_H0182:5a-18	tshe dang ldan pa sh'a radva ti'i bu /	tshe_0 dang_5 ldan_10 ba_15 sh_18 radva_23 ti_29 bu_34 
K10D0181_H0182:5a-19	dper na /	dper_0 na_5 
K10D0181_H0182:5a-20	skyes bu la la zhig k'arsh'a pa na 'bum khyer te /	skye_0 bu_6 la_9 la_12 'jig_15 k'a_20 ba_29 na_32 'bum_35 'khyer_40 te_46 
K10D0181_H0182:5a-21	khyim bdag phyug po gang yang rung ba zhig gi drung du song nas /	khyim_0 bdag_6 phyug_11 po_17 gang_20 yang_25 rung_30 ba_35 'jig_38 gi_43 drung_46 du_52 'gro_55 nas_60 
K10D0181_H0182:5a-22	'di skad du /	'di_0 skad_4 du_9 
K10D0181_H0182:5a-23	k'arsh'a pa na 'bum 'di dag khyod la 'bul te;	k'a_0 ba_9 na_12 'bum_15 'di_20 'dag_24 khyod_28 la_34 'bul_37 te;_42 
K10D0181_H0182:5a-24	bdag kyang khyod kyi thad na 'dug cing bya ba	bdag_0 kyang_5 khyod_11 kyi_17 thad_21 na_26 'dug_29 cing_34 byed_39 ba_43 
