K01D0001_H0001:1b-0	@1b [dd] #//	[dd]_4 
K01D0001_H0001:2b-19	yul aang ga dag na aang ga'i rgyal po zhes bya bas /	yul_0 aang_4 ga_9 'dag_12 na_16 aang_19 ga_24 rgyal_29 po_35 zhes_38 byed_43 ba_47 
K01D0001_H0001:3a-0	@3a *// rgyal srid 'byor pa rgyas pa bde ba /	rgyal_8 srid_14 'byor_19 ba_25 rgya_28 ba_34 bde_37 ba_41 
K01D0001_H0001:3a-1	lo legs pa /	lo_0 legs_3 ba_8 
K01D0001_H0001:3a-2	skye bo dang /	skye_0 'bo_5 dang_8 
K01D0001_H0001:3a-3	mi mang pos gang ba byed du bcug go /	mi_0 mang_3 pos_8 gang_12 ba_17 byed_20 du_25 'jug_28 go_33 
K01D0001_H0001:3a-4	yul ma ga dha dag na yang rgyal po padma chen po zhes bya bas rgyal srid 'byor pa /	yul_0 ma_4 ga_7 dha_10 'dag_14 na_18 yang_21 rgyal_26 po_32 padma_35 chen_41 po_46 zhes_49 byed_54 ba_58 rgyal_62 srid_68 'byor_73 ba_79 
K01D0001_H0001:3a-5	rgyas pa /	rgya_0 ba_6 
K01D0001_H0001:3a-6	bde ba /	bde_0 ba_4 
K01D0001_H0001:3a-7	lo legs pa /	lo_0 legs_3 ba_8 
K01D0001_H0001:3a-8	skye bo dang /	skye_0 'bo_5 dang_8 
K01D0001_H0001:3a-9	mi mang pos gang ba byed du bcug go /	mi_0 mang_3 pos_8 gang_12 ba_17 byed_20 du_25 'jug_28 go_33 
K01D0001_H0001:3a-10	res 'ga' ni aang ga'i rgyal po dpung dang mthu che ba yin la /	res_0 'ga'_4 ni_9 aang_12 ga_17 rgyal_22 po_28 dpung_31 dang_37 mthu_42 che_47 ba_51 yin_54 la_58 
K01D0001_H0001:3a-11	res 'ga' ni rgyal po padma chen po dpung dang mthu che ba yin no //	res_0 'ga'_4 ni_9 rgyal_12 po_18 padma_21 chen_27 po_32 dpung_35 dang_41 mthu_46 che_51 ba_55 yin_58 no_62 
K01D0001_H0001:3a-12	gang gi tshe aang ga'i rgyal po dpung dang mthu che ba de'i tshe na /	gang_0 gi_5 tshe_8 aang_13 ga_18 rgyal_23 po_29 dpung_32 dang_38 mthu_43 che_48 ba_52 de_55 tshe_60 na_65 
K01D0001_H0001:3a-13	des dpung gi tshogs yan lag bzhi pa /	des_0 dpung_4 gi_10 tshogs_13 yan_20 lag_24 bzhi_28 ba_33 
K01D0001_H0001:3a-14	glang po che pa'i tshogs dang /	glang_0 po_6 che_9 ba_13 tshogs_18 dang_25 
K01D0001_H0001:3a-15	rta pa'i tshogs dang /	rta_0 ba_4 tshogs_9 dang_16 
K01D0001_H0001:3a-16	shing rta pa'i tshogs dang /	shing_0 rta_6 ba_10 tshogs_15 dang_22 
K01D0001_H0001:3a-17	dpung bu chung gi tshogs go bskon te /	dpung_0 bu_6 chung_9 gi_15 tshogs_18 go_25 skon_28 te_34 
K01D0001_H0001:3a-18	yul ma ga dha'i rgyal po'i kha ba ma gtogs pa bcom nas phyir ldog par byed do //	yul_0 ma_4 ga_7 dha_10 rgyal_16 po_22 kha_27 ba_31 ma_34 gtogs_37 ba_43 'joms_46 nas_51 phyir_55 ldog_61 ba_66 byed_70 do_75 
K01D0001_H0001:3b-0	gang gi tshe rgyal po padma chen po dpung dang mthu che @3b ba de'i tshe na /	gang_0 gi_5 tshe_8 rgyal_13 po_19 padma_22 chen_28 po_33 dpung_36 dang_42 mthu_47 che_52 ba_60 de_63 tshe_68 na_73 
K01D0001_H0001:3b-1	des kyang dpung gi tshogs yan lag bzhi pa /	des_0 kyang_4 dpung_10 gi_16 tshogs_19 yan_26 lag_30 bzhi_34 ba_39 
K01D0001_H0001:3b-2	glang po che pa'i tshogs dang /	glang_0 po_6 che_9 ba_13 tshogs_18 dang_25 
K01D0001_H0001:3b-3	rta pa'i tshogs dang /	rta_0 ba_4 tshogs_9 dang_16 
K01D0001_H0001:3b-4	shing rta pa'i tshogs dang /	shing_0 rta_6 ba_10 tshogs_15 dang_22 
K01D0001_H0001:3b-5	dpung bu chung gi tshogs go bskon te /	dpung_0 bu_6 chung_9 gi_15 tshogs_18 go_25 skon_28 te_34 
K01D0001_H0001:3b-6	yul aang ga tsam pa ma gtogs bcom nas phyir ldog par byed do //	yul_0 aang_4 ga_9 tsam_12 ba_17 ma_20 gtogs_23 'joms_29 nas_34 phyir_38 ldog_44 ba_49 byed_53 do_58 
K01D0001_H0001:3b-7	de nas dus gzhan zhig na /	de_0 nas_3 dus_7 gzhan_11 'jig_17 na_22 
K01D0001_H0001:3b-8	aang ga'i rgyal po dpung dang mthu che bar gyur nas /	aang_0 ga_5 rgyal_10 po_16 dpung_19 dang_25 mthu_30 che_35 ba_39 gyur_43 nas_48 
K01D0001_H0001:3b-9	des dpung gi tshogs yan lag bzhi pa /	des_0 dpung_4 gi_10 tshogs_13 yan_20 lag_24 bzhi_28 ba_33 
K01D0001_H0001:3b-10	glang po che pa'i tshogs dang /	glang_0 po_6 che_9 ba_13 tshogs_18 dang_25 
K01D0001_H0001:3b-11	rta pa'i tshogs dang /	rta_0 ba_4 tshogs_9 dang_16 
K01D0001_H0001:3b-12	shing rta pa'i tshogs dang /	shing_0 rta_6 ba_10 tshogs_15 dang_22 
K01D0001_H0001:3b-13	dpung bu chung gi tshogs go bskon te /	dpung_0 bu_6 chung_9 gi_15 tshogs_18 go_25 skon_28 te_34 
K01D0001_H0001:3b-14	yul ma ga dha gzhom par brtsams pa dang /	yul_0 ma_4 ga_7 dha_10 'joms_14 ba_20 brtsams_24 ba_32 dang_35 
K01D0001_H0001:3b-15	ma ga dha na gnas pa'i skye bo'i tshogs kyis	ma_0 ga_3 dha_6 na_10 gnas_13 ba_18 skye_23 'bo_28 tshogs_33 kyis_40 
K01D0001_H0001:3b-16	rgyal po padma chen po la lha aang ga'i rgyal	rgyal_0 po_6 padma_9 chen_15 po_20 la_23 lha_26 aang_30 ga_35 rgyal_40 
K01D0001_H0001:3b-17	pos dpung gi tshogs yan lag bzhi pa /	pos_0 dpung_4 gi_10 tshogs_13 yan_20 lag_24 bzhi_28 ba_33 
K01D0001_H0001:3b-18	glang po che pa'i tshogs dang /	glang_0 po_6 che_9 ba_13 tshogs_18 dang_25 
K01D0001_H0001:3b-19	rta pa'i tshogs dang /	rta_0 ba_4 tshogs_9 dang_16 
K01D0001_H0001:3b-20	shing rta pa'i tshogs dang /	shing_0 rta_6 ba_10 tshogs_15 dang_22 
K01D0001_H0001:3b-21	dpung bu chung gi tshogs go bskon te /	dpung_0 bu_6 chung_9 gi_15 tshogs_18 go_25 skon_28 te_34 
K01D0001_H0001:3b-22	yul ma ga dha 'joms par bgyid do zhes sbron pa dag btang ngo //	yul_0 ma_4 ga_7 dha_10 'joms_14 ba_20 bgyid_24 do_30 zhes_33 sbron_38 ba_44 'dag_47 gtong_51 ngo_57 
K01D0001_H0001:3b-23	rgyal po padma chen pos kyang thos nas /	rgyal_0 po_6 padma_9 chen_15 pos_20 kyang_24 thos_30 nas_35 
K01D0001_H0001:3b-24	dpung gi tshogs yan lag bzhi pa /	dpung_0 gi_6 tshogs_9 yan_16 lag_20 bzhi_24 ba_29 
K01D0001_H0001:3b-25	glang po che pa'i tshogs dang /	glang_0 po_6 che_9 ba_13 tshogs_18 dang_25 
K01D0001_H0001:3b-26	rta pa'i tshogs dang /	rta_0 ba_4 tshogs_9 dang_16 
K01D0001_H0001:3b-27	shing rta pa'i tshogs dang /	shing_0 rta_6 ba_10 tshogs_15 dang_22 
K01D0001_H0001:3b-28	dpung bu chung gi tshogs go bskon te /	dpung_0 bu_6 chung_9 gi_15 tshogs_18 go_25 skon_28 te_34 
K01D0001_H0001:3b-29	aang ga'i rgyal po dang g-yul sprad pa'i phyir 'phags so //	aang_0 ga_5 rgyal_10 po_16 dang_19 g-yul_24 sprod_30 ba_36 phyir_41 'phag_47 so_54 
K01D0001_H0001:3b-30	de nas aang ga'i rgyal pos /	de_0 nas_3 aang_7 ga_12 rgyal_17 pos_23 
K01D0001_H0001:3b-31	rgyal po padma chen po'i glang po che pa'i tshogs thams cad phrogs shing /	rgyal_0 po_6 padma_9 chen_15 po_20 glang_25 po_31 che_34 ba_38 tshogs_43 thams_50 cad_56 'phrog_60 shing_67 
K01D0001_H0001:3b-32	rta pa'i tshogs dang /	rta_0 ba_4 tshogs_9 dang_16 
K01D0001_H0001:3b-33	shing rta pa'i tshogs dang /	shing_0 rta_6 ba_10 tshogs_15 dang_22 
K01D0001_H0001:3b-34	dpung bu chung gi tshogs thams cad kyang phrogs so //	dpung_0 bu_6 chung_9 gi_15 tshogs_18 thams_25 cad_31 kyang_35 'phrog_41 so_48 
K01D0001_H0001:4a-0	rgyal @4a *//	rgyal_0 
K01D0001_H0001:4a-1	po padma chen po yang pham pa dang /	po_0 padma_3 chen_9 po_14 yang_17 'pham_22 ba_27 dang_30 
K01D0001_H0001:4a-2	skrag pa dang /	skrag_0 ba_6 dang_9 
K01D0001_H0001:4a-3	bcom pa dang /	'joms_0 ba_5 dang_8 
K01D0001_H0001:4a-4	gzhan rgyal ba dang /	gzhan_0 rgyal_6 ba_12 dang_15 
K01D0001_H0001:4a-5	rgyab kyis phyogs par byas te /	rgyab_0 kyis_6 phyogs_11 ba_18 byed_22 te_27 
K01D0001_H0001:4a-6	rgyal po'i khab tu zhugs nas sgo bcad de /	rgyal_0 po_6 khab_11 tu_16 'jug_19 nas_25 sgo_29 gcod_33 de_38 
K01D0001_H0001:4a-7	ra bdag gi khar sbrengs nas 'dug go /	ra_0 bdag_3 gi_8 khar_11 sbreng_16 nas_24 'dug_28 go_33 
K01D0001_H0001:4a-8	aang ga'i rgyal bos rgyal po padma chen po la pho nya btang ste /	aang_0 ga_5 rgyal_10 'bod_16 rgyal_20 po_26 padma_29 chen_35 po_40 la_43 pho_46 nya_50 gtong_54 ste_60 
K01D0001_H0001:4a-9	gal te phyir 'byung na de lta na legs /	gal_0 te_4 phyir_7 'byung_13 na_20 de_23 lta_26 na_30 legs_33 
K01D0001_H0001:4a-10	gal te phyir mi 'byung na /	gal_0 te_4 phyir_7 mi_13 'byung_16 na_23 
K01D0001_H0001:4a-11	ji ste steng gi nam mkha' la 'gro na ni /	ji_0 ste_3 steng_7 gi_13 nam_16 mkha'_20 la_26 'gro_29 na_34 ni_37 
K01D0001_H0001:4a-12	mda' brgyud pas khyod ltung bar bya'o //	mda'_0 brgyud_5 ba_12 khyod_16 ltung_22 ba_28 byed_32 
K01D0001_H0001:4a-13	ji ste sa'i 'og tu 'gro na ni /	ji_0 ste_3 sa_7 'og_12 tu_16 'gro_19 na_24 ni_27 
K01D0001_H0001:4a-14	mchil pa dang 'dra ba'i tshul gyis drang bar bya'o //	mchil_0 ba_6 dang_9 'dra_14 ba_19 tshul_24 gyis_30 'dren_35 ba_41 byed_45 
K01D0001_H0001:4a-15	ji ste ri'i rtse mor 'dzeg na ni der yang khyod thar pa med do //	ji_0 ste_3 ri_7 rtse_12 mor_17 'dzeg_21 na_27 ni_30 der_33 yang_37 khyod_42 thar_48 ba_53 med_56 do_60 
K01D0001_H0001:4a-16	zhes spring ngo //	zhes_0 spring_5 ngo_12 
K01D0001_H0001:4a-17	rgyal po padma chen pos 'phrin yig blangs nas /	rgyal_0 po_6 padma_9 chen_15 pos_20 'phrin_24 yig_31 blangs_35 nas_42 
K01D0001_H0001:4a-18	de mi bde bar gyur te /	de_0 mi_3 bde_6 ba_10 gyur_14 te_19 
K01D0001_H0001:4a-19	lag pa 'gram pa la bstad nas /	lag_0 ba_4 'grams_7 ba_13 la_16 stod_19 nas_25 
K01D0001_H0001:4a-20	sems khong du chud cing 'dug 'dug nas /	sems_0 khong_5 du_11 chud_14 cing_19 'dug_24 'dug_29 nas_34 
K01D0001_H0001:4a-21	des blon po rnams la smras pa /	des_0 blon_4 po_9 rnams_12 la_18 smras_21 ba_27 
K01D0001_H0001:4a-22	shes ldan dag aang ga'i rgyal po 'di ni gdug pa pha rol gnon pa /	shes_0 ldan_5 'dag_10 aang_14 ga_19 rgyal_24 po_30 'di_33 ni_37 gdug_40 ba_45 pha_48 rol_52 gnon_56 ba_61 
K01D0001_H0001:4a-23	dpung dang mthu che bar gyur la /	dpung_0 dang_6 mthu_11 che_16 ba_20 gyur_24 la_29 
K01D0001_H0001:4a-24	des yu bu cag la 'di dang /	des_0 yu_4 bu_7 cag_10 la_14 'di_17 dang_21 
K01D0001_H0001:4a-25	'di skad ces spring na /	'di_0 skad_4 ces_9 spring_13 na_20 
K01D0001_H0001:4a-26	de la yu bu cag gis ji ltar bsgrub par bya /	de_0 la_3 yu_6 bu_9 cag_12 gis_16 ji_20 ltar_23 sgrub_28 ba_35 byed_39 
K01D0001_H0001:4a-27	de dag gis tshigs su bcad pa smras pa /	de_0 'dag_3 gis_7 tshigs_11 su_18 gcod_21 ba_26 smras_29 ba_35 
K01D0001_H0001:4a-28	yul dang srog la gnod gyur na //	yul_0 dang_4 srog_9 la_14 gnod_17 gyur_22 na_27 
K01D0001_H0001:4a-29	skyes bus kun tu srog bsrung bya //	skye_0 'bud_6 kun_10 tu_14 srog_17 bsrung_22 byed_29 
K01D0001_H0001:4a-30	blo yis gnyis ka dpyad byas na //	blo_0 yis_4 gnyis_8 ka_14 dpyod_17 byed_23 na_28 
K01D0001_H0001:4a-31	yul ni yang rnyed srog rnams min //	yul_0 ni_4 yang_7 rnyed_12 srog_18 rnams_23 min_29 
K01D0001_H0001:4a-32	lha rnam pa thams cad du slar 'byung bar bgyi'o //	lha_0 rnam_4 ba_9 thams_12 cad_18 du_22 slar_25 'byung_30 ba_37 bgyid_41 
K01D0001_H0001:4a-33	de ral gri mgul du thogs te phyir byung ba dang /	de_0 ral_3 gri_7 mgul_11 du_16 thogs_19 te_25 phyir_28 'byung_34 ba_40 dang_43 
K01D0001_H0001:4a-34	aang ga'i rgyal pos de la lo thang dang dpya phang [*phab?] ste de nyid du bzhag go /	aang_0 ga_5 rgyal_10 pos_16 de_20 la_23 lo_26 thang_29 dang_35 dpya_40 'phang_45 [*phab?]_51 ste_60 de_64 nyid_67 du_72 'jog_75 go_81 
K01D0001_H0001:4b-0	gang gi tshe bcom ldan 'das byang chub sems @4b dpa' dga' ldan gyi gnas na bzhugs pas /	gang_0 gi_5 tshe_8 'joms_13 ldan_18 'da'_23 byang_28 chub_34 sems_39 dpa'_48 dga'_53 ldan_58 gyi_63 gnas_67 na_72 bzhugs_75 ba_82 
K01D0001_H0001:4b-1	gzigs pa lnga po dag la gzigs nas 'dod pa	gzigs_0 ba_6 lnga_9 po_14 'dag_17 la_21 gzigs_24 nas_30 'dod_34 ba_39 
K01D0001_H0001:4b-2	na spyod pa'i lha drug po dag la lan gsum	na_0 spyod_3 ba_9 lha_14 drug_18 po_23 'dag_26 la_30 lan_33 gsum_37 
K01D0001_H0001:4b-3	bsgo ba mdzad de /	sgo_0 ba_5 mdzad_8 de_14 
K01D0001_H0001:4b-4	glang po che ltar snang ba bsgyur te /	glang_0 po_6 che_9 ltar_13 snang_18 ba_24 sgyur_27 te_34 
K01D0001_H0001:4b-5	yum gyi lhums su zhugs pa de'i tshe na /	yum_0 gyi_4 lhums_8 su_14 'jug_17 ba_23 de_26 tshe_31 na_36 
K01D0001_H0001:4b-6	sa chen po shin tu g-yos par gyur cing /	sa_0 chen_3 po_8 shin_11 tu_16 g-yos_19 ba_25 gyur_29 cing_34 
K01D0001_H0001:4b-7	'jig rten 'di thams cad kyang sum cu rtsa gsum	'jig_0 rten_5 'di_10 thams_14 cad_20 kyang_24 sum_30 cu_34 rtsa_37 gsum_42 
K01D0001_H0001:4b-8	pa'i lha rnams kyi kha dog gi mthu bas lhag	ba_0 lha_5 rnams_9 kyi_15 kha_19 dog_23 gi_27 mthu_30 ba_35 lhag_39 
K01D0001_H0001:4b-9	pa'i snang ba rgya chen pos khyab par gyur /	ba_0 snang_5 ba_11 rgya_14 chen_19 pos_24 khyab_28 ba_34 gyur_38 
K01D0001_H0001:4b-10	'jig rten gyi 'jig rten gyi bar gang na nyi	'jig_0 rten_5 gyi_10 'jig_14 rten_19 gyi_24 ba_28 gang_32 na_37 nyi_40 
K01D0001_H0001:4b-11	ma dang zla ba 'di ltar rdzu 'phrul che ba	ma_0 dang_3 zla_8 ba_12 'di_15 ltar_19 rdzu_24 'phrul_29 che_36 ba_40 
K01D0001_H0001:4b-12	/ 'di ltar mthu che ba /	'di_2 ltar_6 mthu_11 che_16 ba_20 
K01D0001_H0001:4b-13	'di gnyis kyi 'od dag nyams su mi myong ba'i mun pa mun nag mun par byed pas /	'di_0 gnyis_4 kyi_10 'od_14 'dag_18 nyams_22 su_28 mi_31 myong_34 ba_40 mun_45 ba_49 mun_52 nag_56 mun_60 ba_64 byed_68 ba_73 
K01D0001_H0001:4b-14	gnag par gyur pa gang dag yin pa de dag kyang /	gnag_0 ba_5 gyur_9 ba_14 gang_17 'dag_22 yin_26 ba_30 de_33 'dag_36 kyang_40 
K01D0001_H0001:4b-15	de'i tshe na snang ba rgya chen pos khyab par gyur nas /	de_0 tshe_5 na_10 snang_13 ba_19 rgya_22 chen_27 pos_32 khyab_36 ba_42 gyur_46 nas_51 
K01D0001_H0001:4b-16	sems can gang dag der skyes pa dag gis rang	sems_0 can_5 gang_9 'dag_14 der_18 skye_22 ba_28 'dag_31 gis_35 rang_39 
K01D0001_H0001:4b-17	gi lag pa brkyang ba yang mi mthong ba de	gi_0 lag_3 ba_7 rkyong_10 ba_18 yang_21 mi_26 mthong_29 ba_36 de_39 
K01D0001_H0001:4b-18	dag gis kyang / 'od des sems can gcig gis	'dag_0 gis_4 kyang_8 'od_16 des_20 sems_24 can_29 gcig_33 gis_38 
K01D0001_H0001:4b-19	gcig mthong nas; shes ldan dag sems can gzhan yang	gcig_0 mthong_5 nas;_12 shes_17 ldan_22 'dag_27 sems_31 can_36 gzhan_40 yang_46 
K01D0001_H0001:4b-20	dag gis kyang / 'dir skyes so // shes ldan	'dag_0 gis_4 kyang_8 'dir_16 skye_21 so_27 shes_33 ldan_38 
K01D0001_H0001:4b-21	dag sems can gzhan yang 'dir skyes so zhes shes	'dag_0 sems_4 can_9 gzhan_13 yang_19 'dir_24 skye_29 so_35 zhes_38 shes_43 
K01D0001_H0001:4b-22	dag gis kyang / 'dir skyes so // par gyur	'dag_0 gis_4 kyang_8 'dir_16 skye_21 so_27 ba_33 gyur_37 
K01D0001_H0001:4b-23	to // gang gi tshe bcom ldan 'das byang chub	to_0 gang_6 gi_11 tshe_14 'joms_19 ldan_24 'da'_29 byang_34 chub_40 
K01D0001_H0001:4b-24	sems dpa' bltams pa de'i tshe na /	sems_0 dpa'_5 ltems_10 ba_17 de_20 tshe_25 na_30 
K01D0001_H0001:4b-25	grong khyer chen po bzhi po dag tu rgyal po	grong_0 'khyer_6 chen_12 po_17 bzhi_20 po_25 'dag_28 tu_32 rgyal_35 po_41 
K01D0001_H0001:4b-26	chen po bzhi dag gi bu yang btsas par gyur	chen_0 po_5 bzhi_8 'dag_13 gi_17 bu_20 yang_23 btsas_28 ba_34 gyur_38 
K01D0001_H0001:4b-27	te / rgyal po'i khab tu rgyal po padma chen po'i bu btsas so //	te_0 rgyal_5 po_11 khab_16 tu_21 rgyal_24 po_30 padma_33 chen_39 po_44 bu_49 btsas_52 so_58 
K01D0001_H0001:4b-28	gnyan yod du ni rgyal po rtsibs kyis 'phur tshangs byin gyi bu btsas so //	gnyan_0 yod_6 du_10 ni_13 rgyal_16 po_22 rtsibs_25 kyis_32 'phur_37 tshangs_43 byin_51 gyi_56 bu_60 btsas_63 so_69 
K01D0001_H0001:4b-29	'phags rgyal du ni rgyal po mu khyud mtha' yas kyi bu btsas so //	'phag_0 rgyal_7 du_13 ni_16 rgyal_19 po_25 mu_28 khyud_31 mtha'_37 yas_43 kyi_47 bu_51 btsas_54 so_60 
K01D0001_H0001:4b-30	ko'u sham bir ni rgyal po dmag brgya ba'i bu btsas so //	ko_0 sham_5 bir_10 ni_14 rgyal_17 po_23 dmag_26 brgya_31 ba_37 bu_42 btsas_45 so_51 
K01D0001_H0001:4b-31	bcom ldan 'das byang chub sems dpa' bltams pa na /	'joms_0 ldan_5 'da'_10 byang_15 chub_21 sems_26 dpa'_31 ltems_36 ba_43 na_46 
K01D0001_H0001:5a-0	@5a *// 'jig rten thams cad sum cu rtsa gsum pa'i lha rnams kyi /	'jig_8 rten_13 thams_18 cad_24 sum_28 cu_32 rtsa_35 gsum_40 ba_45 lha_50 rnams_54 kyi_60 
K01D0001_H0001:5a-1	kha dog gi mthu bas lhag pa'i snang ba rgya chen pos khyab par gyur cing /	kha_0 dog_4 gi_8 mthu_11 ba_16 lhag_20 ba_25 snang_30 ba_36 rgya_39 chen_44 pos_49 khyab_53 ba_59 gyur_63 cing_68 
K01D0001_H0001:5a-2	'jig rten gyi 'jig rten gyi bar gang na nyi	'jig_0 rten_5 gyi_10 'jig_14 rten_19 gyi_24 ba_28 gang_32 na_37 nyi_40 
K01D0001_H0001:5a-3	ma dang zla ba 'di ltar rdzu 'phrul che ba	ma_0 dang_3 zla_8 ba_12 'di_15 ltar_19 rdzu_24 'phrul_29 che_36 ba_40 
K01D0001_H0001:5a-4	'di ltar mthu che ba /	'di_0 ltar_4 mthu_9 che_14 ba_18 
K01D0001_H0001:5a-5	'di gnyis kyi 'od dag nyams su mi myong ba'i mun pa mun nag mun par byed pas /	'di_0 gnyis_4 kyi_10 'od_14 'dag_18 nyams_22 su_28 mi_31 myong_34 ba_40 mun_45 ba_49 mun_52 nag_56 mun_60 ba_64 byed_68 ba_73 
K01D0001_H0001:5a-6	gnag par gyur pa gang dag yin pa de dag kyang de'i tshe na /	gnag_0 ba_5 gyur_9 ba_14 gang_17 'dag_22 yin_26 ba_30 de_33 'dag_36 kyang_40 de_46 tshe_51 na_56 
K01D0001_H0001:5a-7	snang ba rgya chen pos khyab par gyur nas /	snang_0 ba_6 rgya_9 chen_14 pos_19 khyab_23 ba_29 gyur_33 nas_38 
K01D0001_H0001:5a-8	sems can gang dag der skyes pa dag gis rang	sems_0 can_5 gang_9 'dag_14 der_18 skye_22 ba_28 'dag_31 gis_35 rang_39 
K01D0001_H0001:5a-9	gi lag pa brkyang ba yang mi mthong ba de	gi_0 lag_3 ba_7 rkyong_10 ba_18 yang_21 mi_26 mthong_29 ba_36 de_39 
